section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Midday,Set1,Draw1,1,066,straight,42.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,3,066,4,6.0,True,8,3,0,0.0,9,0,4,4,0,4.5,0,0.5,2,4,2,3,3,1,True,straight|cov4|hp_repeat3|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3
Evening,Set1,Draw1,1,38899,boxed,40.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,7,99883,2,33.0,True,8,7,2,0.0,3,0,0,4,1,3.0,2,0.5,0,4,6,3,7,0,False,boxed|cov4|hp_repeat7|vstr2|mirror|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain7
Evening,Set1,Draw2,1,38899,boxed,39.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,6,99883,2,33.0,True,8,6,2,0.0,3,0,0,4,1,3.0,2,0.5,0,4,6,3,7,0,False,boxed|cov4|hp_repeat6|vstr2|mirror|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain7
Evening,Set1,Draw1,2,38899,boxed,35.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,2,3,0,7,99883,2,33.0,True,8,7,2,0.0,3,0,0,2,1,0.0,2,0.5,0,4,6,3,7,0,False,boxed|cov4|hp_repeat7|vstr2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain7
Evening,Set1,Draw3,1,338899,boxed,35.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,5,998833,2,33.0,True,8,5,2,0.0,3,0,0,4,1,3.0,3,0.5,0,2,4,2,5,0,False,boxed|cov4|hp_repeat5|vstr2|mirror|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain5
Evening,Set1,Draw2,2,38899,boxed,34.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,2,3,0,6,99883,2,33.0,True,8,6,2,0.0,3,0,0,2,1,0.0,2,0.5,0,4,6,3,7,0,False,boxed|cov4|hp_repeat6|vstr2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain7
Midday,Set1,Draw4,1,668,boxed,33.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,866,2,18.0,True,8,4,1,0.0,3,0,0,4,0,4.0,0,0.5,0,4,4,3,5,1,True,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|double_mirror|set_chain3|draw_chain5
Evening,Set1,Draw1,1,399,straight,33.5,"R2,R6",False,True,False,False,False,False,False,False,False,2,1,0,7,993,2,34.0,True,4,7,0,0.0,5,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat7|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,1,3889,boxed,33.5,"R2,R4,R8",True,True,False,False,False,False,False,False,False,2,2,0,7,9883,2,33.0,True,6,7,1,0.0,3,0,0,4,1,0.0,1,0.5,0,4,6,3,7,0,False,boxed|cov3|hp_repeat7|vstr2|mirror|hot2|perm2|hidden3v|set_chain3|draw_chain7
Evening,Set1,Draw1,1,388,boxed,33.5,"R2,R4,R8",True,True,False,False,False,False,False,False,False,2,2,0,7,883,2,32.0,True,6,7,1,0.0,3,0,0,4,1,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat7|vstr2|mirror|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
