section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Evening,Set1,Draw1,1,399,straight,33.5,"R2,R6",False,True,False,False,False,False,False,False,False,2,1,0,7,993,2,34,True,4,7,0,0.0,5,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat7|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,399,899,756,989,False,False,True
Evening,Set1,Draw1,1,899,boxed,32.5,"R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,7,998,2,34,True,6,7,1,0.0,3,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7,899,899,756,989,True,False,True
Evening,Set1,Draw2,1,399,straight,32.5,"R2,R6",False,True,False,False,False,False,False,False,False,2,1,0,6,993,2,34,True,4,6,0,0.0,5,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat6|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,399,899,756,989,False,False,True
Evening,Set1,Draw1,2,399,straight,31.5,"R2,R6",False,True,False,False,False,False,False,False,False,2,1,0,7,993,2,34,True,4,7,0,0.0,5,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat7|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,399,899,756,989,False,False,True
Evening,Set1,Draw1,3,899,straight,31.5,"R4,R8",False,True,False,False,False,False,False,False,False,2,1,0,7,998,2,34,True,4,7,0,0.0,5,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat7|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,899,899,756,989,True,True,True
Evening,Set1,Draw2,1,899,boxed,31.5,"R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,6,998,2,34,True,6,6,1,0.0,3,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7,899,899,756,989,True,False,True
Evening,Set1,Draw3,1,399,straight,31.5,"R2,R6",False,True,False,False,False,False,False,False,False,2,1,0,5,993,2,34,True,4,5,0,0.0,5,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat5|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,399,899,756,989,False,False,True
Evening,Set1,Draw1,2,899,boxed,30.5,"R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,7,998,2,34,True,6,7,1,0.0,3,0,0,2,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7,899,899,756,989,True,False,True
Evening,Set1,Draw2,2,399,straight,30.5,"R2,R6",False,True,False,False,False,False,False,False,False,2,1,0,6,993,2,34,True,4,6,0,0.0,5,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov2|hp_repeat6|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,399,899,756,989,False,False,True
Evening,Set1,Draw3,1,899,boxed,30.5,"R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,5,998,2,34,True,6,5,1,0.0,3,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7,899,899,756,989,True,False,True
