section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Combined,Set1,Draw1,1,124,235,1,3,3,3,1,1,0,1,0,0,1,1,20,1,1,1,34.65,hot20|superhot_set1|literal_draw|guard_set1|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,2,334,45,1,7,3,3,1,1,0,0,1,1,0,1,20,1,1,1,34.15,hot20|superhot_set1|literal_draw|guard_set1|vertical1|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,2,255,13,2,4,3,3,1,1,0,0,1,1,0,1,20,1,1,0,33.75,hot20|superhot_set1|literal_draw|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,1,334,45,1,3,3,3,1,1,0,1,0,0,1,1,20,1,1,0,33.65,hot20|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,1,124,235,1,1,3,3,1,1,0,1,0,0,1,1,20,1,1,0,33.65,hot20|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,2,226,23,1,6,3,3,1,1,0,0,1,1,0,1,20,1,1,0,33.15,hot20|superhot_set1|literal_draw|vertical1|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,226,23,3,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,32.3,hot20|literal_draw|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,3,015,112,2,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,31.7,hot20|literal_draw|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,1,334,45,4,3,3,3,1,1,0,1,0,0,1,1,16,1,1,0,31.45,hot16|superhot_set1|literal_draw|vertical4|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,3,259,135,1,4,3,3,1,1,0,0,1,0,1,1,20,0,1,0,31.1,hot20|literal_draw|vertical1|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,2,033,14,4,6,3,3,1,1,0,0,1,1,0,1,20,1,1,0,30.95,hot20|superhot_set1|vertical4|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,2,255,13,4,4,3,3,1,1,0,0,1,1,0,1,16,1,1,0,30.95,hot16|superhot_set1|literal_draw|vertical4|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,2,336,24,3,7,3,3,1,1,0,0,1,1,0,1,20,1,1,0,30.35,hot20|superhot_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,1,006,12,4,5,3,3,1,0,0,1,0,0,1,1,20,1,1,0,30.1,hot20|superhot_set1|vertical4|col1|ls2_lane|straight_lane|set1_bonus
Evening,Set1,Draw1,1,003,14,4,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,30.1,hot20|superhot_set1|vertical4|col1|ls2_lane|straight_lane|set1_bonus
Combined,Set1,Draw1,4,255,13,3,5,3,3,1,1,0,0,0,1,0,1,20,0,1,0,30.0,hot20|literal_draw|vertical3|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw2,2,334,45,2,7,3,3,1,1,0,0,1,1,0,1,16,1,1,0,29.75,hot16|superhot_set1|literal_draw|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,2,036,124,2,6,3,3,1,1,0,0,1,1,0,1,20,1,1,0,29.75,hot20|superhot_set1|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw2,1,124,235,1,1,3,3,1,1,0,1,0,0,1,1,16,1,1,0,29.65,hot16|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw2,1,124,235,1,3,3,3,1,1,0,1,0,0,1,1,16,1,1,0,29.65,hot16|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,2,003,14,4,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,29.6,hot20|superhot_set1|vertical4|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Combined,Set1,Draw1,1,788,34,3,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,29.5,hot20|superhot_set1|vertical3|col1|ls2_lane|straight_lane|set1_bonus
Combined,Set1,Draw1,1,089,145,3,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,29.5,hot20|superhot_set1|vertical3|col1|ls2_lane|straight_lane|set1_bonus
Combined,Set1,Draw1,5,259,135,3,3,3,3,1,1,0,0,0,0,0,1,20,0,1,0,29.5,hot20|literal_draw|vertical3|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,4,257,133,2,1,3,3,1,1,0,0,0,1,0,1,20,0,1,0,29.4,hot20|literal_draw|vertical2|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw2,2,226,23,1,6,3,3,1,1,0,0,1,1,0,1,16,1,1,0,29.15,hot16|superhot_set1|literal_draw|vertical1|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,2,788,34,3,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,29.0,hot20|superhot_set1|vertical3|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Combined,Set1,Draw1,2,089,145,3,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,29.0,hot20|superhot_set1|vertical3|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Midday,Set1,Draw1,3,033,14,4,6,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.9,hot20|vertical4|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,3,015,112,4,5,3,3,1,1,0,0,1,0,1,1,16,0,1,0,28.9,hot16|literal_draw|vertical4|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
