section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,29,3,1,0.0,7,1.0,True,True,False,False,False,True,False,1,7,1,7,0,0,1,0,788:1,887:3,6,7,0,0.0,0,1,2,4,0,1,0.0,1,6,0,0,0.0,28.0,86.0,1,False,False
Combined,Set1,Draw1,1,14,3,2,0.0,6,1.0,True,False,False,True,False,False,False,2,4,2,4,0,0,2,0,0889:1;089:1,9088:2;908:2,6,6,1,0.0,0,1,2,0,0,0,0.0,0,5,0,0,0.0,21.0,56.0,1,False,False
Combined,Set1,Draw1,1,11,3,2,0.0,6,1.0,True,False,False,False,False,True,False,1,3,1,3,0,0,2,0,0788:1;078:1,0887:2;870:1,6,6,1,0.0,0,1,2,0,0,1,0.0,0,2,1,0,0.0,20.0,68.5,2,False,False
Combined,Set1,Draw1,1,13,2,1,0.0,7,1.0,True,False,False,False,False,True,True,1,4,1,4,1,0,1,0,088:1,088:2,4,7,0,0.0,0,1,2,0,0,1,0.5,1,3,0,0,0.0,19.5,79.5,1,False,False
Combined,Set1,Draw1,1,33,1,1,0.0,7,1.0,False,False,False,False,False,True,True,1,7,1,7,1,0,1,0,889:1,988:1,2,7,0,0.0,0,1,0,0,0,1,0.5,1,6,0,0,0.0,18.5,81.0,1,False,False
Combined,Set1,Draw1,1,12,2,1,0.0,6,1.0,True,False,False,False,False,True,False,1,4,1,4,0,0,1,0,079:1,709:2,4,6,0,0.0,0,1,2,0,0,1,0.0,0,3,0,0,0.0,17.0,59.0,1,False,False
Combined,Set1,Draw1,2,29,3,1,0.0,7,1.0,True,True,False,False,False,True,False,1,7,1,7,0,0,1,0,788:1,887:3,6,7,0,0.0,0,1,2,4,0,1,0.0,1,6,0,0,0.0,28.0,86.0,1,False,False
Combined,Set1,Draw1,2,14,3,2,0.0,6,1.0,True,False,False,False,False,False,False,2,4,2,4,0,0,2,0,089:1;0889:1,908:2;9088:2,6,6,1,0.0,0,1,2,0,0,0,0.0,0,5,0,1,0.0,22.0,56.0,1,True,False
Combined,Set1,Draw1,2,13,2,1,0.0,7,1.0,True,False,False,False,False,True,True,1,4,1,4,1,0,1,0,088:1,088:2,4,7,0,0.0,0,1,2,0,0,1,0.5,1,3,1,1,0.0,21.5,79.5,2,True,False
Combined,Set1,Draw1,2,11,3,2,0.0,6,1.0,True,False,False,False,False,True,False,1,3,1,3,0,0,2,0,0788:1;078:1,0887:2;870:1,6,6,1,0.0,0,1,2,0,0,1,0.0,0,2,1,0,0.0,20.0,68.5,2,False,False
Combined,Set1,Draw1,2,33,1,1,0.0,7,1.0,False,False,False,False,False,True,True,1,7,1,7,1,0,1,0,889:1,988:1,2,7,0,0.0,0,1,0,0,0,1,0.5,1,6,0,1,0.0,19.5,81.0,1,True,False
Combined,Set1,Draw1,2,12,2,1,0.0,6,1.0,True,False,False,False,False,True,False,1,4,1,4,0,0,1,0,079:1,709:2,4,6,0,0.0,0,1,2,0,0,1,0.0,0,3,0,0,0.0,17.0,59.0,1,False,False
Combined,Set1,Draw1,3,33,2,1,0.0,7,1.0,True,False,False,False,False,True,True,3,7,3,7,5,0,5,0,348:1;889:1;3488:1,834:2;8834:2;988:1,4,7,0,0.0,0,1,2,0,0,1,0.5,1,10,0,1,0.0,27.5,81.0,1,True,False
Combined,Set1,Draw1,3,14,4,3,0.0,6,1.0,False,False,False,False,False,True,False,3,5,3,5,0,0,10,0,034889:1;0348:1;089:1,940388:1;4038:1;908:1,8,6,2,0.0,0,1,0,0,0,1,0.0,0,8,0,1,0.0,27.0,56.0,1,True,False
Combined,Set1,Draw1,3,13,2,2,0.0,7,1.0,False,False,False,False,False,True,True,3,4,3,4,3,0,3,0,088:1;038:1;0388:1,088:1;038:1;0388:1,4,7,1,0.0,0,1,0,0,0,1,0.5,1,7,1,1,0.0,24.5,79.5,2,True,False
