best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
554,90,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5938731029341427,1,1.0,own,1,14.027143,0.9899170263755858,14.027143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
554,90,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5572478545985555,1,1.0,combined,2,11.177143,0.9860718216444758,11.177143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
241,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",124,0.6555065759730607,0,1.0,combined,3,10.14381,0.960059267925683,10.14381,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
224,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5366010793535907,0,1.0,own,4,10.127143,0.955590757832928,10.127143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
223,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",223,0.494166931312752,0,1.0,combined,5,10.127143,0.955590757832928,10.127143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.6279268802015638,1,1.0,own,6,9.877143,0.9684987733220671,9.877143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
552,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.6042806114711856,1,1.0,combined,7,9.877143,0.9684987733220671,9.877143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5324543063873187,0,1.0,own,8,9.677143,0.9692645888694489,9.677143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
922,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5366010793535907,1,1.0,own,9,9.377143,0.9692645888694489,9.377143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,1
223,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",223,0.5191572840642293,0,1.0,own,10,9.327143,0.9460237850730043,9.327143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5074994375506203,0,1.0,combined,11,9.277143,0.9625869800912908,9.277143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5366010793535907,0,1.0,own,12,9.227143,0.9375612924997138,9.227143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5756643510425494,0,1.0,own,13,8.937143,0.9524472851171416,8.937143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4866698262617676,0,1.0,combined,14,8.770476,0.970645386911993,8.770476,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
241,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",124,0.6777243339951071,0,1.0,own,15,8.74381,0.9514310271096438,8.74381,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
237,6,"exact,vtrac,family_exact,family_vtrac",237,0.5531319780689512,0,1.0,combined,16,8.634643,0.8920502022691903,8.634643,Indiana4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
552,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.505833068687248,0,1.0,own,17,8.627143,0.9616580221163843,8.627143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.48084271593577066,0,1.0,combined,18,8.627143,0.9616580221163843,8.627143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
922,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5116645498437119,1,1.0,combined,19,8.477143,0.9625869800912908,8.477143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
237,6,"exact,vtrac,family_exact,family_vtrac",237,0.5898470998958403,0,1.0,own,20,8.334643,0.8970439558898022,8.334643,Indiana4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
237,6,"exact,vtrac,family_exact,family_vtrac",237,0.5654555217038132,0,1.0,combined,21,8.334643,0.8970439558898022,8.334643,Indiana4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
243,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",234,0.7649478037637648,0,1.0,own,22,8.177143,0.9522146211788345,8.177143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
