section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,3,4,1,0.0,2,1.0,True,True,True,True,True,True,False,3,1,3,1,0,0,1,1,002:1,002:4,8,2,0,0.0,2,1,2,4,1,1,0.0,1,4,0,0,0.0,26.0,68.5,1,False,False
Combined,Set1,Draw1,2,3,4,1,0.0,2,1.0,True,True,True,False,True,True,False,3,1,3,1,0,0,1,1,002:1,002:4,8,2,0,0.0,2,1,2,4,1,1,0.0,1,4,0,1,0.0,27.0,68.5,1,True,False
Combined,Set1,Draw1,3,10,4,1,0.0,1,1.0,True,True,True,False,True,True,False,1,2,1,2,0,0,1,1,022:1,022:4,8,1,0,0.0,2,1,2,4,1,1,0.0,1,1,0,0,0.0,22.0,36.5,1,False,False
Combined,Set1,Draw1,4,27,4,2,0.0,4,1.0,True,False,False,False,False,False,False,1,4,1,4,0,1,0,0,223:1,223:2,8,4,1,0.0,0,1,2,0,0,0,0.0,1,3,1,1,0.0,22.0,72.0,2,True,False
Combined,Set1,Draw1,5,27,4,2,0.0,4,1.0,True,False,False,False,False,False,False,1,4,1,4,0,7,0,0,223:1;2233:1;223377:1,223:2;2233:2;223377:2,8,4,1,0.0,0,1,2,0,0,0,0.0,1,3,1,1,0.0,22.0,72.0,2,True,False
Combined,Set1,Draw1,5,29,4,2,0.0,3,1.0,True,False,False,False,False,False,False,1,3,1,3,0,3,0,0,233:1;337:1;3377:1,233:2;337:2;3377:2,8,3,1,0.0,0,1,2,0,0,0,0.0,1,2,1,0,0.0,19.0,52.5,2,False,False
Combined,Set1,Draw1,6,28,4,1,0.0,2,0.0,True,True,False,False,False,False,False,1,5,1,5,0,0,0,0,224:1;477:1,224:3;477:1,8,2,0,0.0,0,0,2,4,0,0,0.0,1,4,1,0,0.0,22.0,82.5,2,False,False
Combined,Set1,Draw1,6,21,4,3,0.0,1,0.0,False,False,False,False,False,False,True,3,2,3,2,23,0,0,0,133677:1;12233677:1;236:1,133677:1;61773322:1;263:1,8,1,2,0.0,0,0,0,0,0,0,0.5,0,5,0,1,0.0,17.5,40.0,1,True,False
Combined,Set1,Draw1,6,20,4,2,0.0,2,0.0,True,False,False,False,False,False,False,1,2,1,2,0,0,0,0,177:1;226:1;677:1,771:2;226:1;677:1,8,2,1,0.0,0,0,2,0,0,0,0.0,1,1,0,0,0.0,15.0,45.0,1,False,False
Combined,Set1,Draw1,6,30,2,1,0.0,2,0.0,False,False,False,False,False,False,False,3,4,3,4,0,0,0,0,347:1;33477:1;2233477:1,347:1;33477:1;7733224:1,4,2,0,0.0,0,0,0,0,0,0,0.0,0,7,1,1,0.0,15.0,71.5,2,True,False
Combined,Set1,Draw1,6,22,3,1,0.0,2,0.0,False,False,False,False,False,False,True,3,2,3,2,4,0,0,0,124:1;1477:1;2246:1,241:1;4771:1;6224:1,6,2,0,0.0,0,0,0,0,0,0,0.5,0,5,0,1,0.0,14.5,40.5,1,True,False
Combined,Set1,Draw1,6,23,3,2,0.0,2,0.0,True,False,False,False,False,False,False,1,2,1,2,0,0,0,0,336:1;133:1,336:2;133:2,6,2,1,0.0,0,0,2,0,0,0,0.0,1,1,1,0,0.0,14.0,34.0,2,False,False
Combined,Set1,Draw1,6,24,2,1,0.0,2,0.0,False,False,False,False,False,False,False,3,2,3,2,0,0,0,0,134:1;13346:1;3346:1,413:1;41336:1;6334:1,4,2,0,0.0,0,0,0,0,0,0,0.0,0,5,1,1,0.0,13.0,39.5,2,True,False
Combined,Set1,Draw1,6,27,1,1,0.0,4,0.0,False,False,False,False,False,False,False,1,4,1,4,0,0,0,0,223:1;223377:1;2233:1,322:1;773322:1;3322:1,2,4,0,0.0,0,0,0,0,0,0,0.0,1,3,1,0,0.0,11.0,72.0,2,False,False
Combined,Set1,Draw1,6,33,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,334:1,334:1,2,2,0,0.0,0,0,0,0,0,0,0.0,1,2,4,0,0.0,11.0,58.0,3,False,False
Combined,Set1,Draw1,6,18,2,1,0.0,2,0.0,True,False,False,False,False,False,True,1,2,1,2,1,0,0,0,1336:1,1336:2,4,2,0,0.0,0,0,2,0,0,0,0.5,0,1,0,1,0.0,10.5,46.0,1,True,False
Combined,Set1,Draw1,6,17,1,1,0.0,2,0.0,False,False,False,False,False,False,True,3,2,3,2,2,0,0,0,167:1;1677:1,617:1;6177:1,2,2,0,0.0,0,0,0,0,0,0,0.5,0,5,0,1,0.0,10.5,32.0,1,True,False
Combined,Set1,Draw1,6,29,1,1,0.0,3,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,233:1;3377:1;337:1,332:1;7733:1;733:1,2,3,0,0.0,0,0,0,0,0,0,0.0,1,2,1,0,0.0,9.0,52.5,2,False,False
Combined,Set1,Draw1,7,28,4,2,0.0,2,0.0,True,True,False,False,False,False,False,1,5,1,5,0,0,0,0,224:1;229:1;2249:1,224:3;922:1;9224:1,8,2,1,0.0,0,0,2,4,0,0,0.0,1,4,1,0,0.0,23.0,82.5,2,False,False
Combined,Set1,Draw1,7,18,3,2,0.0,2,0.0,True,False,False,False,False,False,True,3,2,3,2,3,0,0,0,366:1;1336:1;13366:1,366:2;1336:1;13366:1,6,2,1,0.0,0,0,2,0,0,0,0.5,1,5,0,1,0.0,18.5,46.0,1,True,False
Combined,Set1,Draw1,7,22,4,2,0.0,2,0.0,False,False,False,False,False,False,True,3,2,3,2,14,0,0,0,124:1;166779:1;12249:1,241:1;661779:1;92241:1,8,2,1,0.0,0,0,0,0,0,0,0.5,0,5,1,1,0.0,18.5,40.5,2,True,False
Combined,Set1,Draw1,7,30,2,1,0.0,2,0.0,False,False,False,False,False,False,False,3,4,3,4,0,0,0,0,347:1;22334779:1;33477:1,347:1;77933224:1;33477:1,4,2,0,0.0,0,0,0,0,0,0,0.0,0,7,4,1,0.0,18.0,71.5,3,True,False
Combined,Set1,Draw1,7,33,3,1,0.0,2,0.0,True,False,False,False,False,False,False,1,3,1,3,0,0,0,0,339:1;334:1,933:2;334:1,6,2,0,0.0,0,0,2,0,0,0,0.0,1,2,4,1,0.0,18.0,58.0,3,True,False
