section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw6,1,8,4,2,0.0,2,1.0,True,False,False,True,False,True,True,2,2,2,2,8,8,0,0,011668:1;01168:1;0118:1,011866:2;01186:2;0118:2,8,2,1,0.0,0,1,2,0,0,1,0.5,0,3,4,0,0.0,22.5,42.5,3,False,False,565,135,True,True,False
Midday,Set1,Draw5,2,8,4,2,0.0,3,1.0,True,False,False,False,False,True,True,1,3,1,3,9,0,9,0,01168:1;0118:1;0115568:1,01186:2;0118:2;6811055:1,8,3,1,0.0,0,1,2,0,0,1,0.5,0,2,4,0,0.0,22.5,42.5,3,False,False,565,135,True,True,False
Midday,Set1,Draw6,1,8,4,2,0.0,2,1.0,True,False,False,True,False,True,True,1,3,1,3,9,9,0,0,01168:1;0118:1;0115568:1,01186:2;0118:2;6811055:1,8,2,1,0.0,0,1,2,0,0,1,0.5,0,2,4,0,0.0,21.5,42.5,3,False,False,565,135,True,True,False
Midday,Set3,Draw1,2,8,4,4,0.0,4,1.0,False,False,False,False,False,False,True,3,1,3,1,2,2,0,0,5568:1;568:1,5586:1;586:1,8,4,3,0.0,0,1,0,0,0,0,0.5,0,4,0,0,0.0,20.5,42.5,1,False,False,565,135,True,True,False
Combined,Set1,Draw6,2,2,4,2,0.0,1,0.0,True,False,False,False,False,True,False,1,3,1,3,0,0,0,0,001:1;00155:1;0011:1,001:2;0011:2;10055:1,8,1,1,0.0,0,0,2,0,0,1,0.0,1,2,4,0,0.0,20.0,50.5,3,False,False,565,135,True,True,True
Midday,Set1,Draw5,1,8,4,2,0.0,3,1.0,True,False,False,True,False,True,True,1,3,1,3,9,0,9,0,01168:1;0118:1;0115568:1,01186:2;0118:2;6811055:1,8,3,1,0.0,0,1,2,0,0,1,0.5,0,2,1,0,0.0,19.5,42.5,2,False,False,565,135,True,True,False
Midday,Set1,Draw7,1,8,4,2,0.0,1,0.0,True,False,False,True,False,True,True,1,3,1,3,12,0,0,0,001168:1;01168:1;0118:1,001186:2;01186:2;0118:2,8,1,1,0.0,0,0,2,0,0,1,0.5,0,2,4,0,0.0,19.5,42.5,3,False,False,565,135,True,True,False
Combined,Set1,Draw5,2,2,4,2,0.0,2,1.0,True,False,False,False,False,True,False,1,3,1,3,0,0,4,0,001:1;00155:1;0015:1,001:2;10055:1;1005:1,8,2,1,0.0,0,1,2,0,0,1,0.0,1,2,1,0,0.0,19.0,50.5,2,False,False,565,135,True,True,True
Midday,Set1,Draw6,2,8,4,2,0.0,2,0.0,False,False,False,False,False,True,True,1,3,1,3,19,0,0,0,0115568:1;01168:1;011568:1,6811055:1;68110:1;681105:1,8,2,1,0.0,0,0,0,0,0,1,0.5,0,2,4,0,0.0,18.5,42.5,3,False,False,565,135,True,True,False
Combined,Set1,Draw5,1,8,4,2,0.0,3,1.0,True,False,False,True,False,True,True,1,2,1,2,6,0,6,0,0168:1;018:1;01568:1,0186:2;018:2;68105:1,8,3,1,0.0,0,1,2,0,0,1,0.5,0,1,1,0,0.0,18.5,42.5,2,False,False,565,135,True,True,False
