area,section,set,draw,col,method,mode,dr_win_exact,dr_win_vtrac,dr_win_drop_exact,dr_win_drop_vtrac,dr_win_family_exact,dr_win_family_vtrac,dr_win_step_exact,dr_win_step_vtrac,dr_win_step_drop_exact,dr_win_step_drop_vtrac,dr_win_step_family_exact,dr_win_step_family_vtrac,dr_win_final_value,dr_win_drop_digit,dr_win_vtrac_local_index,dr_win_vt_boxed,dr_win_vt_straight
LS1,Midday,Set2,Draw1,7,E,own,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,7,,-1,1,0
LS1,Midday,Set2,Draw1,7,E,combined,0,1,0,1,0,1,-1,4,-1,3,-1,4,,,-1,1,0
LS1,Midday,Set1,Draw3,5,A,own,0,1,0,1,0,1,-1,1,-1,2,-1,2,77,,-1,1,0
LS1,Midday,Set1,Draw3,5,A,combined,0,1,0,0,0,1,-1,1,-1,-1,-1,3,,,-1,1,0
LS1,Midday,Set1,Draw4,4,A,own,0,1,0,0,0,0,-1,2,-1,-1,-1,-1,77,,-1,1,0
LS1,Midday,Set1,Draw5,3,E,own,1,1,0,0,0,0,1,1,-1,-1,-1,-1,277,,62,1,0
LS1,Midday,Set1,Draw5,3,E,combined,1,1,1,1,0,0,1,1,4,4,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw5,2,A,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,77**,,-1,0,0
LS1,Midday,Set1,Draw5,2,A,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,2,B,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,77**,,-1,0,0
LS1,Midday,Set1,Draw5,2,B,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,2,C,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,2,C,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,2,D,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,7**,,-1,0,0
LS1,Midday,Set1,Draw5,2,D,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,2,E,own,1,1,1,1,0,0,0,0,2,2,-1,-1,277**,,62,1,0
LS1,Midday,Set1,Draw5,2,E,combined,1,1,1,1,0,0,0,0,3,3,-1,-1,**,,-1,1,0
LS1,Midday,Set1,Draw5,2,T,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,2,T,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,A,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,77**,,-1,0,0
LS1,Midday,Set1,Draw5,1,A,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,B,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,77**,,-1,0,0
LS1,Midday,Set1,Draw5,1,B,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,C,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,C,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,D,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,7**,,-1,0,0
LS1,Midday,Set1,Draw5,1,D,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,E,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,277**,,62,0,0
LS1,Midday,Set1,Draw5,1,E,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,T,own,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw5,1,T,combined,1,1,0,0,0,0,0,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw6,2,E,combined,1,1,0,0,0,0,4,4,-1,-1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw7,1,B,combined,0,1,0,1,0,0,-1,4,-1,4,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw7,1,E,combined,0,1,0,1,0,0,-1,4,-1,4,-1,-1,,,-1,1,0
