section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,477,28.0,80.0,30.5,3,6,0,False,13,6,2,0,0,11,35,35,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3;boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3,set_chain3|draw_chain6|col1x2|hot1x13|hot2x6|vstrx11|dblmirrorx35
Combined,077,10.0,57.5,24.0,1,6,0,False,5,6,0,0,0,7,21,21,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|double_mirror|draw_chain6;boxed|cov3|hp_repeat6|vstr2|hot2|perm2|double_mirror|draw_chain6,draw_chain6|hot1x5|hot2x6|vstrx7|dblmirrorx21
Combined,244,31.0,53.5,34.0,2,4,0,False,1,2,3,0,0,6,9,9,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain4|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx9
Combined,024,12.0,49.0,26.5,1,4,0,False,3,6,3,0,0,5,0,16,boxed|cov4|hp_repeat6|vstr2|hot2|perm3|hidden3v|draw_chain4;boxed|cov4|hp_repeat6|vstr2|hot2|perm3|hidden3v|draw_chain4,draw_chain4|col1x3|hot1x3|hot2x6|vstrx5
Combined,455,5.0,44.5,27.5,3,3,0,False,4,0,0,0,0,0,15,15,boxed|cov4|hp_repeat5|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain3;boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain3,set_chain3|draw_chain3|hot1x4|dblmirrorx15
Combined,249,31.0,44.5,25.5,1,4,0,False,3,4,2,0,0,8,0,13,straight|cov3|hp_repeat3|vstr2|vstr3|mirror|hot1|hidden3v|vtrac_straight|draw_chain4;straight|cov3|hp_repeat3|vstr2|vstr3|mirror|hot1|hidden3v|draw_chain4,draw_chain4|col1x2|hot1x3|hot2x4|vstrx8
Combined,447,31.0,44.5,21.5,3,4,0,False,1,2,3,0,0,6,12,12,straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain4|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx12
Combined,078,11.0,44.0,24.0,1,5,0,False,2,4,5,0,0,5,0,8,boxed|cov3|hp_repeat4|hot2|dom_last|perm3|draw_chain5;straight|cov1|hp_repeat4|hot1|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x4|vstrx5
Combined,348,33.0,44.0,21.5,3,4,0,False,1,4,4,0,0,7,0,9,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain4;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x4|hot1x1|hot2x4|vstrx7
Combined,047,12.0,43.5,26.5,1,2,0,False,4,5,2,0,0,0,0,10,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain2;boxed|cov4|hp_repeat5|vstr2|hot2|perm3|hidden3v|draw_chain2,draw_chain2|col1x2|hot1x4|hot2x5
Combined,0247,12.0,43.0,28.5,1,2,0,False,2,4,2,0,0,3,0,7,boxed|cov4|hp_repeat5|vstr2|mirror|hot2|dom_last|perm3|hidden3v|draw_chain2;boxed|cov4|hp_repeat5|vstr2|mirror|hot2|perm3|hidden3v|draw_chain2,draw_chain2|col1x2|hot1x2|hot2x4|vstrx3
Combined,344,34.0,42.0,21.0,3,3,0,False,1,2,3,0,0,6,9,9,straight|cov1|hp_repeat3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx9
Combined,029,12.0,39.0,18.5,1,5,0,False,4,4,3,0,0,6,0,10,boxed|cov3|hp_repeat3|vstr2|hot1|perm2|hidden3v|draw_chain5;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain5|col1x3|hot1x4|hot2x4|vstrx6
Combined,388,32.0,38.0,25.5,1,3,0,False,1,2,3,0,0,0,6,6,boxed|cov3|hp_repeat3|vstr2|mirror|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain3;boxed|cov3|hp_repeat3|vstr2|mirror|hot2|perm2|hidden3v|double_mirror|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|dblmirrorx6
Combined,234,30.0,38.0,22.0,2,2,0,False,0,4,2,0,0,6,0,8,straight|cov2|hp_repeat4|vstr2|hot2|vtrac_straight|set_chain2|draw_chain2;straight|cov2|hp_repeat3|vstr2|hot2|vtrac_straight|set_chain2|draw_chain2,set_chain2|draw_chain2|col1x2|hot2x4|vstrx6
Combined,34478,30.0,38.0,22.0,3,3,0,False,1,2,3,0,0,5,0,7,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Combined,007,3.0,38.0,21.5,1,4,0,False,1,2,3,0,0,6,7,7,straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3,draw_chain4|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx7
Combined,089,14.0,38.0,18.5,1,5,0,False,2,4,4,0,0,6,0,11,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|draw_chain5;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain5|col1x4|hot1x2|hot2x4|vstrx6
Combined,3448,33.0,37.5,21.5,3,3,0,False,1,2,3,0,0,5,0,7,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Combined,3447,30.0,37.5,21.0,3,3,0,False,1,2,3,0,0,6,0,9,straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Combined,778,27.0,37.5,20.5,1,4,0,False,1,3,0,0,0,7,9,9,straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|hot1x1|hot2x3|vstrx7|dblmirrorx9
Combined,009,5.0,37.0,24.5,1,3,0,False,1,2,3,0,0,0,6,6,boxed|cov3|hp_repeat3|vstr2|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain3;boxed|cov3|hp_repeat3|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|dblmirrorx6
Combined,788,29.0,37.0,21.5,1,3,0,False,1,2,3,0,0,6,6,6,straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx6
Combined,038,13.0,36.5,18.5,1,4,0,False,1,4,4,0,0,6,0,9,boxed|cov2|hp_repeat4|mirror|hot2|perm2|hidden3v|draw_chain4;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx6
Combined,239,30.0,34.5,16.0,1,4,0,False,1,4,4,0,0,7,0,7,straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain4;straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx7
Combined,0079,12.0,34.0,21.5,1,3,0,False,1,2,3,0,0,6,0,6,straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
