section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,12,4,3,0.0,5,1.0,True,False,False,True,False,False,True,1,2,1,2,1,0,1,0,047:1,704:2,8,5,2,0.0,0,1,2,0,0,0,0.5,0,1,0,0,0.0,19.5,50.5,1,False,False
Combined,Set1,Draw1,2,10,3,2,0.0,6,1.0,True,False,False,False,False,False,False,1,6,1,6,0,0,1,0,077:1,770:2,6,6,1,0.0,0,1,2,0,0,0,0.0,1,5,1,0,0.0,23.0,68.0,2,False,False
Combined,Set1,Draw1,2,28,1,1,0.0,6,1.0,False,False,False,False,False,True,True,3,6,3,6,1,0,1,0,477:1,477:1,2,6,0,0.0,0,1,0,0,0,1,0.5,1,9,1,1,0.0,22.5,80.0,2,True,False
Combined,Set1,Draw1,2,12,4,3,0.0,5,1.0,True,False,False,False,False,False,True,1,2,1,2,2,0,2,0,047:1;0477:1,704:2;7704:2,8,5,2,0.0,0,1,2,0,0,0,0.5,0,1,0,0,0.0,19.5,50.5,1,False,False
Combined,Set1,Draw1,3,10,3,2,0.0,6,1.0,True,False,False,False,False,False,False,1,6,1,6,0,0,1,0,077:1,770:2,6,6,1,0.0,0,1,2,0,0,0,0.0,1,5,4,1,0.0,27.0,68.0,3,True,False
Combined,Set1,Draw1,3,28,1,1,0.0,6,1.0,False,False,False,False,False,True,True,3,6,3,6,1,0,1,0,477:1,477:1,2,6,0,0.0,0,1,0,0,0,1,0.5,1,9,1,1,0.0,22.5,80.0,2,True,False
Combined,Set1,Draw1,3,12,4,3,0.0,5,1.0,True,False,False,False,False,False,True,1,2,1,2,2,0,2,0,047:1;0477:1,704:2;7704:2,8,5,2,0.0,0,1,2,0,0,0,0.5,0,1,1,1,0.0,21.5,50.5,2,True,False
Combined,Set1,Draw1,4,10,3,2,0.0,6,1.0,True,False,False,False,False,False,False,1,6,1,6,0,1,0,0,077:1,770:2,6,6,1,0.0,0,1,2,0,0,0,0.0,1,5,4,1,0.0,27.0,68.0,3,True,False
Combined,Set1,Draw1,4,28,1,1,0.0,6,1.0,False,False,False,False,False,False,True,3,6,3,6,1,1,0,0,477:1,477:1,2,6,0,0.0,0,1,0,0,0,0,0.5,1,9,1,1,0.0,21.5,80.0,2,True,False
Combined,Set1,Draw1,4,12,4,4,0.0,5,1.0,False,False,False,False,False,False,True,1,2,1,2,4,4,0,0,04577:1;0457:1;047:1,54077:1;5407:1;407:1,8,5,3,0.0,0,1,0,0,0,0,0.5,0,1,1,1,0.0,20.5,50.5,2,True,False
