Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,452,801,194,802,239,339,216
Set3,Draw1,R2,59920013867,59920367,5920367,59367*,567*,567*,057*
Set3,Draw1,R4,25990068371,25990637,2590637,59637*,567*,567*,057*
Set3,Draw1,R6,68170059932,67059932,6705932,67593*,675*,675*,075*
Set3,Draw1,R8,70019983625,70993625,7093625,79365*,765*,765*,075*
Set2,Draw1,draw_data,801,194,802,239,339,216,156
Set2,Draw1,R2,59924033667,592033667,5933667,53667*,5667*,567*,007*
Set2,Draw1,R4,25990663347,259066337,5966337,56637*,5667*,567*,007*
Set2,Draw1,R6,66705993324,667059332,6675933,66753*,6675*,675*,007*
Set2,Draw1,R8,70993366245,709336625,7933665,73665*,7665*,765*,007*
Set1,Draw1,draw_data,194,802,239,339,216,156,117
Set1,Draw1,R2,59203386677,59336677,536677*,56677*,5677**,077**,007**
Set1,Draw1,R4,25906683377,59663377,566377*,56677*,5677**,077**,007**
Set1,Draw1,R6,66877059332,66775933,667753*,66775*,6775**,077**,007**
Set1,Draw1,R8,77098336625,77933665,773665*,77665*,7765**,077**,007**
Set1,Draw2,draw_data,N/A,802,239,339,216,156,117
Set1,Draw2,R2,N/A,55924336677,55436677,5546677*,554677*,5477**,547**
Set1,Draw2,R4,N/A,25596633477,55663477,5566477*,556477*,5477**,547**
Set1,Draw2,R6,N/A,66775593324,66775534,6677554*,677554*,7754**,754**
Set1,Draw2,R8,N/A,77933662455,77366455,7766455*,776455*,7745**,745**
Set1,Draw3,draw_data,N/A,N/A,239,339,216,156,117
Set1,Draw3,R2,N/A,N/A,55401386677,5540186677,55408677*,540877**,54087**
Set1,Draw3,R4,N/A,N/A,55066834771,5506684771,55068477*,508477**,50847**
Set1,Draw3,R6,N/A,N/A,66817705534,6681770554,68770554*,877054**,87054**
Set1,Draw3,R8,N/A,N/A,77018366455,7701866455,77086455*,770845**,70845**
Set1,Draw4,draw_data,N/A,N/A,N/A,339,216,156,117
Set1,Draw4,R2,N/A,N/A,N/A,554401186677,5544018677,5440877**,544087**
Set1,Draw4,R4,N/A,N/A,N/A,550668447711,5506844771,5084477**,508447**
Set1,Draw4,R6,N/A,N/A,N/A,668117705544,6817705544,8770544**,870544**
Set1,Draw4,R8,N/A,N/A,N/A,770118664455,7701864455,7708445**,708445**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,216,156,117
Set1,Draw5,R2,N/A,N/A,N/A,N/A,554400188677,544008877**,54400887**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,550068844771,500884477**,50088447**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,688177005544,887700544**,88700544**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770018864455,770088445**,70088445**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,156,117
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59244008877,5924400887*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25900884477,2590088447*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,88770059244,8870059244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77009882445,7009882445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,117
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5992440033887
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2599008833447
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,8870059933244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7009988332445
