section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,688,23,60.0,28.5,2,5,0,False,2,6,5,0,0,0,16,16,boxed|cov4|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain5;boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain5,set_chain2|draw_chain5|col1x5|hot1x2|hot2x6|dblmirrorx16
Combined,788,29,55.5,21.0,2,4,0,False,2,6,4,0,0,11,14,14,straight|cov1|hp_repeat4|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat4|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x2|hot2x6|vstrx11|dblmirrorx14
Combined,668,18,54.0,28.5,3,4,0,False,1,4,4,0,0,0,13,13,boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4;boxed|cov4|hp_repeat3|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x4|hot1x1|hot2x4|dblmirrorx13
Combined,188,23,53.5,24.5,1,5,0,False,2,6,5,0,0,0,15,15,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x6|dblmirrorx15
Combined,16788,21,51.5,30.5,1,4,0,False,2,6,4,0,0,2,0,14,boxed|cov4|hp_repeat5|mirror|hot2|dom_last|perm4|hidden3v|draw_chain4;boxed|cov4|hp_repeat5|mirror|hot2|perm4|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x2|hot2x6|vstrx2
Combined,266,17,51.5,22.5,3,4,0,False,1,4,4,0,0,7,13,13,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4;straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x4|hot1x1|hot2x4|vstrx7|dblmirrorx13
Combined,689,24,49.5,28.0,3,3,0,False,12,1,1,0,0,2,0,18,boxed|cov4|hp_repeat6|vstr2|hot1|dom_last|perm3|set_chain3;boxed|cov4|hp_repeat4|vstr2|hot2|perm3|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x1|hot1x12|hot2x1|vstrx2
Combined,667,17,48.5,21.5,2,4,0,False,1,4,4,0,0,9,11,11,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx11
Combined,068,8,48.0,29.5,3,3,0,False,7,2,2,0,0,0,0,20,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|set_chain3|draw_chain3;boxed|cov4|hp_repeat4|vstr2|hot1|dom_last|perm2|hidden3v|set_chain3,set_chain3|draw_chain3|col1x2|hot1x7|hot2x2
Combined,1688,18,47.5,25.5,1,5,0,False,2,6,5,0,0,1,0,15,boxed|cov3|hp_repeat5|vstr2|mirror|hot2|perm2|hidden3v|draw_chain5;boxed|cov3|hp_repeat4|vstr2|mirror|hot2|perm2|hidden3v|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x6|vstrx1
Combined,6788,21,47.5,21.5,2,4,0,False,2,6,4,0,0,8,0,15,boxed|cov2|hp_repeat5|hot2|perm2|hidden3v|set_chain2|draw_chain4;straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x2|hot2x6|vstrx8
Combined,178,21,46.5,23.5,1,6,0,False,3,6,4,0,0,2,0,18,boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|draw_chain6;boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|draw_chain6,draw_chain6|col1x4|hot1x3|hot2x6|vstrx2
Combined,6688,18,43.5,26.5,2,4,0,False,1,4,4,0,0,0,0,11,boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain4;boxed|cov4|hp_repeat3|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4
Combined,1788,21,43.5,22.5,1,4,0,False,2,6,4,0,0,2,0,14,boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|draw_chain4;boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x2|hot2x6|vstrx2
Combined,6678,21,43.0,21.5,2,4,0,False,1,4,4,0,0,9,0,11,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9
Combined,1266788,21,40.5,28.5,1,2,0,False,0,4,2,0,0,2,0,6,boxed|cov4|hp_repeat3|mirror|hot2|dom_last|perm4|hidden3v|draw_chain2;boxed|cov4|hp_repeat3|mirror|hot2|perm4|hidden3v|draw_chain2,draw_chain2|col1x2|hot2x4|vstrx2
Combined,166788,21,40.0,26.5,1,3,0,False,1,4,3,0,0,0,0,9,boxed|cov4|hp_repeat4|mirror|hot2|perm4|hidden3v|draw_chain3;boxed|cov4|hp_repeat3|mirror|hot2|perm4|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4
Combined,16688,18,40.0,24.5,1,4,0,False,1,4,4,0,0,1,0,10,boxed|cov3|hp_repeat4|vstr2|mirror|hot2|perm2|hidden3v|draw_chain4;boxed|cov3|hp_repeat3|vstr2|mirror|hot2|perm2|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx1
Combined,66788,21,39.0,21.5,2,4,0,False,1,4,4,0,0,1,0,11,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|set_chain2|draw_chain4;boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx1
Combined,26688,21,39.0,20.5,2,3,0,False,1,4,3,0,0,6,0,10,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|set_chain2|draw_chain3;straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x4|vstrx6
Combined,2668,21,38.0,19.5,2,3,0,False,1,4,3,0,0,6,0,11,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|set_chain2|draw_chain3;straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x4|vstrx6
Combined,599,15,37.5,28.0,3,2,0,True,0,0,0,0,0,2,5,5,straight|cov3|vstr2|vstr3|single_left|double_mirror|vtrac_straight|set_chain3|draw_chain2;straight|cov3|vstr2|vstr3|single_left|double_mirror|set_chain3,set_chain3|draw_chain2|vstrx2|dblmirrorx5
Combined,226,20,36.0,18.5,2,3,0,False,1,2,3,0,0,5,7,7,boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x2|vstrx5|dblmirrorx7
Combined,168,18,35.5,27.5,1,2,0,False,2,2,1,0,0,0,0,8,boxed|cov4|hp_repeat6|vstr2|mirror|hot2|dom_last|perm2|hidden3v|draw_chain2;boxed|cov4|hp_repeat6|vstr2|mirror|hot2|perm2|hidden3v|draw_chain2,draw_chain2|col1x1|hot1x2|hot2x2
Combined,126688,21,35.0,19.5,1,3,0,False,1,4,3,0,0,4,0,8,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|draw_chain3;boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx4
Combined,12266788,21,34.5,28.5,1,1,0,False,0,2,1,0,0,1,0,3,boxed|cov4|hp_repeat3|mirror|hot2|dom_last|perm4|hidden3v;boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v,draw_chain1|col1x1|hot2x2|vstrx1
