section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw1,1,788,straight,37.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,4,0,0.0,0,0.0,2,4,4,3,5,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain5
Evening,Set1,Draw1,3,788,straight,35.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,2,0,0.0,0,0.0,2,4,4,3,5,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain5
Evening,Set1,Draw1,2,788,straight,35.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,2,0,0.0,0,0.0,2,4,4,3,5,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain5
Evening,Set2,Draw1,1,788,boxed,34.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,7,887,3,29,False,8,7,1,0.0,7,0,0,2,0,4.0,0,0.0,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|dom_last|perm2|double_mirror|set_chain3
Evening,Set1,Draw1,1,088,straight,34.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,088,3,13,False,6,6,0,0.0,9,0,0,4,0,0.0,0,0.0,2,2,4,2,5,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain5
Evening,Set3,Draw1,1,7788,boxed,33.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,7,8877,3,27,False,8,7,1,0.0,7,0,0,2,0,3.0,1,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|dom_last|perm2|set_chain3
Evening,Set1,Draw1,3,7788,straight,33.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,5,8877,3,27,False,6,5,0,0.0,9,0,0,2,0,0.0,1,0.0,2,4,4,3,5,0,False,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|vtrac_straight|set_chain3|draw_chain5
Evening,Set1,Draw1,3,778,straight,33.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,5,877,3,27,False,6,5,0,0.0,9,0,0,2,0,0.0,0,0.0,2,4,4,3,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain5
Evening,Set1,Draw1,4,788,straight,32.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,1,0,0.0,0,0.0,0,4,4,3,5,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot1|double_mirror|set_chain3|draw_chain5
Evening,Set1,Draw1,3,088,straight,32.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,088,3,13,False,6,6,0,0.0,9,0,0,2,0,0.0,0,0.0,2,2,4,2,5,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain5
Evening,Set1,Draw1,2,088,straight,32.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,088,3,13,False,6,6,0,0.0,9,0,0,2,0,0.0,0,0.0,2,2,4,2,5,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain5
Midday,Set1,Draw4,1,668,boxed,31.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,866,2,18,True,8,4,1,0.0,3,0,0,4,0,4.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set1,Draw1,1,0788,boxed,31.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,4,0887,2,11,False,8,4,2,0.0,3,0,0,4,0,3.0,1,0.0,0,2,4,2,5,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm3|set_chain2|draw_chain5
Combined,Set1,Draw3,1,16788,boxed,30.5,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4,0,5,18867,1,21,True,8,5,3,0.0,1,0,0,4,1,3.0,2,0.5,0,0,3,1,4,0,False,boxed|cov4|hp_repeat5|mirror|hot2|dom_last|perm4|hidden3v|draw_chain4
Midday,Set1,Draw1,1,5668,boxed,30.5,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,6,5866,1,8,True,8,6,3,0.0,1,0,0,4,0,3.0,1,0.5,0,0,4,1,5,0,False,boxed|cov4|hp_repeat6|hot2|dom_last|perm4|hidden3v|draw_chain5
Midday,Set1,Draw1,1,668,boxed,30.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,7,866,2,18,True,8,7,1,0.0,3,0,0,4,0,0.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set3,Draw1,1,788,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,7,887,3,29,False,8,7,1,0.0,7,0,0,2,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3
