section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Combined,Set1,Draw1,1,499,straight,42.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,2,1,0,4,994,4,35.0,False,8,4,0,0.0,9,0,4,4,1,4.5,0,0.0,2,0,5,1,6,1,True,straight|cov4|hp_repeat4|vstr2|vstr3|mirror|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|draw_chain6
Evening,Set3,Draw1,1,055,straight,42.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,1,1,0,7,055,4,1.0,False,8,7,0,0.0,9,0,4,2,1,4.5,0,0.0,2,4,0,3,1,1,True,straight|cov4|hp_repeat7|vstr2|vstr3|mirror|cons_full|hot1|dom_last|cons_3v|double_mirror|vtrac_straight|set_chain3
Combined,Set1,Draw2,1,4499,straight,40.5,"R2,R4,R6,R8",True,True,True,False,True,False,False,True,False,2,1,0,4,9944,4,35.0,False,8,4,0,0.0,9,0,4,4,1,3.5,1,0.0,2,0,4,1,5,0,False,straight|cov4|hp_repeat4|vstr2|vstr3|mirror|cons_full|hot2|dom_last|vtrac_straight|draw_chain5
Combined,Set1,Draw2,1,499,straight,38.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,1,0,4,994,4,35.0,False,8,4,0,0.0,9,0,4,4,1,0.0,0,0.0,2,0,5,1,6,1,True,straight|cov4|hp_repeat4|vstr2|vstr3|mirror|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|draw_chain6
Combined,Set1,Draw2,1,449,straight,37.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,1,0,4,944,4,35.0,False,8,4,0,0.0,9,0,4,4,1,0.0,0,0.0,2,0,4,1,5,1,True,straight|cov4|hp_repeat4|vstr2|vstr3|mirror|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|draw_chain5
Combined,Set1,Draw3,1,499,straight,37.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,1,0,3,994,4,35.0,False,8,3,0,0.0,9,0,4,4,1,0.0,0,0.0,2,0,5,1,6,1,True,straight|cov4|hp_repeat3|vstr2|vstr3|mirror|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|draw_chain6
Evening,Set3,Draw1,2,055,straight,37.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,1,0,7,055,4,1.0,False,8,7,0,0.0,9,0,4,1,1,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov4|hp_repeat7|vstr2|vstr3|mirror|cons_full|hot1|cons_3v|double_mirror|vtrac_straight|set_chain3
Evening,Set2,Draw1,1,005,straight,36.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,1,1,0,1,005,4,1.0,False,8,1,0,0.0,9,0,4,2,1,4.5,0,0.0,2,4,0,3,1,1,True,straight|cov4|vstr2|vstr3|mirror|cons_full|hot1|dom_last|cons_3v|double_mirror|vtrac_straight|set_chain3
Combined,Set1,Draw1,2,499,straight,36.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,1,0,4,994,4,35.0,False,8,4,0,0.0,9,0,4,2,1,0.0,0,0.0,2,0,5,1,6,1,True,straight|cov4|hp_repeat4|vstr2|vstr3|mirror|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|draw_chain6
Combined,Set1,Draw3,1,449,straight,36.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,1,0,3,944,4,35.0,False,8,3,0,0.0,9,0,4,4,1,0.0,0,0.0,2,0,4,1,5,1,True,straight|cov4|hp_repeat3|vstr2|vstr3|mirror|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|draw_chain5
