state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
NorthCarolina4,2025-06-21,126,223,42,42,16,3,37,12,5,28,15,1,12,3,3,7,21.532,36.45,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,077,13,31,31,12,3,23,7,6,17,0,1,17,3,3,7,20.684,35.95,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_straight"
NorthCarolina4,2025-06-21,579,135,40,40,9,4,31,1,9,19,4,0,13,3,3,7,19.676,34.35,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,029,135,26,26,9,3,20,4,15,15,1,0,14,3,3,7,20.277,34.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,799,35,41,41,9,2,29,1,7,18,3,0,14,3,3,7,18.095,32.3,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,257,133,19,19,1,4,14,1,7,15,4,0,11,3,3,7,23.032,32.3,"col1,funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,246,235,81,81,18,4,59,6,24,22,4,0,0,3,3,7,18.972,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,346,245,84,84,28,4,61,14,16,25,10,0,0,3,3,7,18.164,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,167,223,33,33,7,3,28,2,4,18,16,1,0,3,3,7,19.577,31.55,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
NorthCarolina4,2025-06-21,116,22,49,49,11,4,41,0,12,24,15,0,0,3,3,7,19.957,31.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
