area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,1.0,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,0,9,-1,1,-1,-1,-1,1,Combined,1,0,1,-1,Draw1,1,0,6,6,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 2, 3], [""9"", 1, 3], [""8"", 2, 3], [""6"", 2, 3], [""9"", 1, 4], [""8"", 2, 4], [""9"", 1, 5], [""8"", 2, 5]], ""family_mass"": [0.2727272727272727, 0.375, 0.42857142857142855, 0.3333333333333333, 0.3333333333333333, 1.0], ""family_runs"": [2, 2, 2, 1, 1, 1]}",0,0,0,0,0,0.73,0.617747874769249,9,0,0,False,,score>=lock,lock,1.0,4.022827,0,0.0,0,A,6,own,559,3,3,3,3.0,3,3,3,3.0,0,0,0.9728270272003616,8.569999999999999,10.077143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,0,,-1,1,-1,-1,-1,1,Combined,1,0,1,-1,Draw1,1,0,6,4,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 4, 4, 5, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 2, 3], [""1"", 1, 3], [""6"", 2, 3], [""5"", 2, 4], [""6"", 2, 4], [""5"", 2, 5], [""6"", 2, 5]], ""family_mass"": [0.2727272727272727, 0.375, 0.4, 0.5, 0.5], ""family_runs"": [2, 2, 2, 2, 2]}",0,0,0,0,0,0.605,0.5878295384825115,,0,0,False,,score>=lock,lock,1.0,3.541253,0,0.0,0,A,6,combined,559,2,2,2,2.0,2,2,2,2.0,0,0,0.9662532171252919,8.129999999999999,9.237143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.6,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,0,,-1,1,-1,-1,-1,1,Combined,1,0,1,-1,Draw1,1,0,8,6,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""8"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""8"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 2, 3], [""9"", 1, 3], [""8"", 2, 3]], ""family_mass"": [0.2727272727272727, 0.375, 0.6, 0.0, 0.0], ""family_runs"": [2, 2, 2]}",0,0,0,0,0,0.71,0.6130141761393355,,0,0,False,,score>=lock,lock,1.0,3.922827,0,0.0,0,B,6,own,559,3,3,3,3.0,3,3,3,3.0,0,0,0.9728270272003616,8.569999999999999,10.077143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,0,,-1,1,-1,-1,-1,1,Combined,1,0,1,-1,Draw1,1,0,6,4,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 2, 3], [""1"", 1, 3], [""6"", 2, 3]], ""family_mass"": [0.2727272727272727, 0.375, 0.4, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2]}",0,0,0,0,0,0.63,0.5938731029341427,,0,0,False,,score>=lock,lock,1.0,3.66691,0,0.0,0,B,6,combined,559,2,2,2,2.0,2,2,2,2.0,0,0,0.9669103924458669,8.169999999999998,9.277143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3333333333333333,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,5,6,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 4, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""9"", 1, 3], [""8"", 2, 3]], ""family_mass"": [0.2727272727272727, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0], ""family_runs"": [2, 1, 1]}",0,0,0,0,0,0.696667,0.6098464124263923,,0,0,False,,score>=lock,lock,1.0,3.145798,0,0.0,0,C,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9624644063820927,7.913333333333334,8.270476,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.2727272727272727,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,5,6,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 4, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""1"", 1, 3], [""6"", 2, 3]], ""family_mass"": [0.2727272727272727, 0.16666666666666666, 0.0], ""family_runs"": [2, 1]}",0,0,0,0,0,0.593636,0.5850735678235807,,0,0,False,,score>=lock,lock,1.0,3.130197,0,0.0,0,C,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9620153545293704,7.889090909090909,8.246234,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,1,,-1,1,-1,-1,1,1,Combined,1,0,1,-1,Draw1,1,0,6,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 1, 3], [""9"", 1, 3], [""8"", 2, 3]], ""family_mass"": [0.2727272727272727, 0.2857142857142857, 0.5, 0.0, 0.0], ""family_runs"": [2, 1, 1]}",0,0,0,0,0,0.705,0.6118273690017372,,0,0,False,,score>=lock,lock,1.0,3.183935,0,0.0,0,D,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9589349975863709,7.73,8.437143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,1,,-1,1,-1,-1,1,1,Combined,1,0,1,-1,Draw1,1,0,6,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 1, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 1, 3], [""1"", 1, 3], [""6"", 2, 3]], ""family_mass"": [0.2727272727272727, 0.2857142857142857, 0.25, 1.0, 1.0], ""family_runs"": [2, 1, 1, 1, 1]}",0,0,0,0,0,0.63,0.5938731029341427,,0,0,False,,score>=lock,lock,1.0,3.309732,0,0.0,0,D,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9597317672286502,7.77,8.477143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,0,,-1,1,-1,-1,-1,1,Combined,1,0,1,-1,Draw1,1,0,6,6,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 4, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 2, 3], [""9"", 1, 3], [""8"", 2, 3], [""6"", 1, 3], [""5"", 1, 4], [""8"", 2, 4]], ""family_mass"": [0.2727272727272727, 0.375, 0.5, 0.3333333333333333, 0.0], ""family_runs"": [2, 2, 2, 1]}",0,0,0,0,0,0.705,0.6118273690017372,,0,0,False,,score>=lock,lock,1.0,3.897286,0,0.0,0,E,6,own,559,3,3,3,3.0,3,3,3,3.0,0,0,0.9722857033481456,8.53,10.037143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.6666666666666666,55920188667,1,11,7,4,3,0.5714285714285714,7,1,,0,1,0,0,0,,-1,1,-1,-1,-1,1,Combined,1,0,1,-1,Draw1,1,0,6,4,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""drop_vtrac"": {""drop_records"": [[""2"", 1], [""0"", 1], [""1"", 1], [""8"", 2], [""6"", 2], [""7"", 1], [""1"", 1], [""8"", 2], [""6"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 1, 1], [""0"", 1, 1], [""1"", 1, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 1, 1], [""5"", 2, 2], [""9"", 1, 2], [""1"", 1, 2], [""8"", 2, 2], [""6"", 2, 2], [""5"", 2, 3], [""1"", 1, 3], [""8"", 1, 3], [""6"", 2, 3], [""5"", 2, 4], [""8"", 1, 4], [""6"", 1, 4], [""5"", 2, 5], [""8"", 1, 5], [""5"", 1, 6], [""8"", 1, 6]], ""family_mass"": [0.2727272727272727, 0.375, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.0, 0.0], ""family_runs"": [2, 2, 2, 2, 2, 1]}",0,0,0,0,0,0.613333,0.5898470998958403,,0,0,False,,score>=lock,lock,1.0,3.583577,0,0.0,0,E,6,combined,559,2,2,2,2.0,2,2,2,2.0,0,0,0.9669103924458669,8.169999999999998,9.277143,Midday,1,Set3,0,3,1,3,1.0,3,Ohio4,Midday,2,2,0,none,15,0.0,15
