section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Midday,Set1,Draw1,1,009,straight,41.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,2,009,4,5.0,False,8,2,0,0.0,9,0,4,4,0,4.5,0,0.0,2,2,5,2,6,1,True,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw2,1,068,boxed,34.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,6,086,2,8.0,True,8,6,2,0.0,3,0,0,4,0,3.0,0,0.5,0,4,4,3,5,0,False,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain5
Combined,Set1,Draw3,1,068,boxed,33.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,5,086,2,8.0,True,8,5,2,0.0,3,0,0,4,0,3.0,0,0.5,0,4,4,3,5,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain5
Combined,Set1,Draw1,1,068,boxed,31.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,086,2,8.0,True,8,4,1,0.0,3,0,0,4,0,3.0,0,0.5,0,4,4,3,5,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|set_chain3|draw_chain5
Combined,Set2,Draw1,1,6899,boxed,30.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,3,0,7,9986,2,24.0,True,8,7,2,0.0,3,0,0,2,0,3.0,1,0.5,0,4,0,3,1,0,False,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm3|hidden3v|set_chain3
Midday,Set1,Draw1,3,011,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,5,011,3,6.0,False,8,5,1,0.0,7,0,0,2,0,0.0,0,0.0,0,2,4,2,5,1,True,boxed|cov4|hp_repeat5|vstr2|vstr3|hot2|perm2|double_mirror|set_chain2|draw_chain5
Evening,Set2,Draw1,1,059,boxed,30.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,3,0,7,590,2,5.0,False,8,7,2,0.0,3,0,0,2,1,3.0,0,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat7|vstr2|mirror|hot1|dom_last|perm3|set_chain3
Combined,Set1,Draw1,3,099,boxed,29.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,5,990,2,15.0,False,8,5,1,0.0,3,0,0,2,0,0.0,0,0.0,0,4,5,3,6,1,True,boxed|cov4|hp_repeat5|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain6
Combined,Set1,Draw2,2,099,boxed,29.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,5,990,2,15.0,False,8,5,1,0.0,3,0,0,2,0,0.0,0,0.0,0,4,5,3,6,1,True,boxed|cov4|hp_repeat5|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain6
Midday,Set1,Draw1,5,011,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,5,011,3,6.0,False,8,5,1,0.0,7,0,0,1,0,0.0,0,0.0,0,2,4,2,5,1,True,boxed|cov4|hp_repeat5|vstr2|vstr3|hot1|perm2|double_mirror|set_chain2|draw_chain5
