section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Midday,Set1,Draw1,3,9,4,3,0.0,5,1.0,True,False,False,False,False,False,False,3,5,3,5,0,0,2,0,0119:1;019:1,9011:2;901:2,8,5,2,0.0,0,1,2,0,0,0,0.0,0,8,1,1,0.0,28.0,50.5,2,True,False,069,868,True,True,True
Midday,Set1,Draw1,4,9,4,3,0.0,5,1.0,True,False,False,False,False,False,False,3,5,3,5,0,2,0,0,0119:1;019:1,9011:2;901:2,8,5,2,0.0,0,1,2,0,0,0,0.0,0,8,1,1,0.0,28.0,50.5,2,True,False,069,868,True,True,True
Combined,Set1,Draw4,3,23,4,3,0.0,4,0.0,True,False,False,False,False,True,True,1,6,1,6,5,0,0,0,688:1;33688:1;3368:1,688:2;33886:1;8336:1,8,4,2,0.0,0,0,2,0,0,1,0.5,1,5,4,0,0.0,27.5,56.5,3,False,False,069,868,True,True,False
Combined,Set1,Draw5,2,23,4,3,0.0,3,1.0,True,False,False,False,False,True,True,1,6,1,6,9,0,9,0,688:1;33688:1;336688:1,688:2;33886:1;338866:1,8,3,2,0.0,0,1,2,0,0,1,0.5,1,5,4,0,0.0,27.5,56.5,3,False,False,069,868,True,True,False
Combined,Set1,Draw5,3,23,4,3,0.0,3,0.0,True,False,False,False,False,True,True,1,6,1,6,9,0,0,0,688:1;33688:1;336688:1,688:2;33886:1;338866:1,8,3,2,0.0,0,0,2,0,0,1,0.5,1,5,4,0,0.0,26.5,56.5,3,False,False,069,868,True,True,False
Combined,Set1,Draw2,6,23,4,2,0.0,5,0.0,True,False,False,False,False,False,True,1,6,1,6,2,0,0,0,688:1;188:1,886:2;188:1,8,5,1,0.0,0,0,2,0,0,0,0.5,1,5,4,0,0.0,26.5,56.5,3,False,False,069,868,True,True,False
Combined,Set1,Draw4,4,23,4,3,0.0,4,0.0,True,False,False,False,False,False,True,1,6,1,6,5,0,0,0,688:1;33688:1;3368:1,688:2;33886:1;8336:1,8,4,2,0.0,0,0,2,0,0,0,0.5,1,5,4,0,0.0,26.5,56.5,3,False,False,069,868,True,True,False
Combined,Set1,Draw4,2,23,4,3,0.0,4,1.0,True,False,False,False,False,True,True,1,6,1,6,5,0,5,0,688:1;33688:1;3368:1,688:2;33886:1;8336:1,8,4,2,0.0,0,1,2,0,0,1,0.5,1,5,1,0,0.0,25.5,56.5,2,False,False,069,868,True,True,False
Combined,Set1,Draw1,7,9,3,1,0.0,5,0.0,False,False,False,False,False,False,True,3,6,3,6,7,0,0,0,0699:1;069:1;0199:1,9906:1;906:1;0199:1,6,5,0,0.0,0,0,0,0,0,0,0.5,0,9,4,1,0.0,25.5,50.5,3,True,False,069,868,True,True,True
Combined,Set1,Draw6,2,23,4,3,0.0,2,0.0,True,False,False,False,False,True,True,1,6,1,6,9,0,0,0,688:1;33688:1;336688:1,688:2;33886:1;338866:1,8,2,2,0.0,0,0,2,0,0,1,0.5,1,5,4,0,0.0,25.5,56.5,3,False,False,069,868,True,True,False
