area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,0.23076923076923078,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""6"", 2, 2], [""7"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""3"", 2, 3], [""8"", 2, 3], [""6"", 2, 3], [""7"", 2, 3], [""5"", 1, 4], [""0"", 2, 4], [""3"", 2, 4], [""6"", 2, 4], [""3"", 2, 5], [""6"", 2, 5], [""3"", 2, 6], [""6"", 2, 6]], ""family_mass"": [0.23076923076923078, 0.09090909090909091, 0.09090909090909091, 0.14285714285714285, 0.0, 0.0, 0.0], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.584872,0.5829442852704401,66,0,0,False,,score>=lock,lock,1.0,2.668216,0,0.0,0,A,6,own,522,1,1,1,1.0,1,1,1,1.0,0,1,0.91052326921009,6.122307692307693,6.479451,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.3333333333333333,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""6"", 2, 2], [""7"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""8"", 2, 3], [""6"", 2, 3], [""7"", 2, 3], [""5"", 1, 4], [""0"", 2, 4], [""8"", 2, 4], [""6"", 2, 4], [""7"", 2, 4], [""5"", 1, 5], [""0"", 2, 5], [""8"", 2, 5], [""5"", 1, 6], [""0"", 2, 6]], ""family_mass"": [0.23076923076923078, 0.09090909090909091, 0.1111111111111111, 0.1111111111111111, 0.2, 0.3333333333333333, 0.0], ""family_runs"": [2, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.49,0.5597136492671929,,0,0,False,,score>=lock,lock,1.0,2.707351,0,0.0,0,A,6,combined,522,1,1,1,1.0,1,1,1,1.0,0,0,0.9240174262069543,6.463333333333333,6.820476,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.23076923076923078,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""7"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""3"", 2, 3], [""8"", 2, 3], [""5"", 1, 4], [""0"", 2, 4], [""3"", 2, 4]], ""family_mass"": [0.23076923076923078, 0.1111111111111111, 0.14285714285714285, 0.2], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.584872,0.5829442852704401,,0,0,False,,score>=lock,lock,1.0,2.680196,0,0.0,0,B,6,own,522,1,1,1,1.0,1,1,1,1.0,0,0,0.9225037308017489,6.422307692307692,6.779451,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.3333333333333333,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 4, 4, 5, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""7"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""7"", 2, 3], [""5"", 1, 4], [""0"", 2, 4], [""5"", 1, 5], [""0"", 2, 5]], ""family_mass"": [0.23076923076923078, 0.1111111111111111, 0.2, 0.3333333333333333, 0.3333333333333333, 0.0], ""family_runs"": [2, 1, 1, 1, 1]}",0,0,0,0,0,0.49,0.5597136492671929,,0,0,False,,score>=lock,lock,1.0,2.707351,0,0.0,0,B,6,combined,522,1,1,1,1.0,1,2,1,1.0,0,0,0.9240174262069543,6.463333333333333,7.020476,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.3333333333333333,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""3"", 2, 3], [""8"", 2, 3], [""5"", 1, 4], [""0"", 2, 4]], ""family_mass"": [0.23076923076923078, 0.14285714285714285, 0.14285714285714285, 0.3333333333333333], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.59,0.5841905229354074,,0,0,False,,score>=lock,lock,1.0,2.707351,0,0.0,0,C,6,own,522,1,1,1,1.0,1,1,1,1.0,0,0,0.9240174262069543,6.463333333333333,6.820476,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.3333333333333333,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""5"", 1, 4], [""0"", 2, 4]], ""family_mass"": [0.23076923076923078, 0.14285714285714285, 0.3333333333333333, 0.3333333333333333], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.49,0.5597136492671929,,0,0,False,,score>=lock,lock,1.0,2.707351,0,0.0,0,C,6,combined,522,1,1,1,1.0,1,1,1,1.0,0,0,0.9240174262069543,6.463333333333333,6.820476,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.25,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""7"", 1, 2], [""5"", 1, 3], [""0"", 2, 3], [""3"", 2, 3], [""8"", 2, 3], [""5"", 1, 4], [""0"", 2, 4], [""3"", 1, 4]], ""family_mass"": [0.23076923076923078, 0.125, 0.14285714285714285, 0.25], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.585833,0.5831780360767068,,0,0,False,,score>=lock,lock,1.0,2.68529,0,0.0,0,D,6,own,522,1,1,1,1.0,1,1,1,1.0,0,0,0.922789736267539,6.43,6.787143,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.3333333333333333,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 4, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""7"", 1, 2], [""5"", 1, 3], [""0"", 2, 3], [""7"", 1, 3], [""5"", 1, 4], [""0"", 2, 4], [""5"", 1, 5], [""0"", 2, 5]], ""family_mass"": [0.23076923076923078, 0.125, 0.25, 0.3333333333333333, 0.3333333333333333, 0.0], ""family_runs"": [2, 1, 1, 1, 1]}",0,0,0,0,0,0.49,0.5597136492671929,,0,0,False,,score>=lock,lock,1.0,2.707351,0,0.0,0,D,6,combined,522,1,1,1,1.0,1,2,1,1.0,0,0,0.9240174262069543,6.463333333333333,7.020476,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.23076923076923078,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,6,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""2"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""7"", 2, 2], [""5"", 1, 3], [""0"", 2, 3], [""3"", 2, 3], [""8"", 2, 3], [""7"", 1, 3], [""5"", 1, 4], [""0"", 2, 4], [""3"", 2, 4], [""8"", 1, 4], [""0"", 1, 5], [""3"", 2, 5]], ""family_mass"": [0.23076923076923078, 0.2, 0.125, 0.16666666666666666, 0.0, 0.0], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.584872,0.5829442852704401,,0,0,False,,score>=lock,lock,1.0,2.680196,0,0.0,0,E,6,own,522,1,1,1,1.0,1,2,1,1.0,0,0,0.9225037308017489,6.422307692307692,6.979451,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
LS1,1,0.3333333333333333,5220033886677,1,2,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,6,0,2,2,1.0,2,1,1,1,1,1,1,225,25,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 5, 3, 3, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 2], [""3"", 2], [""8"", 2], [""6"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""2"", 2, 1], [""0"", 2, 1], [""3"", 2, 1], [""8"", 2, 1], [""6"", 2, 1], [""7"", 2, 1], [""5"", 1, 2], [""2"", 1, 2], [""0"", 2, 2], [""3"", 2, 2], [""8"", 2, 2], [""7"", 2, 2], [""5"", 1, 3], [""2"", 1, 3], [""0"", 2, 3], [""8"", 2, 3], [""7"", 2, 3], [""5"", 1, 4], [""0"", 2, 4], [""8"", 2, 4], [""7"", 1, 4], [""5"", 1, 5], [""0"", 2, 5], [""8"", 1, 5], [""5"", 1, 6], [""0"", 2, 6]], ""family_mass"": [0.23076923076923078, 0.2, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.0], ""family_runs"": [2, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.49,0.5597136492671929,,0,0,False,,score>=lock,lock,1.0,2.707351,0,0.0,0,E,6,combined,522,1,1,1,1.0,1,3,1,1.0,0,0,0.9240174262069543,6.463333333333333,7.220476,Midday,1,Set3,0,1,1,3,1.0,3,OntarioCanada4,Midday,2,1,0,none,13,0.0,13
