section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Midday,Set3,Draw1,4,21,4,4,0.0,3,1.0,True,False,False,False,False,False,False,3,1,3,1,0,8,0,0,226778:1;6778:1;26778:1,6877:2;687:2;228677:1,8,3,3,0.0,0,1,2,0,0,0,0.0,0,4,1,0,0.0,22.0,35.5,2,False,False,678,517,True,True,True
Midday,Set2,Draw1,6,21,4,2,0.0,3,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,36778:1;6778:1;3678:1,38677:1;8677:1;3867:1,8,3,1,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,21.0,35.5,3,True,False,678,517,True,True,True
Midday,Set3,Draw1,6,21,4,2,0.0,3,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,3367788:1;336788:1;6778:1,3388677:1;338867:1;8677:1,8,3,1,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,21.0,35.5,3,True,False,678,517,True,True,True
Midday,Set1,Draw1,1,7,4,2,0.0,2,1.0,True,True,False,True,False,False,False,2,1,2,1,0,0,1,0,067:1,067:3,8,2,1,0.0,0,1,2,4,0,0,0.0,0,2,0,1,0.0,21.0,39.5,1,True,False,678,517,True,True,True
Midday,Set2,Draw1,7,21,4,2,0.0,3,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,3367788:1;13367788:1;336788:1,3388677:1;13388677:1;338867:1,8,3,1,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,21.0,35.5,3,True,False,678,517,True,True,True
Midday,Set1,Draw1,7,21,4,2,0.0,2,0.0,False,False,False,False,False,False,False,3,2,3,2,0,0,0,0,36778:1;3678:1;6778:1,38677:1;3867:1;8677:1,8,2,1,0.0,0,0,0,0,0,0,0.0,0,5,4,1,0.0,21.0,35.5,3,True,False,678,517,True,True,True
Midday,Set3,Draw1,5,21,4,2,0.0,3,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,36778:1;6778:1;3678:1,38677:1;8677:1;3867:1,8,3,1,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,21.0,35.5,3,True,False,678,517,True,True,True
Midday,Set1,Draw1,2,7,4,2,0.0,2,1.0,True,True,False,False,False,False,False,2,1,2,1,0,0,1,0,067:1,067:3,8,2,1,0.0,0,1,2,4,0,0,0.0,0,2,0,0,0.0,20.0,39.5,1,False,False,678,517,True,True,True
Midday,Set1,Draw1,6,21,4,2,0.0,2,0.0,True,False,False,False,False,False,False,3,2,3,2,0,0,0,0,6778:1;678:1;226778:1,6877:2;687:2;228677:1,8,2,1,0.0,0,0,2,0,0,0,0.0,0,5,1,1,0.0,20.0,35.5,2,True,False,678,517,True,True,True
Midday,Set2,Draw1,5,21,4,2,0.0,3,0.0,True,False,False,False,False,False,False,3,1,3,1,0,0,0,0,6778:1;678:1;226778:1,6877:2;687:2;228677:1,8,3,1,0.0,0,0,2,0,0,0,0.0,0,4,1,1,0.0,20.0,35.5,2,True,False,678,517,True,True,True
Midday,Set2,Draw1,1,7,4,2,0.0,1,1.0,True,True,False,True,False,False,False,2,1,2,1,0,1,0,0,067:1,067:3,8,1,1,0.0,0,1,2,4,0,0,0.0,0,2,0,1,0.0,20.0,39.5,1,True,False,678,517,True,True,True
Evening,Set1,Draw2,6,21,3,2,0.0,2,0.0,False,False,False,False,False,False,True,3,3,3,3,9,0,0,0,236:1;223368:1;23368:1,362:1;833622:1;83362:1,6,2,1,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,19.5,35.5,3,False,False,678,517,True,True,True
Combined,Set3,Draw1,3,21,4,3,0.0,3,1.0,True,False,False,False,False,True,True,2,1,2,1,4,4,0,0,12233:1;1233:1;1223:1,13322:2;1332:2;2213:1,8,3,2,0.0,0,1,2,0,0,1,0.5,0,2,0,0,0.0,19.5,35.5,1,False,False,678,517,True,True,True
Midday,Set1,Draw1,5,7,4,4,0.0,3,1.0,False,False,False,False,False,False,False,2,3,2,3,0,8,0,0,225677:1;2256:1;22567:1,522677:1;5226:1;52267:1,8,3,3,0.0,0,1,0,0,0,0,0.0,0,4,0,0,0.0,19.0,39.5,1,False,False,678,517,True,True,True
Combined,Set1,Draw1,7,21,2,1,0.0,3,0.0,False,False,False,False,False,False,True,3,3,3,3,8,0,0,0,22336:1;2336:1;2236:1,33622:1;3362:1;3622:1,4,3,0,0.0,0,0,0,0,0,0,0.5,0,6,4,1,0.0,18.5,35.5,3,True,False,678,517,True,True,True
Midday,Set3,Draw1,7,21,4,2,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,3367788:1;33667788:1;336788:1,6883377:1;33886677:1;688337:1,8,2,1,0.0,0,0,0,0,0,0,0.0,0,2,4,1,0.0,18.0,35.5,3,True,False,678,517,True,True,True
Combined,Set2,Draw1,6,21,2,2,0.0,3,0.0,False,False,False,False,False,False,True,3,1,3,1,16,0,0,0,22336:1;113367:1;13367:1,33622:1;113367:1;13367:1,4,3,1,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,17.5,35.5,3,True,False,678,517,True,True,True
Midday,Set1,Draw2,6,21,3,2,0.0,1,0.0,False,False,False,False,False,False,False,3,2,3,2,0,0,0,0,6778:1;678:1;2268:1,8677:1;867:1;8622:1,6,1,1,0.0,0,0,0,0,0,0,0.0,0,5,4,0,0.0,17.0,35.5,3,False,False,678,517,True,True,True
Combined,Set1,Draw2,6,21,2,1,0.0,2,0.0,False,False,False,False,False,False,True,3,3,3,3,8,0,0,0,22336:1;13367:1;2336:1,33622:1;13367:1;3362:1,4,2,0,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,16.5,35.5,3,False,False,678,517,True,True,True
Combined,Set2,Draw1,4,21,3,2,0.0,3,1.0,False,False,False,False,False,False,True,3,1,3,1,12,12,0,0,22336:1;2236:1;2336:1,22633:1;2263:1;2633:1,6,3,1,0.0,0,1,0,0,0,0,0.5,0,4,0,1,0.0,16.5,35.5,1,True,False,678,517,True,True,True
Midday,Set1,Draw7,1,21,2,2,0.0,1,0.0,False,False,False,False,False,True,False,3,2,3,2,0,0,0,0,678:1;336678:1;36678:1,687:1;338667:1;38667:1,4,1,1,0.0,0,0,0,0,0,1,0.0,0,5,4,0,0.0,16.0,35.5,3,False,False,678,517,True,True,True
