section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Midday,Set1,Draw1,1,067,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,2,067,3,7,False,8,2,1,0.0,7,0,0,4,0,3.0,0,0.0,0,2,0,2,1,0,False,boxed|cov4|hp_repeat2|vstr2|vstr3|hot2|dom_last|perm2|set_chain2,067,157,678,517,False,False,True
Midday,Set2,Draw1,1,067,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,1,067,3,7,False,8,1,1,0.0,7,0,0,2,0,3.0,0,0.0,0,2,0,2,1,0,False,boxed|cov4|vstr2|vstr3|hot1|dom_last|perm2|set_chain2,067,157,678,517,False,False,True
Midday,Set3,Draw1,4,226778,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4,0,1,228677,1,21,False,8,1,3,0.0,1,0,0,1,1,0.0,3,0.0,0,4,0,3,1,0,False,boxed|cov4|mirror|hot1|perm4|set_chain3,226778,678,678,517,False,False,True
Midday,Set3,Draw1,4,6778,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,6877,2,21,False,8,3,2,0.0,3,0,0,1,0,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|set_chain3,6778,678,678,517,False,False,True
Midday,Set1,Draw1,2,067,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,2,067,3,7,False,8,2,1,0.0,7,0,0,2,0,0.0,0,0.0,0,2,0,2,1,0,False,boxed|cov4|hp_repeat2|vstr2|vstr3|hot2|perm2|set_chain2,067,157,678,517,False,False,True
Combined,Set3,Draw1,3,12233,boxed,21.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,13322,2,21,True,8,3,2,0.0,3,0,0,1,0,0.0,2,0.5,0,2,0,2,1,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|hidden3v|set_chain2,12233,678,678,517,False,False,True
Midday,Set3,Draw1,4,26778,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4,0,1,28677,1,21,False,8,1,3,0.0,1,0,0,1,1,0.0,2,0.0,0,4,0,3,1,0,False,boxed|cov4|mirror|hot1|perm4|set_chain3,26778,678,678,517,False,False,True
Midday,Set3,Draw1,4,678,boxed,21.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,687,2,21,False,8,3,2,0.0,3,0,0,1,0,0.0,0,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|set_chain3,678,678,678,517,True,False,True
Combined,Set3,Draw1,3,1233,boxed,20.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,1332,2,21,True,8,3,2,0.0,3,0,0,1,0,0.0,1,0.5,0,2,0,2,1,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|hidden3v|set_chain2,1233,678,678,517,False,False,True
Midday,Set3,Draw1,4,22678,boxed,18.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3,0,1,22867,1,21,False,6,1,2,0.0,1,0,0,1,1,0.0,2,0.0,0,4,0,3,1,0,False,boxed|cov3|mirror|hot1|perm3|set_chain3,22678,678,678,517,False,False,True
Midday,Set2,Draw1,5,6778,boxed,18.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,0,2,0,3,6877,2,21,False,6,3,1,0.0,3,0,0,0,0,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov3|hp_repeat3|vstr2|perm2|set_chain3,6778,678,678,517,False,False,True
Midday,Set1,Draw1,6,6778,boxed,18.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,0,2,0,2,6877,2,21,False,6,2,1,0.0,3,0,0,0,0,0.0,1,0.0,0,4,1,3,2,0,False,boxed|cov3|hp_repeat2|vstr2|perm2|set_chain3|draw_chain2,6778,678,678,517,False,False,True
Midday,Set1,Draw1,5,225677,boxed,18.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4,0,1,522677,1,7,False,8,1,3,0.0,1,0,0,1,1,0.0,3,0.0,0,0,0,1,1,0,False,boxed|cov4|mirror|hot1|perm4,225677,157,678,517,False,False,True
Midday,Set1,Draw4,1,3667,straight,18.0,R2,False,False,False,False,False,False,False,False,False,2,1,0,4,3667,1,21,False,2,4,0,0.0,3,0,0,4,0,0.0,1,0.0,2,0,2,1,3,0,False,straight|cov1|hp_repeat4|hot2|vtrac_straight|draw_chain3,3667,678,678,517,False,False,True
Combined,Set1,Draw1,5,22336,straight,17.5,R8,False,False,False,False,False,False,False,False,False,1,1,0,3,33622,1,21,True,2,3,0,0.0,3,0,0,1,0,0.0,2,0.5,0,4,2,3,3,0,False,straight|cov1|hp_repeat3|hot1|hidden3v|set_chain3|draw_chain3,22336,678,678,517,False,False,True
Midday,Set3,Draw1,4,2678,boxed,17.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3,0,1,2867,1,21,False,6,1,2,0.0,1,0,0,1,1,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov3|mirror|hot1|perm3|set_chain3,2678,678,678,517,False,False,True
