section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Combined,Set1,Draw1,1,009,straight,40.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,1,009,4,5.0,True,8,1,0,0.0,9,0,4,4,0,4.5,0,0.5,2,0,6,1,7,1,True,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw1,1,229,boxed,38.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,7,922,3,28.0,True,8,7,1,0.0,7,0,0,4,0,4.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set1,Draw2,1,229,straight,34.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,922,3,28.0,True,6,6,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Combined,Set3,Draw1,1,003,straight,33.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1,0,1,003,4,4.0,False,8,1,0,0.0,9,0,4,2,0,4.5,0,0.0,2,2,0,2,1,1,True,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v|double_mirror|vtrac_straight|set_chain2
Evening,Set1,Draw3,1,229,straight,33.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,922,3,28.0,True,6,5,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw1,3,224,straight,32.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,224,3,28.0,True,6,6,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw1,2,224,straight,32.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,224,3,28.0,True,6,6,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw4,1,229,straight,32.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,922,3,28.0,True,6,4,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw5,1,2249,straight,32.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,1,0,3,9224,3,28.0,True,6,3,0,0.0,9,0,0,4,1,0.0,1,0.5,2,0,6,1,7,0,False,straight|cov3|hp_repeat3|vstr2|vstr3|mirror|hot2|hidden3v|vtrac_straight|draw_chain7
Evening,Set1,Draw2,2,224,straight,31.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,224,3,28.0,True,6,5,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw2,1,2259,boxed,31.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,4,5922,2,12.0,True,8,4,2,0.0,3,0,0,4,0,3.0,1,0.5,0,0,6,1,7,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain7
Evening,Set1,Draw3,1,2259,boxed,31.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,4,5922,2,12.0,True,8,4,2,0.0,3,0,0,4,0,3.0,1,0.5,0,0,6,1,7,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain7
Evening,Set1,Draw5,1,229,straight,31.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,922,3,28.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw5,1,224,straight,31.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,224,3,28.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Combined,Set1,Draw4,1,005699,boxed,31.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,4,599006,2,9.0,False,8,4,2,0.0,3,0,0,4,1,3.0,3,0.0,0,0,3,1,4,0,False,boxed|cov4|hp_repeat4|vstr2|mirror|hot2|dom_last|perm3|draw_chain4
Evening,Set2,Draw1,1,249,boxed,31.0,"R2,R4,R6,R8",True,True,True,False,False,False,False,True,False,1,2,0,7,924,3,31.0,False,8,7,1,0.0,7,0,0,2,1,3.0,0,0.0,0,2,0,2,1,0,False,boxed|cov4|hp_repeat7|vstr2|vstr3|mirror|hot1|dom_last|perm2|set_chain2
Evening,Set1,Draw2,3,224,straight,30.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,5,224,3,28.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw3,2,224,straight,30.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,224,3,28.0,True,6,4,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Combined,Set1,Draw3,1,0059,boxed,29.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,5,5900,2,5.0,True,8,5,2,0.0,3,0,0,4,1,3.0,1,0.5,0,0,2,1,3,0,False,boxed|cov4|hp_repeat5|vstr2|mirror|hot2|dom_last|perm3|hidden3v|draw_chain3
Combined,Set1,Draw4,1,599,straight,29.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,4,599,3,15.0,True,6,4,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,3,1,4,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4
Evening,Set1,Draw1,5,224,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,6,224,3,28.0,True,6,6,0,0.0,9,0,0,1,0,0.0,0,0.5,0,0,6,1,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|hidden3v|double_mirror|draw_chain7
Evening,Set1,Draw1,4,224,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,6,224,3,28.0,True,6,6,0,0.0,9,0,0,1,0,0.0,0,0.5,0,0,6,1,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|hidden3v|double_mirror|draw_chain7
Evening,Set1,Draw3,3,224,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,4,224,3,28.0,True,6,4,0,0.0,9,0,0,1,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw4,2,224,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,224,3,28.0,True,6,3,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw5,2,224,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,224,3,28.0,True,6,3,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7
Evening,Set1,Draw6,1,2249,straight,29.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,1,1,0,2,9224,3,28.0,True,6,2,0,0.0,9,0,0,2,1,0.0,1,0.5,2,0,6,1,7,0,False,straight|cov3|hp_repeat2|vstr2|vstr3|mirror|hot1|hidden3v|vtrac_straight|draw_chain7
Evening,Set1,Draw7,1,224,straight,29.5,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1,0,1,224,3,28.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,0,6,1,7,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|draw_chain7
