section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,022,10.0,77.5,37.0,3,6,0,False,8,4,1,1,0,11,24,24,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat5|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x1|hot1x8|hot2x4|consensusx1|vstrx11|dblmirrorx24
Combined,223,27.0,77.0,30.0,3,6,0,False,12,6,1,0,0,10,34,34,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|double_mirror|set_chain3;boxed|cov4|hp_repeat6|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x1|hot1x12|hot2x6|vstrx10|dblmirrorx34
Combined,038,13.0,71.0,35.5,3,7,0,False,7,6,5,0,0,8,0,21,boxed|cov4|hp_repeat4|vstr2|mirror|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain7;boxed|cov4|hp_repeat4|vstr2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x5|hot1x7|hot2x6|vstrx8
Combined,003,4.0,49.5,36.5,1,3,0,False,0,2,2,2,0,2,5,5,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|draw_chain3;straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|draw_chain3,draw_chain3|col1x2|hot2x2|consensusx2|vstrx2|dblmirrorx5
Combined,013,8.0,48.0,24.0,3,6,0,False,2,4,3,0,0,8,0,18,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain3|draw_chain6;straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x3|hot1x2|hot2x4|vstrx8
Combined,2238,27.0,46.0,26.0,3,4,0,False,6,3,0,0,0,4,0,12,boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm3|set_chain3;boxed|cov4|hp_repeat2|vstr2|mirror|hot1|perm3|set_chain3,set_chain3|draw_chain4|hot1x6|hot2x3|vstrx4
Combined,138,23.0,45.5,21.0,3,6,0,False,2,4,4,0,0,7,0,14,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|set_chain3|draw_chain4;straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|set_chain3|draw_chain4,set_chain3|draw_chain6|col1x4|hot1x2|hot2x4|vstrx7
Combined,238,29.0,45.0,25.0,3,4,0,False,6,3,0,0,0,4,0,12,boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm3|set_chain3;boxed|cov4|hp_repeat2|vstr2|mirror|hot1|perm3|set_chain3,set_chain3|draw_chain4|hot1x6|hot2x3|vstrx4
Combined,033,13.0,44.5,31.5,1,3,0,True,4,0,0,1,0,2,9,9,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1|cons_3v|hidden3v|double_mirror|vtrac_straight|draw_chain3;straight|cov2|hp_repeat3|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain3,draw_chain3|hot1x4|consensusx1|vstrx2|dblmirrorx9
Combined,0138,8.0,43.5,21.0,3,5,0,False,2,4,3,0,0,6,0,13,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain5|col1x3|hot1x2|hot2x4|vstrx6
Combined,099,15.0,43.0,26.0,2,3,0,False,1,2,3,0,0,4,7,7,boxed|cov3|hp_repeat3|vstr2|hot2|dom_last|perm2|double_mirror|set_chain2|draw_chain3;straight|cov2|hp_repeat2|vstr2|hot1|double_mirror|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x2|vstrx4|dblmirrorx7
