section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw1,6,8,4,3,0.0,3,0.0,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,01338:1;013:1;013368:1,01338:1;013:1;013386:1,8,3,2,0.0,0,0,0,0,0,0,0.0,0,9,4,1,0.0,27.0,51.5,3,True,False,667,360,True,True,True
Combined,Set1,Draw1,5,8,3,3,0.0,3,1.0,False,False,False,False,False,False,False,3,6,3,6,0,5,0,0,01338:1;013:1;0138:1,01338:1;013:1;8103:1,6,3,2,0.0,0,1,0,0,0,0,0.0,0,9,4,1,0.0,26.0,51.5,3,True,False,667,360,True,True,True
Combined,Set1,Draw2,5,8,4,3,0.0,2,0.0,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,001338:1;0013368:1;013:1,001338:1;0013386:1;013:1,8,2,2,0.0,0,0,0,0,0,0,0.0,0,9,4,0,0.0,25.0,51.5,3,False,False,667,360,True,True,True
Combined,Set1,Draw3,5,8,4,3,0.0,2,0.0,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,00133688:1;0013388:1;013:1,00133886:1;0013388:1;013:1,8,2,2,0.0,0,0,0,0,0,0,0.0,0,9,4,0,0.0,25.0,51.5,3,False,False,667,360,True,True,True
Combined,Set1,Draw2,6,8,4,3,0.0,2,0.0,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,001338:1;0013368:1;00133668:1,001338:1;0013386:1;00133866:1,8,2,2,0.0,0,0,0,0,0,0,0.0,0,9,4,0,0.0,25.0,51.5,3,False,False,667,360,True,True,True
Combined,Set1,Draw1,7,8,3,1,0.0,3,0.0,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,013:1;01338:1;0133:1,013:1;01338:1;0133:1,6,3,0,0.0,0,0,0,0,0,0,0.0,0,9,4,1,0.0,23.0,51.5,3,True,False,667,360,True,True,True
Combined,Set1,Draw3,4,8,4,4,0.0,2,0.0,False,False,False,False,False,False,False,2,4,2,4,0,0,0,0,033688:1;068:1;03688:1,033886:1;068:1;06883:1,8,2,3,0.0,0,0,0,0,0,0,0.0,0,5,4,0,0.0,22.0,51.5,3,False,False,667,360,True,True,True
Evening,Set1,Draw4,3,8,3,3,0.0,4,0.0,False,False,False,False,False,True,False,1,6,1,6,0,0,0,0,013388:1;01338:1;013:1,013388:1;01338:1;013:1,6,4,2,0.0,0,0,0,0,0,1,0.0,0,5,4,0,0.0,22.0,51.5,3,False,False,667,360,True,True,True
Evening,Set1,Draw4,2,8,3,3,0.0,4,1.0,False,False,False,False,False,False,False,1,6,1,6,0,0,5,0,01338:1;013:1;0133:1,01338:1;013:1;0133:1,6,4,2,0.0,0,1,0,0,0,0,0.0,0,5,4,0,0.0,22.0,51.5,3,False,False,667,360,True,True,True
Evening,Set1,Draw4,1,8,3,3,0.0,4,1.0,False,False,False,True,False,False,False,1,6,1,6,0,0,5,0,01338:1;013:1;0133:1,01338:1;013:1;0133:1,6,4,2,0.0,0,1,0,0,0,0,0.0,0,5,4,0,0.0,22.0,51.5,3,False,False,667,360,True,True,True
Combined,Set1,Draw4,1,8,1,1,0.0,4,1.0,False,False,False,False,False,True,False,3,6,3,6,0,0,2,0,013:1;0138:1,013:1;0138:1,2,4,0,0.0,0,1,0,0,0,1,0.0,0,9,4,0,0.0,21.0,51.5,3,False,False,667,360,True,True,True
Evening,Set1,Draw3,2,8,4,4,0.0,4,1.0,False,False,False,False,False,False,False,1,6,1,6,0,0,5,0,01338:1;013:1;0133:1,01338:1;013:1;0133:1,8,4,3,0.0,0,1,0,0,0,0,0.0,0,5,0,0,0.0,21.0,51.5,1,False,False,667,360,True,True,True
Combined,Set1,Draw4,2,8,1,1,0.0,4,1.0,False,False,False,False,False,True,False,3,6,3,6,0,0,2,0,013:1;0138:1,013:1;0138:1,2,4,0,0.0,0,1,0,0,0,1,0.0,0,9,4,0,0.0,21.0,51.5,3,False,False,667,360,True,True,True
Combined,Set1,Draw4,4,8,2,1,0.0,4,0.0,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,013:1;01338:1;0133:1,013:1;01338:1;0133:1,4,4,0,0.0,0,0,0,0,0,0,0.0,0,9,4,0,0.0,21.0,51.5,3,False,False,667,360,True,True,True
