section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,024,12.0,77.5,33.0,3,4,0,False,13,9,6,0,0,3,0,30,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|set_chain3|draw_chain4;boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x6|hot1x13|hot2x9|vstrx3
Combined,007,3.0,62.5,26.5,2,5,0,False,2,6,5,0,0,9,16,16,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain5;straight|cov2|hp_repeat5|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5,set_chain2|draw_chain5|col1x5|hot1x2|hot2x6|vstrx9|dblmirrorx16
Combined,004,5.0,57.5,22.0,2,5,0,False,2,6,5,0,0,8,16,16,boxed|cov2|hp_repeat5|hot2|perm2|double_mirror|set_chain2|draw_chain5;straight|cov1|hp_repeat5|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain5,set_chain2|draw_chain5|col1x5|hot1x2|hot2x6|vstrx8|dblmirrorx16
Combined,244,31.0,54.5,31.5,3,4,0,False,1,2,3,0,0,6,12,12,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain4|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx12
Combined,008,4.0,53.5,30.0,2,5,1,False,1,3,1,0,0,8,12,12,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain5;straight|cov3|hp_repeat4|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain2|draw_chain5,set_chain2|draw_chain5|col1x1|hot1x1|hot2x3|vstrx8|dblmirrorx12
Combined,224,28.0,46.5,28.5,3,4,0,False,2,0,2,0,0,3,13,13,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2;straight|cov3|hp_repeat2|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2,set_chain3|draw_chain4|col1x2|hot1x2|vstrx3|dblmirrorx13
Combined,0247,12.0,45.0,27.0,3,2,0,False,10,1,1,0,0,0,0,11,boxed|cov4|hp_repeat3|vstr2|mirror|hot1|dom_last|perm3|set_chain3;boxed|cov4|hp_repeat3|vstr2|mirror|hot2|perm3|set_chain3|draw_chain2,set_chain3|draw_chain2|col1x1|hot1x10|hot2x1
Combined,447,31.0,44.5,21.5,3,4,0,False,1,2,3,0,0,6,12,12,straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain4|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx12
Combined,047,12.0,44.0,19.0,3,4,0,False,9,3,3,0,0,2,0,12,straight|cov1|hot2|vtrac_straight|set_chain3|draw_chain4;straight|cov1|hot2|vtrac_straight|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x3|hot1x9|hot2x3|vstrx2
Combined,027,10.0,43.5,22.0,3,2,0,False,10,1,1,0,0,7,0,11,straight|cov2|hp_repeat3|vstr2|mirror|hot2|vtrac_straight|set_chain3|draw_chain2;straight|cov2|hp_repeat3|vstr2|mirror|hot1|vtrac_straight|set_chain3,set_chain3|draw_chain2|col1x1|hot1x10|hot2x1|vstrx7
Combined,2244,28.0,42.0,32.0,3,3,0,False,1,0,2,0,0,3,0,9,straight|cov3|vstr2|vstr3|single_left|dom_last|hidden3v|vtrac_straight|set_chain3|draw_chain2;straight|cov3|hp_repeat2|vstr2|vstr3|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain2,set_chain3|draw_chain3|col1x2|hot1x1|vstrx3
Combined,044,15.0,42.0,20.0,3,4,0,False,1,2,3,0,0,4,12,12,boxed|cov2|hp_repeat3|hot2|perm2|double_mirror|set_chain3|draw_chain3;straight|cov1|hp_repeat3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain4|col1x3|hot1x1|hot2x2|vstrx4|dblmirrorx12
Combined,22449,31.0,39.5,29.5,3,3,0,False,1,0,2,0,0,3,0,9,straight|cov3|hp_repeat2|vstr2|vstr3|mirror|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain2;straight|cov2|vstr2|mirror|hidden3v|vtrac_straight|set_chain3|draw_chain2,set_chain3|draw_chain3|col1x2|hot1x1|vstrx3
Combined,229,28.0,39.5,26.5,3,3,0,False,1,0,2,0,0,0,9,9,boxed|cov4|hp_repeat2|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain3|draw_chain2;boxed|cov3|vstr2|perm2|hidden3v|double_mirror|set_chain3|draw_chain2,set_chain3|draw_chain3|col1x2|hot1x1|dblmirrorx9
Combined,0079,12.0,39.5,24.0,2,4,0,False,1,2,3,0,0,7,0,9,straight|cov2|hp_repeat3|vstr2|hot2|vtrac_straight|set_chain2|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x3|hot1x1|hot2x2|vstrx7
