Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,989,366,678,166,655,913,321
Set3,Draw1,R2,244001338667,244001387,2440013,244003*,244003*,24400*,4400*
Set3,Draw1,R4,200668334471,200834471,2003441,200344*,200344*,20044*,0044*
Set3,Draw1,R6,668170033244,817003244,1003244,003244*,003244*,00244*,0044*
Set3,Draw1,R8,700183366244,700183244,0013244,003244*,003244*,00244*,0044*
Set2,Draw1,draw_data,366,678,166,655,913,321,656
Set2,Draw1,R2,522440013877,5224400137,522440037,22440037*,2244007*,244007*,244007*
Set2,Draw1,R4,225008344771,2250034471,225003447,22003447*,2200447*,200447*,200447*
Set2,Draw1,R6,817700532244,1700532244,700532244,70032244*,7002244*,700244*,700244*
Set2,Draw1,R8,770018322445,7001322445,700322445,70032244*,7002244*,700244*,700244*
Set1,Draw1,draw_data,678,166,655,913,321,656,383
Set1,Draw1,R2,552244001137,55224400137,224400137*,2244007*,244007**,244007**,244007**
Set1,Draw1,R4,225500344711,22550034471,220034471*,2200447*,200447**,200447**,200447**
Set1,Draw1,R6,117005532244,17005532244,170032244*,7002244*,700244**,700244**,700244**
Set1,Draw1,R8,700113224455,70013224455,700132244*,7002244*,700244**,700244**,700244**
Set1,Draw2,draw_data,N/A,166,655,913,321,656,383
Set1,Draw2,R2,N/A,55992244001387,992244001387,922440087*,92440087*,92440087**,9244007**
Set1,Draw2,R4,N/A,22559900834471,229900834471,229008447*,29008447*,29008447**,2900447**
Set1,Draw2,R6,N/A,81700559932244,817009932244,870092244*,87009244*,87009244**,7009244**
Set1,Draw2,R8,N/A,70019983224455,700199832244,700982244*,70098244*,70098244**,7009244**
Set1,Draw3,draw_data,N/A,N/A,655,913,321,656,383
Set1,Draw3,R2,N/A,N/A,9922440013387,9224400387,92440087*,92440087**,9244007**
Set1,Draw3,R4,N/A,N/A,2299008334471,2290083447,29008447*,29008447**,2900447**
Set1,Draw3,R6,N/A,N/A,8170099332244,8700932244,87009244*,87009244**,7009244**
Set1,Draw3,R8,N/A,N/A,7001998332244,7009832244,70098244*,70098244**,7009244**
Set1,Draw4,draw_data,N/A,N/A,N/A,913,321,656,383
Set1,Draw4,R2,N/A,N/A,N/A,922440038877,9244008877,9244008877**,924400877**
Set1,Draw4,R4,N/A,N/A,N/A,229008834477,2900884477,2900884477**,290084477**
Set1,Draw4,R6,N/A,N/A,N/A,887700932244,8877009244,8877009244**,877009244**
Set1,Draw4,R8,N/A,N/A,N/A,770098832244,7700988244,7700988244**,770098244**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,321,656,383
Set1,Draw5,R2,N/A,N/A,N/A,N/A,92440088677,9244008877**,924400877**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,29006884477,2900884477**,290084477**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,68877009244,8877009244**,877009244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,77009886244,7700988244**,770098244**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,656,383
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59244008877,5924400877*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25900884477,2590084477*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,88770059244,8770059244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77009882445,7700982445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,383
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,599244001877
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,259900844771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,817700599244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,770019982445
