section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,578,11.0,67.0,31.0,3,3,0,False,9,7,4,0,0,7,0,22,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|set_chain3|draw_chain3;boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x4|hot1x9|hot2x7|vstrx7
Combined,445,15.0,59.5,26.5,3,5,0,False,12,1,1,0,0,3,28,28,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain5;boxed|cov3|hp_repeat5|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain3|draw_chain5,set_chain3|draw_chain5|col1x1|hot1x12|hot2x1|vstrx3|dblmirrorx28
Combined,448,34.0,54.0,24.5,3,4,0,False,11,1,1,0,0,1,18,18,boxed|cov3|hp_repeat7|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain3;boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x1|hot1x11|hot2x1|vstrx1|dblmirrorx18
Combined,447,31.0,53.0,23.0,3,5,0,False,8,1,0,0,0,7,24,24,straight|cov1|hp_repeat5|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain5;straight|cov1|hp_repeat4|hot1|double_mirror|vtrac_straight|set_chain3|draw_chain5,set_chain3|draw_chain5|hot1x8|hot2x1|vstrx7|dblmirrorx24
Combined,455,5.0,47.0,23.0,3,4,0,False,8,0,0,0,0,0,21,21,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|double_mirror|set_chain3|draw_chain4;boxed|cov3|hp_repeat6|vstr2|hot1|perm2|double_mirror|set_chain3,set_chain3|draw_chain4|hot1x8|dblmirrorx21
Combined,4458,14.0,45.0,26.0,3,3,0,False,10,1,1,0,0,1,0,12,boxed|cov4|hp_repeat4|hot1|dom_last|perm4|set_chain3;boxed|cov3|hp_repeat2|hot2|perm3|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x1|hot1x10|hot2x1|vstrx1
Combined,368,23.0,42.5,28.5,2,7,0,False,1,2,3,0,0,1,0,12,boxed|cov3|hp_repeat3|mirror|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain7;boxed|cov3|hp_repeat2|mirror|hot1|dom_last|perm3|hidden3v|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x3|hot1x1|hot2x2|vstrx1
Combined,678,21.0,42.0,21.0,2,6,0,False,2,4,3,0,0,6,0,16,boxed|cov2|hp_repeat4|hot2|perm2|set_chain2|draw_chain6;straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x3|hot1x2|hot2x4|vstrx6
Combined,1678,21.0,39.0,23.0,1,3,0,False,1,4,3,0,0,5,0,8,boxed|cov3|hp_repeat3|mirror|hot2|dom_last|perm3|draw_chain3;boxed|cov3|hp_repeat3|mirror|hot2|perm3|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx5
Combined,344,34.0,38.5,27.5,2,5,0,False,1,0,0,0,0,1,10,10,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain2|draw_chain5;boxed|cov4|hp_repeat2|vstr2|vstr3|perm2|hidden3v|double_mirror|set_chain2|draw_chain5,set_chain2|draw_chain5|hot1x1|vstrx1|dblmirrorx10
