section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Combined,Set1,Draw1,3,4478,boxed,23.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3,0,4,4487,1,30,False,6,4,2,0.0,1,0,0,2,0,0.0,1,0.0,0,4,3,3,4,0,False,boxed|cov3|hp_repeat4|hot2|perm3|set_chain3|draw_chain4,4478,478,069,847,False,False,True
Combined,Set1,Draw3,1,789,boxed,23.0,"R2,R4,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,987,2,30,False,6,4,1,0.0,3,0,0,4,0,3.0,0,0.0,0,0,2,1,3,0,False,boxed|cov3|hp_repeat4|vstr2|hot2|dom_last|perm2|draw_chain3,789,478,069,847,False,False,True
Evening,Set1,Draw3,2,244889,boxed,23.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4,0,2,924488,1,30,False,8,2,3,0.0,1,0,0,2,1,0.0,3,0.0,0,0,3,1,4,0,False,boxed|cov4|hp_repeat2|mirror|hot2|perm4|draw_chain4,244889,478,069,847,False,False,True
Combined,Set1,Draw1,4,4478,boxed,22.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,4,4487,1,30,False,6,4,2,0.0,1,0,0,1,0,0.0,1,0.0,0,4,3,3,4,0,False,boxed|cov3|hp_repeat4|hot1|perm3|set_chain3|draw_chain4,4478,478,069,847,False,False,True
Combined,Set1,Draw2,4,34478,boxed,22.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3,0,3,44387,1,30,False,6,3,2,0.0,1,0,0,1,1,0.0,2,0.0,0,2,4,2,5,0,False,boxed|cov3|hp_repeat3|mirror|hot1|perm3|set_chain2|draw_chain5,34478,478,069,847,False,False,True
Evening,Set1,Draw4,1,478899,boxed,21.0,"R2,R4,R8",True,False,False,False,False,False,False,True,False,2,3,0,1,994887,1,30,False,6,1,2,0.0,1,0,0,4,1,3.0,3,0.0,0,0,0,1,1,0,False,boxed|cov3|mirror|hot2|dom_last|perm3,478899,478,069,847,False,False,True
Combined,Set2,Draw1,3,4478,boxed,19.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,4,4487,1,30,False,6,4,2,0.0,1,0,0,1,0,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov3|hp_repeat4|hot1|perm3|set_chain3,4478,478,069,847,False,False,True
Combined,Set2,Draw1,2,4478,boxed,19.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,4,4487,1,30,False,6,4,2,0.0,1,0,0,1,0,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov3|hp_repeat4|hot1|perm3|set_chain3,4478,478,069,847,False,False,True
Combined,Set1,Draw2,3,4478,boxed,19.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,1,4487,1,30,False,6,1,2,0.0,1,0,0,1,0,0.0,1,0.0,0,4,3,3,4,0,False,boxed|cov3|hot1|perm3|set_chain3|draw_chain4,4478,478,069,847,False,False,True
Combined,Set2,Draw1,4,44788,boxed,18.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,2,44887,1,30,False,6,2,2,0.0,1,0,0,1,0,0.0,2,0.0,0,4,0,3,1,0,False,boxed|cov3|hp_repeat2|hot1|perm3|set_chain3,44788,478,069,847,False,False,True
Combined,Set1,Draw1,5,4478,straight,18.0,R4,False,False,False,False,False,False,False,False,False,1,1,0,4,8447,1,30,False,2,4,0,0.0,3,0,0,1,0,0.0,1,0.0,0,4,3,3,4,0,False,straight|cov1|hp_repeat4|hot1|set_chain3|draw_chain4,4478,478,069,847,False,False,True
Combined,Set1,Draw3,2,789,boxed,18.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2,0,4,987,2,30,False,6,4,1,0.0,3,0,0,2,0,0.0,0,0.0,0,0,2,1,3,0,False,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|draw_chain3,789,478,069,847,False,False,True
Evening,Set3,Draw1,4,2344,straight,18.0,"R6,R8",False,True,False,False,False,False,False,False,False,1,1,0,3,3244,2,30,False,4,3,0,0.0,5,0,0,1,0,0.0,1,0.0,0,4,0,3,1,0,False,straight|cov2|hp_repeat3|vstr2|hot1|set_chain3,2344,478,069,847,False,False,True
