area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,0.6666666666666666,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3, 4, 5, 6]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 2, 3], [""4"", 2, 3], [""0"", 2, 3], [""7"", 1, 3], [""5"", 2, 4], [""4"", 2, 4], [""0"", 2, 4], [""7"", 1, 4], [""5"", 2, 5], [""4"", 2, 5], [""0"", 2, 5], [""7"", 1, 5], [""5"", 2, 6], [""4"", 2, 6], [""7"", 1, 6], [""5"", 2, 7], [""7"", 1, 7]], ""family_mass"": [0.25, 0.2222222222222222, 0.2222222222222222, 0.2857142857142857, 0.2857142857142857, 0.4, 0.6666666666666666], ""family_runs"": [2, 2, 2, 2, 2, 2, 2]}",0,0,0,0,1,0.413333,0.5407427963089437,557,0,0,False,,score>=lock,lock,1.0,2.544909,0,0.0,0,A,6,own,559,1,1,1,1.0,1,6,1,1.0,0,1,0.9782423799658522,9.02,10.677143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,1,none,15,0.0,15
LS1,1,1.0,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 2, 3], [""4"", 2, 3], [""0"", 2, 3], [""5"", 2, 4], [""2"", 2, 4], [""4"", 2, 4], [""0"", 2, 4], [""5"", 2, 5], [""4"", 2, 5], [""5"", 2, 6], [""4"", 2, 6]], ""family_mass"": [0.25, 0.2222222222222222, 0.25, 0.25, 0.5, 0.5, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2, 2]}",0,0,0,0,0,0.33,0.5199893401555817,55,0,0,False,,score>=lock,lock,1.0,2.52714,0,0.0,0,A,6,combined,559,1,1,1,1.0,1,6,1,1.0,0,0,0.9771395937470586,8.92,10.277143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 2, 3], [""4"", 2, 3], [""0"", 2, 3], [""7"", 1, 3], [""5"", 2, 4], [""4"", 2, 4], [""0"", 2, 4], [""7"", 1, 4], [""5"", 2, 5], [""4"", 2, 5], [""0"", 2, 5], [""5"", 2, 6], [""4"", 2, 6]], ""family_mass"": [0.25, 0.2222222222222222, 0.2222222222222222, 0.2857142857142857, 0.3333333333333333, 0.5, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2, 2, 2]}",0,0,0,0,0,0.43,0.5448788923735801,,0,0,False,,score>=lock,lock,1.0,2.52714,0,0.0,0,B,6,own,559,1,1,1,1.0,1,6,1,1.0,0,0,0.9771395937470586,8.92,10.277143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3, 4, 5, 6]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""4"", 2, 3], [""0"", 2, 3], [""5"", 2, 4], [""4"", 2, 4], [""0"", 2, 4], [""5"", 2, 5], [""4"", 2, 5], [""5"", 2, 6], [""4"", 2, 6]], ""family_mass"": [0.25, 0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5], ""family_runs"": [2, 2, 2, 2, 2, 2]}",0,0,0,0,1,0.305,0.513746534902355,,0,0,False,,score>=lock,lock,1.0,2.405869,0,0.0,0,B,6,combined,559,1,1,1,1.0,1,6,1,1.0,0,0,0.9808693626558167,9.28,10.937143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,1,none,15,0.0,15
LS1,1,0.5,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,4,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 2, 3], [""0"", 2, 3], [""7"", 1, 3], [""5"", 2, 4], [""0"", 2, 4], [""5"", 2, 5], [""0"", 2, 5]], ""family_mass"": [0.25, 0.2857142857142857, 0.2857142857142857, 0.5, 0.5], ""family_runs"": [2, 2, 2, 2, 2]}",0,0,0,0,0,0.405,0.538672605206508,,0,0,False,,score>=lock,lock,1.0,2.404395,0,0.0,0,C,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9793947398556088,9.129999999999999,9.487143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,4,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""0"", 2, 3], [""5"", 2, 4], [""0"", 2, 4]], ""family_mass"": [0.25, 0.2857142857142857, 0.5, 0.5], ""family_runs"": [2, 2, 2, 2]}",0,0,0,0,0,0.305,0.513746534902355,,0,0,False,,score>=lock,lock,1.0,2.404395,0,0.0,0,C,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9793947398556088,9.129999999999999,9.487143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 4, 4, 5, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 1, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 2, 3], [""4"", 1, 3], [""0"", 2, 3], [""7"", 1, 3], [""5"", 2, 4], [""4"", 1, 4], [""0"", 2, 4], [""5"", 2, 5], [""4"", 1, 5], [""0"", 2, 5], [""5"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.25, 0.25, 0.25, 0.4, 0.4, 0.5, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 1, 1, 1]}",0,0,0,0,0,0.43,0.5448788923735801,,0,0,False,,score>=lock,lock,1.0,2.52714,0,0.0,0,D,6,own,559,1,1,1,1.0,1,5,1,1.0,0,0,0.9771395937470586,8.92,10.077143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 4, 4, 5, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 1, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""4"", 1, 3], [""0"", 2, 3], [""5"", 2, 4], [""4"", 1, 4], [""0"", 2, 4], [""5"", 1, 5], [""4"", 1, 5], [""5"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.25, 0.25, 0.4, 0.4, 0.5, 0.5], ""family_runs"": [2, 2, 2, 2, 1, 1]}",0,0,0,0,0,0.305,0.513746534902355,,0,0,False,,score>=lock,lock,1.0,2.401683,0,0.0,0,D,6,combined,559,1,1,1,1.0,1,4,1,1.0,0,0,0.9766831668903337,8.879999999999999,9.837143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6, 7]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 2, 3], [""4"", 2, 3], [""0"", 2, 3], [""7"", 1, 3], [""5"", 2, 4], [""2"", 1, 4], [""4"", 2, 4], [""0"", 2, 4], [""7"", 1, 4], [""5"", 2, 5], [""4"", 2, 5], [""0"", 2, 5], [""7"", 1, 5], [""5"", 2, 6], [""4"", 2, 6], [""0"", 1, 6], [""7"", 1, 6], [""5"", 2, 7], [""4"", 1, 7], [""0"", 1, 7], [""7"", 1, 7], [""5"", 2, 8], [""0"", 1, 8], [""7"", 1, 8], [""5"", 2, 9], [""0"", 1, 9], [""7"", 1, 9], [""5"", 2, 10], [""0"", 1, 10], [""7"", 1, 10], [""5"", 2, 11], [""0"", 1, 11], [""5"", 2, 12], [""0"", 1, 12]], ""family_mass"": [0.25, 0.2222222222222222, 0.2222222222222222, 0.25, 0.2857142857142857, 0.3333333333333333, 0.4, 0.5, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]}",0,0,0,0,0,0.43,0.5448788923735801,5,0,0,False,,score>=lock,lock,1.0,2.52714,0,0.0,0,E,6,own,559,1,1,1,1.0,1,7,1,1.0,0,0,0.9771395937470586,8.92,10.477143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
LS1,1,1.0,559224400387,1,17,7,1,6,1.0,7,2,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,0,2,1,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3, 3, 4, 4, 5, 3, 3, 3, 4, 4, 5, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 2], [""0"", 2], [""3"", 1], [""8"", 1], [""7"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6, 7, 8]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 2, 1], [""0"", 2, 1], [""3"", 1, 1], [""8"", 1, 1], [""7"", 1, 1], [""5"", 2, 2], [""2"", 2, 2], [""4"", 2, 2], [""0"", 2, 2], [""7"", 1, 2], [""5"", 2, 3], [""2"", 1, 3], [""4"", 2, 3], [""0"", 2, 3], [""5"", 2, 4], [""2"", 1, 4], [""4"", 2, 4], [""0"", 2, 4], [""5"", 2, 5], [""4"", 2, 5], [""0"", 1, 5], [""5"", 2, 6], [""4"", 2, 6], [""0"", 1, 6], [""5"", 2, 7], [""4"", 1, 7], [""5"", 2, 8], [""4"", 1, 8]], ""family_mass"": [0.25, 0.2222222222222222, 0.2857142857142857, 0.2857142857142857, 0.4, 0.4, 0.6666666666666666, 0.6666666666666666, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2, 2, 2, 1]}",0,0,0,0,0,0.33,0.5199893401555817,,0,0,False,,score>=lock,lock,1.0,2.52714,0,0.0,0,E,6,combined,559,1,1,1,1.0,1,8,1,1.0,0,0,0.9771395937470586,8.92,10.677143,Midday,1,Set3,0,2,1,3,1.0,3,Virginia4,Midday,2,2,0,none,15,0.0,15
