section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw5,2,30,3,1,0.0,3,1.0,True,False,False,False,False,True,False,1,6,1,6,0,0,4,0,2344:1;234:1;3447:1,3244:2;324:2;3447:1,6,3,0,0.0,0,1,2,0,0,1,0.0,0,5,4,0,0.0,22.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw3,5,30,3,1,0.0,4,0.0,True,False,False,False,False,False,False,1,6,1,6,0,0,0,0,2344:1;3447:1;34477:1,3244:2;33244:2;324:2,6,4,0,0.0,0,0,2,0,0,0,0.0,0,5,4,0,0.0,21.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw3,4,30,3,1,0.0,4,0.0,True,False,False,False,False,False,False,1,6,1,6,0,0,0,0,2344:1;3447:1;34477:1,3244:2;33244:2;324:2,6,4,0,0.0,0,0,2,0,0,0,0.0,0,5,4,0,0.0,21.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw5,3,30,3,1,0.0,3,0.0,True,False,False,False,False,True,False,1,6,1,6,0,0,0,0,2344:1;234:1;233449:1,3244:2;324:2;933244:2,6,3,0,0.0,0,0,2,0,0,1,0.0,0,5,4,0,0.0,21.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw2,3,30,3,3,0.0,5,1.0,False,False,False,False,False,True,False,1,6,1,6,0,6,0,0,334477:1;33447:1;3447:1,443377:1;44337:1;3447:1,6,5,2,0.0,0,1,0,0,0,1,0.0,0,5,1,0,0.0,21.0,44.0,2,False,False,473,016,True,True,True
Midday,Set1,Draw7,1,30,3,1,0.0,1,0.0,True,False,False,False,False,True,True,3,3,3,3,7,0,0,0,3447:1;23449:1;34477:1,93244:2;932:2;9324:2,6,1,0,0.0,0,0,2,0,0,1,0.5,0,6,4,0,0.0,20.5,44.0,3,False,False,473,016,True,True,True
Evening,Set1,Draw5,2,30,3,1,0.0,2,1.0,True,False,False,False,False,True,False,2,3,2,3,0,0,3,0,2344:1;234:1;3447:1,3244:2;324:2;3447:1,6,2,0,0.0,0,1,2,0,0,1,0.0,0,4,4,0,0.0,20.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw4,4,30,3,1,0.0,3,0.0,True,False,False,False,False,False,False,1,6,1,6,0,0,0,0,2344:1;3447:1;34477:1,3244:2;33244:2;324:2,6,3,0,0.0,0,0,2,0,0,0,0.0,0,5,4,0,0.0,20.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw2,4,30,3,3,0.0,5,1.0,False,False,False,False,False,False,False,1,6,1,6,0,6,0,0,334477:1;33447:1;3447:1,443377:1;44337:1;3447:1,6,5,2,0.0,0,1,0,0,0,0,0.0,0,5,1,0,0.0,20.0,44.0,2,False,False,473,016,True,True,True
Midday,Set3,Draw1,7,30,3,1,0.0,2,0.0,True,False,False,False,False,False,True,3,1,3,1,14,0,0,0,34478:1;3447:1;22344:1,32244:2;3224:2;83447:1,6,2,0,0.0,0,0,2,0,0,0,0.5,0,4,4,1,0.0,19.5,44.0,3,True,False,473,016,True,True,True
Combined,Set1,Draw1,3,30,3,3,0.0,5,1.0,False,False,False,False,False,False,False,1,6,1,6,0,0,2,0,3447:1;347:1,4437:1;437:1,6,5,2,0.0,0,1,0,0,0,0,0.0,0,5,0,0,0.0,19.0,44.0,1,False,False,473,016,True,True,True
Combined,Set1,Draw5,1,30,3,2,0.0,3,1.0,True,False,False,True,False,True,False,1,5,1,5,0,0,2,0,2344:1;234:1,3244:2;324:2,6,3,1,0.0,0,1,2,0,0,1,0.0,0,4,1,0,0.0,19.0,44.0,2,False,False,473,016,True,True,True
Evening,Set1,Draw6,2,30,3,1,0.0,2,0.0,True,False,False,False,False,True,False,2,3,2,3,0,0,0,0,2344:1;234:1;23344:1,3244:2;324:2;33244:2,6,2,0,0.0,0,0,2,0,0,1,0.0,0,4,4,0,0.0,19.0,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw2,2,30,3,3,0.0,5,1.0,False,False,False,False,False,False,False,1,6,1,6,0,0,4,0,3447:1;34477:1;347:1,4437:1;44377:1;437:1,6,5,2,0.0,0,1,0,0,0,0,0.0,0,5,0,0,0.0,19.0,44.0,1,False,False,473,016,True,True,True
Combined,Set1,Draw1,4,30,3,3,0.0,5,1.0,False,False,False,False,False,False,False,1,6,1,6,0,2,0,0,3447:1;347:1,4437:1;437:1,6,5,2,0.0,0,1,0,0,0,0,0.0,0,5,0,0,0.0,19.0,44.0,1,False,False,473,016,True,True,True
Midday,Set1,Draw4,4,30,3,1,0.0,3,0.0,True,False,False,False,False,False,True,2,2,2,2,14,0,0,0,34778:1;3478:1;3477:1,324:2;83477:1;8347:1,6,3,0,0.0,0,0,2,0,0,0,0.5,0,3,4,0,0.0,18.5,44.0,3,False,False,473,016,True,True,True
Combined,Set1,Draw1,7,30,2,1,0.0,5,0.0,False,False,False,False,False,False,False,1,6,1,6,0,0,0,0,3447:1;2344:1;23449:1,3447:1;3244:1;93244:1,4,5,0,0.0,0,0,0,0,0,0,0.0,0,5,4,0,0.0,18.0,44.0,3,False,False,473,016,True,True,True
Evening,Set1,Draw6,1,30,2,1,0.0,2,1.0,True,False,False,False,False,True,False,2,3,2,3,0,6,0,0,2344:1;234:1;23344:1,3244:2;324:2;33244:2,4,2,0,0.0,0,1,2,0,0,1,0.0,0,4,4,0,0.0,18.0,44.0,3,False,False,473,016,True,True,True
Midday,Set1,Draw3,5,30,2,1,0.0,3,0.0,False,False,False,False,False,False,True,3,3,3,3,9,0,0,0,478:1;4778:1;224889:1,847:1;8477:1;988224:1,4,3,0,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,17.5,44.0,3,False,False,473,016,True,True,True
