section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Combined,Set1,Draw5,1,2344,boxed,25.0,"R2,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,3,3244,2,30,False,6,3,1,0.0,3,0,0,4,0,3.0,1,0.0,0,0,4,1,5,0,False,boxed|cov3|hp_repeat3|vstr2|hot2|dom_last|perm2|draw_chain5,2344,347,473,016,False,False,True
Combined,Set1,Draw1,3,3447,boxed,22.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3,0,5,4437,1,30,False,6,5,2,0.0,1,0,0,2,0,0.0,1,0.0,0,0,5,1,6,0,False,boxed|cov3|hp_repeat5|hot2|perm3|draw_chain6,3447,347,473,016,False,False,True
Combined,Set1,Draw2,2,3447,boxed,22.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3,0,5,4437,1,30,False,6,5,2,0.0,1,0,0,2,0,0.0,1,0.0,0,0,5,1,6,0,False,boxed|cov3|hp_repeat5|hot2|perm3|draw_chain6,3447,347,473,016,False,False,True
Combined,Set1,Draw2,2,34477,boxed,22.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3,0,5,44377,1,30,False,6,5,2,0.0,1,0,0,2,0,0.0,2,0.0,0,0,4,1,5,0,False,boxed|cov3|hp_repeat5|hot2|perm3|draw_chain5,34477,347,473,016,False,False,True
Combined,Set1,Draw5,1,234,straight,22.0,"R6,R8",False,True,False,False,False,False,False,False,False,2,1,0,3,324,2,30,False,4,3,0,0.0,5,0,0,4,0,0.0,0,0.0,2,0,4,1,5,0,False,straight|cov2|hp_repeat3|vstr2|hot2|vtrac_straight|draw_chain5,234,347,473,016,False,False,True
Evening,Set1,Draw5,1,2344,straight,22.0,"R6,R8",False,True,False,False,False,False,False,False,False,2,1,0,2,3244,2,30,False,4,2,0,0.0,5,0,0,4,0,0.0,1,0.0,2,2,2,2,3,0,False,straight|cov2|hp_repeat2|vstr2|hot2|vtrac_straight|set_chain2|draw_chain3,2344,347,473,016,False,False,True
Combined,Set1,Draw1,4,3447,boxed,21.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,5,4437,1,30,False,6,5,2,0.0,1,0,0,1,0,0.0,1,0.0,0,0,5,1,6,0,False,boxed|cov3|hp_repeat5|hot1|perm3|draw_chain6,3447,347,473,016,False,False,True
Combined,Set1,Draw5,2,2344,straight,21.0,"R6,R8",False,True,False,False,False,False,False,False,False,2,1,0,3,3244,2,30,False,4,3,0,0.0,5,0,0,2,0,0.0,1,0.0,2,0,4,1,5,0,False,straight|cov2|hp_repeat3|vstr2|hot2|vtrac_straight|draw_chain5,2344,347,473,016,False,False,True
Evening,Set1,Draw5,1,234,straight,21.0,"R6,R8",False,True,False,False,False,False,False,False,False,2,1,0,2,324,2,30,False,4,2,0,0.0,5,0,0,4,0,0.0,0,0.0,2,2,2,2,3,0,False,straight|cov2|hp_repeat2|vstr2|hot2|vtrac_straight|set_chain2|draw_chain3,234,347,473,016,False,False,True
Combined,Set1,Draw2,4,334477,boxed,20.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3,0,4,443377,1,30,False,6,4,2,0.0,1,0,0,1,0,0.0,3,0.0,0,0,3,1,4,0,False,boxed|cov3|hp_repeat4|hot1|perm3|draw_chain4,334477,347,473,016,False,False,True
