state,area,section,set,draw,col,col_label,location,method,mode,area_rank,section_rank,set_rank,draw_rank,col_rank,step,value,length,unique_digits,is_3value,first_3value_step,last_change_step,steps_total_before_compaction,steps_kept_after_compaction
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,0,599401138667,12,9,False,3,5,29,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,1,41138667,8,6,False,3,5,29,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,2,48667,5,4,False,3,5,29,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,3,487,3,3,True,3,5,29,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,4,487,3,3,True,3,5,29,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,5,7,1,1,True,3,5,29,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,0,599401138667,12,9,False,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,1,41138667,8,6,False,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,2,438667,6,5,False,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,3,48667,5,4,False,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,4,48,2,2,True,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,5,48,2,2,True,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,9,,0,0,False,4,9,10,7
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,0,599401138667,12,9,False,2,5,6,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,1,41138667,8,6,False,2,5,6,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,2,8667,4,3,True,2,5,6,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,3,8,1,1,True,2,5,6,6
Connecticut4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,4,8,1,1,True,2,5,6,6
