Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,870,661,366,438,894,221,620
Set3,Draw1,R2,599401138667,599401387,59940187,599017*,59017*,5907*,597*
Set3,Draw1,R4,599066834711,599083471,59908471,599071*,59071*,5907*,597*
Set3,Draw1,R6,668117059934,817059934,81705994,170599*,17059*,7059*,759*
Set3,Draw1,R8,701199836645,701998345,70199845,701995*,70195*,7095*,795*
Set2,Draw1,draw_data,661,366,438,894,221,620,913
Set2,Draw1,R2,55994013387,5599401387,5599017,559017*,55907*,5597*,557*
Set2,Draw1,R4,55990833471,5599083471,5599071,559071*,55907*,5597*,557*
Set2,Draw1,R6,81705599334,8170559934,1705599,170559*,70559*,7559*,755*
Set2,Draw1,R8,70199833455,7019983455,7019955,701955*,70955*,7955*,755*
Set1,Draw1,draw_data,366,438,894,221,620,913,950
Set1,Draw1,R2,5599224401387,5599224017,55922017*,55907*,5597**,557**,057**
Set1,Draw1,R4,2255990834471,2255990471,22559071*,55907*,5597**,557**,057**
Set1,Draw1,R6,8170559932244,1705599224,17055922*,70559*,7559**,755**,075**
Set1,Draw1,R8,7019983224455,7019922455,70192255*,70955*,7955**,755**,075**
Set1,Draw2,draw_data,N/A,438,894,221,620,913,950
Set1,Draw2,R2,N/A,5599224001877,5592200177,5590077*,559077*,55077**,577**
Set1,Draw2,R4,N/A,2255990084771,2255900771,5590077*,559077*,55077**,577**
Set1,Draw2,R6,N/A,8177005599224,1770055922,7700559*,770559*,77055**,775**
Set1,Draw2,R8,N/A,7700199822455,7700192255,7700955*,770955*,77055**,775**
Set1,Draw3,draw_data,N/A,N/A,894,221,620,913,950
Set1,Draw3,R2,N/A,N/A,55922001177,55900177,5590177*,55077**,577**
Set1,Draw3,R4,N/A,N/A,22559007711,55900771,5590771*,55077**,577**
Set1,Draw3,R6,N/A,N/A,11770055922,17700559,1770559*,77055**,775**
Set1,Draw3,R8,N/A,N/A,77001192255,77001955,7701955*,77055**,775**
Set1,Draw4,draw_data,N/A,N/A,N/A,221,620,913,950
Set1,Draw4,R2,N/A,N/A,N/A,55900136677,559013677,550677**,5677**
Set1,Draw4,R4,N/A,N/A,N/A,55900663771,559063771,550677**,5677**
Set1,Draw4,R6,N/A,N/A,N/A,66177005593,617705593,677055**,6775**
Set1,Draw4,R8,N/A,N/A,N/A,77001936655,770193655,770655**,7765**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,620,913,950
Set1,Draw5,R2,N/A,N/A,N/A,N/A,559401338677,554038677**,5438677**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,559068334771,550683477**,5683477**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,681770559334,687705534**,6877534**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770198336455,770836455**,7783645**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,913,950
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,559440388677,544388677*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,559068834477,568834477*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,688770559344,688775344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,770988364455,778836445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,950
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,52441388677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,25688344771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68817753244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,77188362445
