section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw1,2,13,3,1,0.0,6,1.0,True,True,False,False,False,True,True,3,6,3,6,1,0,1,0,088:1,088:3,6,6,0,0.0,0,1,2,4,0,1,0.5,1,9,0,1,0.0,31.5,90.0,1,True,False,330,924,True,True,True
Combined,Set2,Draw1,1,13,4,2,0.0,7,1.0,True,True,False,True,False,False,True,3,1,3,1,1,1,0,0,088:1,088:3,8,7,1,0.0,0,1,2,4,0,0,0.5,1,4,0,1,0.0,29.5,90.0,1,True,False,330,924,True,True,True
Midday,Set2,Draw1,3,13,3,1,0.0,6,1.0,True,True,False,False,False,True,False,3,1,3,1,0,1,0,0,033:1,033:3,6,6,0,0.0,0,1,2,4,0,1,0.0,1,4,1,1,0.0,27.0,90.0,2,True,False,330,924,True,True,True
Combined,Set1,Draw1,3,13,2,1,0.0,6,1.0,True,False,False,False,False,True,True,3,6,3,6,1,0,1,0,088:1,088:2,4,6,0,0.0,0,1,2,0,0,1,0.5,1,9,1,1,0.0,26.5,90.0,2,True,False,330,924,True,True,True
Midday,Set2,Draw1,2,13,3,1,0.0,6,1.0,True,True,False,False,False,True,False,3,1,3,1,0,1,0,0,033:1,033:3,6,6,0,0.0,0,1,2,4,0,1,0.0,1,4,1,0,0.0,26.0,90.0,2,False,False,330,924,True,True,True
Midday,Set3,Draw1,3,13,3,1,0.0,5,1.0,True,True,False,False,False,True,False,3,1,3,1,0,1,0,0,033:1,033:3,6,5,0,0.0,0,1,2,4,0,1,0.0,1,4,1,1,0.0,26.0,90.0,2,True,False,330,924,True,True,True
Midday,Set2,Draw1,4,13,3,1,0.0,6,1.0,True,True,False,False,False,False,False,3,1,3,1,0,1,0,0,033:1,033:3,6,6,0,0.0,0,1,2,4,0,0,0.0,1,4,1,1,0.0,26.0,90.0,2,True,False,330,924,True,True,True
Combined,Set1,Draw1,7,31,4,1,0.0,3,0.0,True,True,False,False,False,False,False,3,3,3,3,0,0,0,0,244:1;447:1;249:1,244:3;447:1;924:1,8,3,0,0.0,0,0,2,4,0,0,0.0,1,6,0,1,0.0,25.0,26.5,1,True,False,330,924,True,True,True
Combined,Set2,Draw1,7,31,4,2,0.0,4,0.0,True,True,False,False,False,False,False,3,1,3,1,0,0,0,0,244:1;447:1;249:1,244:3;447:1;924:1,8,4,1,0.0,0,0,2,4,0,0,0.0,1,4,0,1,0.0,25.0,26.5,1,True,False,330,924,True,True,True
Midday,Set3,Draw1,4,13,3,1,0.0,5,1.0,True,True,False,False,False,False,False,3,1,3,1,0,1,0,0,033:1,033:3,6,5,0,0.0,0,1,2,4,0,0,0.0,1,4,1,1,0.0,25.0,90.0,2,True,False,330,924,True,True,True
Combined,Set2,Draw1,2,13,2,1,0.0,7,1.0,True,False,False,False,False,True,True,3,1,3,1,1,1,0,0,088:1,088:2,4,7,0,0.0,0,1,2,0,0,1,0.5,1,4,1,1,0.0,22.5,90.0,2,True,False,330,924,True,True,True
Combined,Set3,Draw1,1,13,2,1,0.0,7,1.0,True,False,False,False,False,True,True,3,1,3,1,1,1,0,0,088:1,088:2,4,7,0,0.0,0,1,2,0,0,1,0.5,1,4,0,1,0.0,21.5,90.0,1,True,False,330,924,True,True,True
Combined,Set3,Draw1,3,13,2,2,0.0,7,1.0,False,False,False,False,False,True,True,3,1,3,1,3,3,0,0,088:1;0388:1;038:1,088:1;0388:1;038:1,4,7,1,0.0,0,1,0,0,0,1,0.5,1,4,1,1,0.0,21.5,90.0,2,True,False,330,924,True,True,True
Combined,Set3,Draw1,2,13,2,1,0.0,7,1.0,True,False,False,False,False,True,True,3,1,3,1,1,1,0,0,088:1,088:2,4,7,0,0.0,0,1,2,0,0,1,0.5,1,4,0,1,0.0,21.5,90.0,1,True,False,330,924,True,True,True
Combined,Set1,Draw1,4,13,1,1,0.0,6,1.0,False,False,False,False,False,False,True,3,6,3,6,1,1,0,0,088:1,088:1,2,6,0,0.0,0,1,0,0,0,0,0.5,1,9,1,1,0.0,21.5,90.0,2,True,False,330,924,True,True,True
Combined,Set1,Draw1,5,13,1,1,0.0,6,1.0,False,False,False,False,False,False,True,3,6,3,6,3,3,0,0,088:1;0388:1;03388:1,088:1;0883:1;08833:1,2,6,0,0.0,0,1,0,0,0,0,0.5,1,9,1,1,0.0,21.5,90.0,2,True,False,330,924,True,True,True
Midday,Set2,Draw1,5,13,3,1,0.0,6,0.0,True,False,False,False,False,False,False,3,1,3,1,0,0,0,0,033:1;335:1,033:2;533:1,6,6,0,0.0,0,0,2,0,0,0,0.0,1,4,1,1,0.0,21.0,90.0,2,True,False,330,924,True,True,True
Combined,Set1,Draw1,6,13,1,1,0.0,6,0.0,False,False,False,False,False,False,True,3,6,3,6,3,0,0,0,088:1;0388:1;03388:1,088:1;0883:1;08833:1,2,6,0,0.0,0,0,0,0,0,0,0.5,1,9,1,1,0.0,20.5,90.0,2,True,False,330,924,True,True,True
Combined,Set1,Draw3,1,13,2,1,0.0,1,1.0,True,False,False,False,False,True,True,3,6,3,6,1,0,1,0,088:1,088:2,4,1,0,0.0,0,1,2,0,0,1,0.5,1,9,1,0,0.0,20.5,90.0,2,False,False,330,924,True,True,True
