section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Combined,Set1,Draw1,1,788,boxed,42.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,7,887,3,29,False,8,7,1,0.0,7,0,0,4,0,4.0,0,0.0,0,4,6,3,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|dom_last|perm2|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw1,3,003,straight,38.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1,0,5,003,4,4,False,8,5,0,0.0,9,0,4,2,0,0.0,0,0.0,2,4,3,3,4,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|set_chain3|draw_chain4
Evening,Set1,Draw1,2,003,straight,38.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1,0,5,003,4,4,False,8,5,0,0.0,9,0,4,2,0,0.0,0,0.0,2,4,3,3,4,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|set_chain3|draw_chain4
Evening,Set1,Draw2,2,003,straight,38.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1,0,5,003,4,4,False,8,5,0,0.0,9,0,4,2,0,0.0,0,0.0,2,4,3,3,4,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v|double_mirror|vtrac_straight|set_chain3|draw_chain4
Combined,Set1,Draw1,3,788,straight,37.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,2,0,0.0,0,0.0,2,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7
Combined,Set1,Draw1,2,788,straight,37.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,2,0,0.0,0,0.0,2,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw2,3,003,straight,37.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,5,003,4,4,False,8,5,0,0.0,9,0,4,1,0,0.0,0,0.0,2,4,3,3,4,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|vtrac_straight|set_chain3|draw_chain4
Evening,Set2,Draw1,1,003,straight,36.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,6,003,4,4,False,8,6,0,0.0,9,0,4,2,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov4|hp_repeat6|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|vtrac_straight|set_chain3
Combined,Set1,Draw1,2,088,straight,35.5,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,088,3,13,True,6,6,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,5,3,6,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain6
Evening,Set2,Draw1,3,003,straight,35.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,6,003,4,4,False,8,6,0,0.0,9,0,4,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov4|hp_repeat6|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|vtrac_straight|set_chain3
Evening,Set2,Draw1,2,003,straight,35.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,6,003,4,4,False,8,6,0,0.0,9,0,4,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov4|hp_repeat6|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|vtrac_straight|set_chain3
Evening,Set1,Draw1,4,003,straight,35.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,5,003,4,4,False,8,5,0,0.0,9,0,4,1,0,0.0,0,0.0,0,4,3,3,4,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|set_chain3|draw_chain4
Evening,Set1,Draw2,4,003,straight,35.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,5,003,4,4,False,8,5,0,0.0,9,0,4,1,0,0.0,0,0.0,0,4,3,3,4,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|set_chain3|draw_chain4
Combined,Set2,Draw1,1,088,boxed,34.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,7,088,3,13,True,8,7,1,0.0,7,0,0,2,0,4.0,0,0.5,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3
Evening,Set2,Draw1,4,003,straight,33.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,6,003,4,4,False,8,6,0,0.0,9,0,4,1,0,0.0,0,0.0,0,4,0,3,1,1,True,straight|cov4|hp_repeat6|vstr2|vstr3|cons_full|hot1|cons_3v|double_mirror|set_chain3
Combined,Set3,Draw1,1,788,straight,31.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,2,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3
Combined,Set1,Draw2,1,6788,boxed,31.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,5,6887,2,21,False,8,5,2,0.0,3,0,0,4,0,3.0,1,0.0,0,0,5,1,6,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|draw_chain6
Midday,Set3,Draw1,1,336,boxed,30.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2,0,7,336,2,23,True,8,7,1,0.0,3,0,0,2,0,4.0,0,0.5,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3
Combined,Set3,Draw1,2,788,straight,30.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,7,887,3,29,False,6,7,0,0.0,9,0,0,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3
Evening,Set3,Draw1,1,007,boxed,30.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2,0,7,007,2,3,False,8,7,1,0.0,3,0,0,2,0,4.0,0,0.0,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|double_mirror|set_chain3
Combined,Set1,Draw1,3,088,straight,29.5,"R2,R4",False,True,False,False,False,False,False,False,False,2,1,0,6,088,2,13,True,4,6,0,0.0,5,0,0,2,0,0.0,0,0.5,2,4,5,3,6,1,True,straight|cov2|hp_repeat6|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain6
Midday,Set2,Draw1,1,006,boxed,29.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,4,006,3,2,True,8,4,1,0.0,7,0,0,2,0,4.0,0,0.5,0,2,0,2,1,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain2
Combined,Set2,Draw1,2,788,straight,29.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,6,887,3,29,False,6,6,0,0.0,9,0,0,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3
Combined,Set1,Draw1,3,7788,straight,29.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,5,8877,3,27,False,6,5,0,0.0,9,0,0,2,0,0.0,1,0.0,2,0,4,1,5,0,False,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|vtrac_straight|draw_chain5
Combined,Set1,Draw1,3,778,straight,29.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,5,877,3,27,False,6,5,0,0.0,9,0,0,2,0,0.0,0,0.0,2,0,4,1,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|double_mirror|vtrac_straight|draw_chain5
Combined,Set1,Draw3,1,788,straight,29.0,"R4,R6",False,True,False,False,False,False,False,False,False,2,1,0,3,887,2,29,False,4,3,0,0.0,5,0,0,4,0,0.0,0,0.0,2,4,6,3,7,1,True,straight|cov2|hp_repeat3|vstr2|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7
Combined,Set1,Draw4,1,788,straight,29.0,"R4,R6",False,True,False,False,False,False,False,False,False,2,1,0,3,887,2,29,False,4,3,0,0.0,5,0,0,4,0,0.0,0,0.0,2,4,6,3,7,1,True,straight|cov2|hp_repeat3|vstr2|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7
Combined,Set1,Draw5,1,788,straight,29.0,"R4,R6",False,True,False,False,False,False,False,False,False,2,1,0,3,887,2,29,False,4,3,0,0.0,5,0,0,4,0,0.0,0,0.0,2,4,6,3,7,1,True,straight|cov2|hp_repeat3|vstr2|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7
Midday,Set2,Draw1,3,033,straight,29.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,6,033,3,13,False,6,6,0,0.0,9,0,0,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3
Midday,Set2,Draw1,2,033,straight,29.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,6,033,3,13,False,6,6,0,0.0,9,0,0,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3
Evening,Set1,Draw1,3,007,straight,29.0,"R6,R8",False,True,False,False,False,False,False,False,False,2,1,0,6,700,2,3,False,4,6,0,0.0,5,0,0,2,0,0.0,0,0.0,2,4,5,3,6,1,True,straight|cov2|hp_repeat6|vstr2|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain6
Evening,Set1,Draw1,2,007,straight,29.0,"R6,R8",False,True,False,False,False,False,False,False,False,2,1,0,6,700,2,3,False,4,6,0,0.0,5,0,0,2,0,0.0,0,0.0,2,4,5,3,6,1,True,straight|cov2|hp_repeat6|vstr2|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain6
Combined,Set1,Draw2,1,688,boxed,28.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,6,886,2,23,True,8,6,1,0.0,3,0,0,4,0,0.0,0,0.5,0,0,5,1,6,1,True,boxed|cov4|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6
Midday,Set1,Draw4,1,668,boxed,28.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,4,866,2,18,True,8,4,1,0.0,3,0,0,4,0,0.0,0,0.5,0,4,3,3,4,1,True,boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4
Combined,Set1,Draw1,2,0788,boxed,28.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,2,0887,2,11,False,8,2,2,0.0,3,0,0,2,0,0.0,1,0.0,0,4,6,3,7,0,False,boxed|cov4|hp_repeat2|vstr2|hot2|perm3|set_chain3|draw_chain7
Combined,Set1,Draw2,1,788,boxed,28.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,3,887,2,29,False,6,3,1,0.0,3,0,0,4,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat3|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw3,1,6788,boxed,28.0,"R2,R4,R6",False,True,False,False,False,False,False,True,False,2,2,0,5,6887,2,21,False,6,5,1,0.0,3,0,0,4,0,3.0,1,0.0,0,0,5,1,6,0,False,boxed|cov3|hp_repeat5|vstr2|hot2|dom_last|perm2|draw_chain6
Midday,Set3,Draw1,3,033,straight,28.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,5,033,3,13,False,6,5,0,0.0,9,0,0,1,0,0.0,0,0.0,2,4,0,3,1,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3
Evening,Set2,Draw1,1,0037,boxed,28.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2,0,6,0037,2,11,False,8,6,1,0.0,3,0,0,2,0,3.0,1,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat6|vstr2|hot1|dom_last|perm2|set_chain3
Evening,Set1,Draw1,1,037,boxed,28.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,5,037,2,11,False,8,5,1,0.0,3,0,0,4,0,3.0,0,0.0,0,2,2,2,3,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm2|set_chain2|draw_chain3
