Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,449,728,644,897,572,501,255
Set3,Draw1,R2,92203386677,92033667,9203367,20336*,0336*,336*,336*
Set3,Draw1,R4,22906683377,29066337,2906337,20633*,0633*,633*,633*
Set3,Draw1,R6,66877093322,66709332,6709332,60332*,6033*,633*,633*
Set3,Draw1,R8,77098336622,70933662,7093362,03362*,0336*,336*,336*
Set2,Draw1,draw_data,728,644,897,572,501,255,433
Set2,Draw1,R2,59200338667,5920033867,5200336,00336*,0336*,0336*,006*
Set2,Draw1,R4,25900668337,2590068337,2500633,00633*,0633*,0633*,006*
Set2,Draw1,R6,66870059332,6870059332,6005332,60033*,6033*,6033*,060*
Set2,Draw1,R8,70098336625,7009833625,0033625,00336*,0336*,0336*,006*
Set1,Draw1,draw_data,644,897,572,501,255,433,927
Set1,Draw1,R2,5592001133867,5520011336,50011336*,01336*,01336**,016**,016**
Set1,Draw1,R4,2559006833711,2550063311,50063311*,06331*,06331**,061**,061**
Set1,Draw1,R6,6811700559332,6110055332,61100533*,61033*,61033**,610**,610**
Set1,Draw1,R8,7001198336255,0011336255,00113365*,01336*,01336**,016**,016**
Set1,Draw2,draw_data,N/A,897,572,501,255,433,927
Set1,Draw2,R2,N/A,55920011336,590011336,901336*,901336*,9016**,016**
Set1,Draw2,R4,N/A,25590063311,590063311,906331*,906331*,9061**,061**
Set1,Draw2,R6,N/A,61100559332,611005933,610933*,610933*,6109**,610**
Set1,Draw2,R8,N/A,00119336255,001193365,019336*,019336*,0196**,016**
Set1,Draw3,draw_data,N/A,N/A,572,501,255,433,927
Set1,Draw3,R2,N/A,N/A,59200113386,92013386,9013386*,90186**,0186**
Set1,Draw3,R4,N/A,N/A,25900683311,29068331,9068331*,90681**,0681**
Set1,Draw3,R6,N/A,N/A,68110059332,68109332,6810933*,68109**,6810**
Set1,Draw3,R8,N/A,N/A,00119833625,01983362,0198336*,01986**,0186**
Set1,Draw4,draw_data,N/A,N/A,N/A,501,255,433,927
Set1,Draw4,R2,N/A,N/A,N/A,92440133866,9440133866,9401866**,401866**
Set1,Draw4,R4,N/A,N/A,N/A,29066833441,9066833441,9066841**,066841**
Set1,Draw4,R6,N/A,N/A,N/A,66810933244,6681093344,6681094**,668104**
Set1,Draw4,R8,N/A,N/A,N/A,01983366244,0198336644,0198664**,018664**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,255,433,927
Set1,Draw5,R2,N/A,N/A,N/A,N/A,9944013388667,9940188667**,94018866**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,9906688334471,9906688471**,90668841**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6688170993344,6688170994**,66881094**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,7019988336644,7019988664**,01988664**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,433,927
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,992401886677,940188667*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,299066884771,906688471*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668817709924,668817094*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,770199886624,701988664*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,927
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,94001188667
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,90066884711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,66881170094
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70011988664
