section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Combined,Set3,Draw1,3,022,straight,28.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1,0,1,022,4,10,True,8,1,0,0.0,9,0,4,1,0,0.0,0,0.5,2,2,0,2,1,1,True,straight|cov4|vstr2|vstr3|cons_full|hot1|cons_3v|hidden3v|double_mirror|vtrac_straight|set_chain2,022,027,174,702,False,False,True
Evening,Set1,Draw3,1,2246,boxed,24.5,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3,0,5,2246,1,22,True,6,5,2,0.0,1,0,0,4,0,0.0,1,0.5,0,0,5,1,6,0,False,boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw3,1,22467,boxed,24.5,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4,0,1,22467,1,22,True,8,1,3,0.0,1,0,0,4,1,3.0,2,0.5,0,0,1,1,2,0,False,boxed|cov4|mirror|hot2|dom_last|perm4|hidden3v|draw_chain2,22467,147,174,702,False,False,True
Evening,Set1,Draw4,1,224679,boxed,24.5,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4,0,1,922467,1,22,True,8,1,3,0.0,1,0,0,4,1,3.0,3,0.5,0,0,0,1,1,0,False,boxed|cov4|mirror|hot2|dom_last|perm4|hidden3v,224679,147,174,702,False,False,True
Combined,Set2,Draw1,4,2255,boxed,20.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,2,0,4,5522,2,10,True,8,4,1,0.0,3,0,0,1,0,0.0,1,0.5,0,2,0,2,1,0,False,boxed|cov4|hp_repeat4|vstr2|hot1|perm2|hidden3v|set_chain2,2255,027,174,702,False,False,True
Combined,Set2,Draw1,4,225,boxed,20.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,2,0,4,522,2,10,True,8,4,1,0.0,3,0,0,1,0,0.0,0,0.5,0,2,0,2,1,1,True,boxed|cov4|hp_repeat4|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain2,225,027,174,702,False,False,True
Evening,Set1,Draw3,2,2246,straight,20.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,5,6224,1,22,True,2,5,0,0.0,3,0,0,2,0,0.0,1,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat5|hot2|hidden3v|vtrac_straight|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw4,1,2246,boxed,20.5,"R2,R8",False,False,False,False,False,False,False,False,False,2,2,0,4,2246,1,22,True,4,4,1,0.0,1,0,0,4,0,0.0,1,0.5,0,0,5,1,6,0,False,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw5,1,2246,straight,20.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,3,6224,1,22,True,2,3,0,0.0,3,0,0,4,0,0.0,1,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw1,5,077,straight,20.0,"R6,R8",False,True,False,False,False,False,False,False,False,1,1,0,4,770,2,10,False,4,4,0,0.0,5,0,0,1,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat4|vstr2|hot1|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
