Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,188,689,641,377,378,923,059
Set3,Draw1,R2,92241336677,224133677,223377,223*,022*,002*,002*
Set3,Draw1,R4,22966334771,226334771,223377,223*,022*,002*,002*
Set3,Draw1,R6,66177933224,617733224,773322,322*,022*,002*,002*
Set3,Draw1,R8,77193366224,771336224,773322,322*,022*,002*,002*
Set2,Draw1,draw_data,689,641,377,378,923,059,565
Set2,Draw1,R2,552240133677,552203377,552203,55220*,5520*,052*,002*
Set2,Draw1,R4,225506334771,225503377,225503,22550*,2550*,025*,002*
Set2,Draw1,R6,617705533224,770553322,055322,05522*,0552*,052*,002*
Set2,Draw1,R8,770133622455,770332255,032255,02255*,0255*,025*,002*
Set1,Draw1,draw_data,641,377,378,923,059,565,135
Set1,Draw1,R2,559224003377,559224003,55922400*,552400*,5240**,240**,240**
Set1,Draw1,R4,225590033477,225590034,22559004*,255004*,2504**,204**,204**
Set1,Draw1,R6,770055933224,005593224,00559224*,005524*,0524**,024**,024**
Set1,Draw1,R8,770093322455,009322455,00922455*,002455*,0245**,024**,024**
Set1,Draw2,draw_data,N/A,377,378,923,059,565,135
Set1,Draw2,R2,N/A,55922400138,559224001,5524001*,52401*,2401**,240**
Set1,Draw2,R4,N/A,22559008341,225590041,2550041*,25041*,2041**,204**
Set1,Draw2,R6,N/A,81005593224,100559224,1005524*,10524*,1024**,024**
Set1,Draw2,R8,N/A,00198322455,001922455,0012455*,01245*,0124**,024**
Set1,Draw3,draw_data,N/A,N/A,378,923,059,565,135
Set1,Draw3,R2,N/A,N/A,559922400186,5592400186,5240186*,24018**,2408**
Set1,Draw3,R4,N/A,N/A,225599006841,2559006841,2506841*,20841**,2084**
Set1,Draw3,R6,N/A,N/A,681005599224,6810055924,6810524*,81024**,8024**
Set1,Draw3,R8,N/A,N/A,001998622455,0019862455,0186245*,01824**,0824**
Set1,Draw4,draw_data,N/A,N/A,N/A,923,059,565,135
Set1,Draw4,R2,N/A,N/A,N/A,5592440011866,5244011866,24401186**,2440186**
Set1,Draw4,R4,N/A,N/A,N/A,2559006684411,2506684411,20684411**,2068441**
Set1,Draw4,R6,N/A,N/A,N/A,6681100559244,6681105244,68110244**,6810244**
Set1,Draw4,R8,N/A,N/A,N/A,0011986624455,0118662445,01186244**,0186244**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,059,565,135
Set1,Draw5,R2,N/A,N/A,N/A,N/A,52440118667,244011867**,24401867**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,25066844711,206844711**,20684471**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66811705244,681170244**,68170244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70118662445,701186244**,70186244**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,565,135
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,244011388677,2440188677*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,206883447711,2068844771*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,688117703244,6881770244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,770118836244,7701886244*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,135
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,9224401388677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2290688344771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6881770932244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7701988362244
