Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,196,116,589,550,188,641,378
Set3,Draw1,R2,55413388677,554338877,5433877,433877*,43377*,3377*,037*
Set3,Draw1,R4,55688334771,558833477,5833477,833477*,33477*,3377*,037*
Set3,Draw1,R6,68817755334,887755334,8775334,877334*,77334*,7733*,073*
Set3,Draw1,R8,77188336455,778833455,7783345,778334*,77334*,7733*,073*
Set2,Draw1,draw_data,116,589,550,188,641,378,059
Set2,Draw1,R2,559240338877,524033877,2433877,243377*,23377*,237*,237*
Set2,Draw1,R4,255908833477,250833477,2833477,233477*,23377*,237*,237*
Set2,Draw1,R6,887705593324,877053324,8773324,773324*,77332*,732*,732*
Set2,Draw1,R8,770988332455,770833245,7783324,773324*,77332*,732*,732*
Set1,Draw1,draw_data,589,550,188,641,378,059,135
Set1,Draw1,R2,522440033877,2244033877,224403377*,22403377*,224037**,22437**,2247**
Set1,Draw1,R4,225008334477,2208334477,220334477*,22033477*,220347**,22347**,2247**
Set1,Draw1,R6,877005332244,8770332244,770332244*,77033224*,703224**,73224**,7224**
Set1,Draw1,R8,770083322445,7708332244,770332244*,77033224*,703224**,73224**,7224**
Set1,Draw2,draw_data,N/A,550,188,641,378,059,135
Set1,Draw2,R2,N/A,922440338677,92244033677,922403377*,9224037*,22437**,2247**
Set1,Draw2,R4,N/A,229068334477,22906334477,229033477*,2290347*,22347**,2247**
Set1,Draw2,R6,N/A,687709332244,67709332244,770933224*,7093224*,73224**,7224**
Set1,Draw2,R8,N/A,770983362244,77093362244,770933224*,7093224*,73224**,7224**
Set1,Draw3,draw_data,N/A,N/A,188,641,378,059,135
Set1,Draw3,R2,N/A,N/A,9224401336677,9224033677,92240367*,224367**,22467**
Set1,Draw3,R4,N/A,N/A,2290663344771,2290633477,22906347*,226347**,22647**
Set1,Draw3,R6,N/A,N/A,6617709332244,6770933224,67093224*,673224**,67224**
Set1,Draw3,R8,N/A,N/A,7701933662244,7709336224,70936224*,736224**,76224**
Set1,Draw4,draw_data,N/A,N/A,N/A,641,378,059,135
Set1,Draw4,R2,N/A,N/A,N/A,99224033677,992240367,9224367**,922467**
Set1,Draw4,R4,N/A,N/A,N/A,22990633477,229906347,2296347**,229647**
Set1,Draw4,R6,N/A,N/A,N/A,67709933224,670993224,6793224**,679224**
Set1,Draw4,R8,N/A,N/A,N/A,77099336224,709936224,7936224**,796224**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,378,059,135
Set1,Draw5,R2,N/A,N/A,N/A,N/A,559922400367,592240367**,9224067**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,225599006347,225906347**,2290647**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,670055993224,670593224**,6709224**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,700993622455,709362245**,7096224**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,059,135
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59224013867,92240867*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22590683471,22906847*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,68170593224,68709224*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,70198362245,70986224*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,135
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,92244018667
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,22906684471
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,66817092244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70198662244
