Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,339,408,216,516,156,139,117
Set3,Draw1,R2,552440018677,552401677,554077,54077*,4077*,4077*,407*
Set3,Draw1,R4,255006844771,255064771,550477,50477*,0477*,0477*,047*
Set3,Draw1,R6,681770055244,617705524,770554,77054*,7704*,7704*,704*
Set3,Draw1,R8,770018624455,770162455,770455,77045*,7704*,7704*,704*
Set2,Draw1,draw_data,408,216,516,156,139,117,432
Set2,Draw1,R2,55922401677,55924077,5924077,924077*,24077*,2407*,007*
Set2,Draw1,R4,22559064771,25590477,2590477,290477*,20477*,2047*,007*
Set2,Draw1,R6,61770559224,77055924,7705924,770924*,77024*,7024*,070*
Set2,Draw1,R8,77019622455,77092455,7709245,770924*,77024*,7024*,070*
Set1,Draw1,draw_data,216,516,156,139,117,432,280
Set1,Draw1,R2,55924018677,59240877,9240877*,240877*,24087**,087**,007**
Set1,Draw1,R4,25590684771,25908477,2908477*,208477*,20847**,087**,007**
Set1,Draw1,R6,68177055924,87705924,8770924*,877024*,87024**,870**,007**
Set1,Draw1,R8,77019862455,77098245,7709824*,770824*,70824**,708**,007**
Set1,Draw2,draw_data,N/A,516,156,139,117,432,280
Set1,Draw2,R2,N/A,59924033877,9924033877,92403877*,9240387*,9087**,097**
Set1,Draw2,R4,N/A,25990833477,2990833477,29083477*,2908347*,9087**,097**
Set1,Draw2,R6,N/A,87705993324,8770993324,87709324*,8709324*,8709**,079**
Set1,Draw2,R8,N/A,77099833245,7709983324,77098324*,7098324*,7098**,079**
Set1,Draw3,draw_data,N/A,N/A,156,139,117,432,280
Set1,Draw3,R2,N/A,N/A,9924400338877,92440038877,9244003887*,9400887**,94087**
Set1,Draw3,R4,N/A,N/A,2990088334477,29008834477,2900883447*,9008847**,90847**
Set1,Draw3,R6,N/A,N/A,8877009933244,88770093244,8870093244*,8870094**,87094**
Set1,Draw3,R8,N/A,N/A,7700998833244,77009883244,7009883244*,7009884**,70984**
Set1,Draw4,draw_data,N/A,N/A,N/A,139,117,432,280
Set1,Draw4,R2,N/A,N/A,N/A,922440038877,92244003887,92400887**,94087**
Set1,Draw4,R4,N/A,N/A,N/A,229008834477,22900883447,29008847**,90847**
Set1,Draw4,R6,N/A,N/A,N/A,887700932244,88700932244,88700924**,87094**
Set1,Draw4,R8,N/A,N/A,N/A,770098832244,70098832244,70098824**,70984**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,117,432,280
Set1,Draw5,R2,N/A,N/A,N/A,N/A,5922440038867,5924008867**,5940867**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,2259006883447,2590068847**,5906847**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6887005932244,6887005924**,6870594**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,7009883622445,7009886245**,7098645**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,432,280
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,559240088667,559408667*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,255900668847,559066847*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668870055924,668705594*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,700988662455,709866455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,280
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55994038667
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,55990668347
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,66870559934
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70998366455
