section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,667,17.0,70.0,23.5,1,6,0,False,4,8,6,0,0,15,21,21,straight|cov1|hp_repeat6|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain6;straight|cov1|hp_repeat5|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain6,draw_chain6|col1x6|hot1x4|hot2x8|vstrx15|dblmirrorx21
Combined,668,18.0,67.5,28.5,1,6,0,False,4,8,6,0,0,0,21,21,boxed|cov4|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6;boxed|cov4|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6,draw_chain6|col1x6|hot1x4|hot2x8|dblmirrorx21
Combined,678,21.0,67.0,34.5,3,4,0,False,3,9,4,0,0,3,0,20,boxed|cov4|hp_repeat7|vstr2|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain4;boxed|cov4|hp_repeat7|vstr2|hot2|perm3|hidden3v|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x4|hot1x3|hot2x9|vstrx3
Combined,6678,21.0,66.0,32.5,1,6,0,False,4,8,6,0,0,9,0,21,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain6;boxed|cov4|hp_repeat5|vstr2|hot2|perm3|hidden3v|draw_chain6,draw_chain6|col1x6|hot1x4|hot2x8|vstrx9
Combined,266,17.0,59.0,21.5,1,6,0,False,4,6,5,0,0,8,19,19,boxed|cov2|hp_repeat5|hot2|perm2|hidden3v|double_mirror|draw_chain6;boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|double_mirror|draw_chain6,draw_chain6|col1x5|hot1x4|hot2x6|vstrx8|dblmirrorx19
Combined,178,21.0,58.0,27.5,3,7,0,False,6,5,4,0,0,6,0,25,boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|set_chain3|draw_chain7;boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x4|hot1x6|hot2x5|vstrx6
Combined,006,2.0,55.5,37.0,3,3,0,False,2,0,3,1,0,4,10,10,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|set_chain3;straight|cov1|hp_repeat2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2,set_chain3|draw_chain3|col1x3|hot1x2|consensusx1|vstrx4|dblmirrorx10
Combined,168,18.0,49.0,24.5,3,4,0,False,4,4,4,0,0,5,0,15,boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm2|hidden3v|set_chain3;boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm2|hidden3v|set_chain3,set_chain3|draw_chain4|col1x4|hot1x4|hot2x4|vstrx5
Combined,1678,21.0,46.0,24.5,3,4,0,False,1,4,4,0,0,5,0,11,boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain4;boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,16678,21.0,42.0,24.5,1,4,0,False,1,4,4,0,0,5,0,7,boxed|cov4|hp_repeat2|mirror|hot2|perm4|hidden3v|draw_chain4;boxed|cov4|hp_repeat2|mirror|hot2|perm4|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,688,23.0,41.5,24.5,1,5,0,False,5,1,0,0,0,0,15,15,boxed|cov4|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;boxed|cov4|hp_repeat5|vstr2|hot1|perm2|hidden3v|double_mirror|draw_chain5,draw_chain5|hot1x5|hot2x1|dblmirrorx15
Combined,188,23.0,39.5,22.5,1,5,0,False,5,1,0,0,0,0,15,15,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;boxed|cov3|hp_repeat5|vstr2|hot1|perm2|hidden3v|double_mirror|draw_chain5,draw_chain5|hot1x5|hot2x1|dblmirrorx15
Combined,1668,18.0,39.0,21.5,1,4,0,False,1,4,4,0,0,5,0,7,boxed|cov3|hp_repeat2|vstr2|mirror|hot2|perm2|hidden3v|draw_chain4;boxed|cov3|hp_repeat2|vstr2|mirror|hot2|perm2|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,368,23.0,37.5,23.5,3,3,0,False,1,2,3,0,0,1,0,8,boxed|cov3|hp_repeat3|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain3;boxed|cov3|hp_repeat3|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x3|hot1x1|hot2x2|vstrx1
Combined,2668,21.0,37.0,21.5,1,3,0,False,3,4,2,0,0,2,0,13,boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|draw_chain3;boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|draw_chain3,draw_chain3|col1x2|hot1x3|hot2x4|vstrx2
Combined,007,3.0,36.0,21.5,3,3,0,False,1,0,2,0,0,3,9,9,straight|cov2|hp_repeat2|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2;straight|cov2|hp_repeat2|vstr2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2,set_chain3|draw_chain3|col1x2|hot1x1|vstrx3|dblmirrorx9
