Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,926,234,351,034,740,399,445
Set3,Draw1,R2,59240013867,59001867,900867,90867*,986*,086*,086*
Set3,Draw1,R4,25900683471,59006871,900687,90687*,968*,068*,068*
Set3,Draw1,R6,68170059324,68170059,687009,68709*,689*,068*,068*
Set3,Draw1,R8,70019836245,70019865,700986,70986*,986*,086*,086*
Set2,Draw1,draw_data,234,351,034,740,399,445,182
Set2,Draw1,R2,59400113867,94001867,901867,9186*,186*,186*,006*
Set2,Draw1,R4,59006834711,90068471,906871,9681*,681*,681*,006*
Set2,Draw1,R6,68117005934,68170094,681709,6819*,681*,681*,006*
Set2,Draw1,R8,70011983645,70019864,701986,1986*,186*,186*,006*
Set1,Draw1,draw_data,351,034,740,399,445,182,554
Set1,Draw1,R2,59400188677,590188677,5918867*,518867*,18867**,867**,867**
Set1,Draw1,R4,59006884771,590688771,5968871*,568871*,68871**,687**,687**
Set1,Draw1,R6,68817700594,688177059,6881759*,688175*,68817**,687**,687**
Set1,Draw1,R8,77001988645,770198865,7198865*,718865*,71886**,786**,786**
Set1,Draw2,draw_data,N/A,034,740,399,445,182,554
Set1,Draw2,R2,N/A,599201886677,5992188667,52188667*,2188667*,8667**,8667**
Set1,Draw2,R4,N/A,259906688771,2599668871,25668871*,2668871*,6687**,6687**
Set1,Draw2,R6,N/A,668817705992,6688175992,66881752*,6688172*,6687**,6687**
Set1,Draw2,R8,N/A,770199886625,7199886625,71886625*,7188662*,7866**,7866**
Set1,Draw3,draw_data,N/A,N/A,740,399,445,182,554
Set1,Draw3,R2,N/A,N/A,59922188667,522188667,22188667*,28667**,28667**
Set1,Draw3,R4,N/A,N/A,22599668871,225668871,22668871*,26687**,26687**
Set1,Draw3,R6,N/A,N/A,66881759922,668817522,66881722*,66872**,66872**
Set1,Draw3,R8,N/A,N/A,71998866225,718866225,71886622*,78662**,78662**
Set1,Draw4,draw_data,N/A,N/A,N/A,399,445,182,554
Set1,Draw4,R2,N/A,N/A,N/A,55221188667,5221188667,5218667**,218667**
Set1,Draw4,R4,N/A,N/A,N/A,22556688711,2256688711,2566871**,266871**
Set1,Draw4,R6,N/A,N/A,N/A,66881175522,6688117522,6681752**,668172**
Set1,Draw4,R8,N/A,N/A,N/A,71188662255,7118866225,7186625**,718662**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,445,182,554
Set1,Draw5,R2,N/A,N/A,N/A,N/A,522011388667,520138667**,20138667**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,225066883711,250668371**,20668371**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668811705322,668170532**,66817032**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,701188366225,701836625**,70183662**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,182,554
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,52001386677,2001386677*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25006683771,2006683771*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66817700532,6681770032*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77001836625,7700183662*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,554
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,9920013386677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2990066833771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6681770099332
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7700199833662
