section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,35,4,1,0.0,5,1.0,True,True,True,False,True,True,False,3,7,3,7,0,0,3,2,499:1;449:1;4499:1,994:4;944:4;9944:4,8,5,0,0.0,2,1,2,4,1,1,0.0,1,10,0,1,0.0,36.0,124.5,1,True,False
Combined,Set1,Draw1,1,25,4,2,0.0,7,1.0,True,False,False,True,False,True,True,1,7,1,7,5,0,5,0,14499:1;144:1;199:1,99441:2;441:2;199:2,8,7,1,0.0,0,1,2,0,0,1,0.5,1,6,0,0,0.0,27.5,85.0,1,False,False
Combined,Set1,Draw1,2,35,4,1,0.0,5,1.0,True,True,True,False,True,True,False,3,7,3,7,0,0,3,2,499:1;449:1;4499:1,994:4;944:4;9944:4,8,5,0,0.0,2,1,2,4,1,1,0.0,1,10,0,1,0.0,36.0,124.5,1,True,False
Combined,Set1,Draw1,2,25,4,2,0.0,7,1.0,True,False,False,False,False,True,True,1,7,1,7,5,0,5,0,14499:1;144:1;199:1,99441:2;441:2;199:2,8,7,1,0.0,0,1,2,0,0,1,0.5,1,6,0,0,0.0,27.5,85.0,1,False,False
Combined,Set1,Draw1,3,35,4,1,0.0,5,1.0,True,True,True,False,True,True,False,3,7,3,7,0,0,3,2,499:1;449:1;4499:1,994:4;944:4;9944:4,8,5,0,0.0,2,1,2,4,1,1,0.0,1,10,0,1,0.0,36.0,124.5,1,True,False
Combined,Set1,Draw1,3,25,4,2,0.0,7,1.0,True,False,False,False,False,True,True,1,7,1,7,5,0,5,0,14499:1;144:1;199:1,99441:2;441:2;199:2,8,7,1,0.0,0,1,2,0,0,1,0.5,1,6,0,0,0.0,27.5,85.0,1,False,False
Combined,Set1,Draw1,4,34,3,1,0.0,4,1.0,True,True,False,False,False,False,True,3,4,3,4,6,6,0,0,3499:1;34499:1;349:1,9934:3;99344:3;934:3,6,4,0,0.0,0,1,2,4,0,0,0.5,1,7,0,1,0.0,26.5,54.5,1,True,False
Combined,Set1,Draw1,4,25,4,1,0.0,7,1.0,True,False,False,False,False,False,True,1,7,1,7,4,4,0,0,144:1;199:1;14499:1,441:2;199:2;99441:1,8,7,0,0.0,0,1,2,0,0,0,0.5,1,6,0,0,0.0,25.5,85.0,1,False,False
Combined,Set1,Draw1,4,24,4,3,0.0,4,1.0,True,False,False,False,False,False,True,1,3,1,3,6,6,0,0,134499:1;1399:1;13499:1,199344:2;1993:2;19934:2,8,4,2,0.0,0,1,2,0,0,0,0.5,0,2,1,0,0.0,20.5,72.5,2,False,False
Combined,Set1,Draw1,4,35,1,1,0.0,5,1.0,False,False,False,False,False,False,False,3,7,3,7,0,3,0,0,499:1;4499:1;449:1,994:1;9944:1;944:1,2,5,0,0.0,0,1,0,0,0,0,0.0,1,10,0,1,0.0,20.0,124.5,1,True,False
