section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Midday,Set1,Draw1,1,3466,boxed,32.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,5,6634,2,24,True,8,5,2,0.0,3,0,0,4,0,3.0,1,0.5,0,0,6,1,7,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain7,3466,689,202,968,False,False,True
Midday,Set1,Draw2,1,3466,boxed,32.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,5,6634,2,24,True,8,5,2,0.0,3,0,0,4,0,3.0,1,0.5,0,0,6,1,7,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain7,3466,689,202,968,False,False,True
Midday,Set1,Draw3,1,3466,boxed,30.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,3,6634,2,24,True,8,3,2,0.0,3,0,0,4,0,3.0,1,0.5,0,0,6,1,7,0,False,boxed|cov4|hp_repeat3|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain7,3466,689,202,968,False,False,True
Midday,Set1,Draw1,2,3466,boxed,27.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,5,6634,2,24,True,8,5,2,0.0,3,0,0,2,0,0.0,1,0.5,0,0,6,1,7,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|perm3|hidden3v|draw_chain7,3466,689,202,968,False,False,True
Evening,Set1,Draw1,1,577,straight,23.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,5,775,1,10,False,2,5,0,0.0,3,0,0,4,0,0.0,0,0.0,2,0,6,1,7,1,True,straight|cov1|hp_repeat5|hot2|double_mirror|vtrac_straight|draw_chain7,577,022,202,968,False,False,True
Combined,Set1,Draw1,4,134499,boxed,22.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,1,3,0,2,199344,2,24,True,8,2,2,0.0,3,0,0,1,1,0.0,3,0.5,0,0,2,1,3,0,False,boxed|cov4|hp_repeat2|vstr2|mirror|hot1|perm3|hidden3v|draw_chain3,134499,689,202,968,False,False,True
Evening,Set1,Draw2,1,577,straight,22.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,775,1,10,False,2,4,0,0.0,3,0,0,4,0,0.0,0,0.0,2,0,6,1,7,1,True,straight|cov1|hp_repeat4|hot2|double_mirror|vtrac_straight|draw_chain7,577,022,202,968,False,False,True
Evening,Set1,Draw3,1,577,straight,22.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,775,1,10,False,2,4,0,0.0,3,0,0,4,0,0.0,0,0.0,2,0,6,1,7,1,True,straight|cov1|hp_repeat4|hot2|double_mirror|vtrac_straight|draw_chain7,577,022,202,968,False,False,True
Evening,Set1,Draw4,1,577,straight,22.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,775,1,10,False,2,4,0,0.0,3,0,0,4,0,0.0,0,0.0,2,0,6,1,7,1,True,straight|cov1|hp_repeat4|hot2|double_mirror|vtrac_straight|draw_chain7,577,022,202,968,False,False,True
Midday,Set1,Draw1,3,33466,boxed,21.5,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3,0,4,43366,1,24,True,6,4,2,0.0,1,0,0,2,0,0.0,2,0.5,0,0,4,1,5,0,False,boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|draw_chain5,33466,689,202,968,False,False,True
Midday,Set1,Draw1,1,346,boxed,21.5,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,2,634,2,24,True,6,2,1,0.0,3,0,0,4,0,0.0,0,0.5,0,0,5,1,6,0,False,boxed|cov3|hp_repeat2|vstr2|hot2|perm2|hidden3v|draw_chain6,346,689,202,968,False,False,True
