section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,24,4,4,0.0,3,1.0,False,False,False,True,False,True,True,3,7,3,7,5,0,5,0,134:1;346:1;13468:1,413:1;364:1;41386:1,8,3,3,0.0,0,1,0,0,0,1,0.5,0,10,0,1,0.0,27.5,86.0,1,True,False
Combined,Set1,Draw1,1,23,4,3,0.0,7,1.0,False,False,False,False,False,False,True,1,7,1,7,2,0,2,0,138:1;368:1,138:1;386:1,8,7,2,0.0,0,1,0,0,0,0,0.5,0,6,0,1,0.0,25.5,67.5,1,True,False
Combined,Set1,Draw1,1,18,3,3,0.0,7,1.0,False,False,False,False,False,True,False,1,1,1,1,0,0,2,0,168:1;1368:1,681:1;1386:1,6,7,2,0.0,0,1,0,0,0,1,0.0,0,0,0,0,0.0,17.0,60.5,1,False,False
Combined,Set1,Draw1,1,33,1,1,0.0,1,1.0,False,False,False,False,False,True,True,1,7,1,7,1,0,1,0,348:1,834:1,2,1,0,0.0,0,1,0,0,0,1,0.5,0,6,0,1,0.0,12.5,70.5,1,True,False
Combined,Set1,Draw1,2,23,4,3,0.0,7,1.0,True,False,False,False,False,True,True,2,7,2,7,7,0,7,0,133:1;1338:1;3368:1,133:2;1338:1;3386:1,8,7,2,0.0,0,1,2,0,0,1,0.5,1,8,0,1,0.0,31.5,67.5,1,True,False
Combined,Set1,Draw1,2,24,4,4,0.0,6,1.0,False,False,False,False,False,True,True,3,7,3,7,7,0,7,0,1334:1;33468:1;346:1,4133:1;68334:1;364:1,8,6,3,0.0,0,1,0,0,0,1,0.5,0,10,1,1,0.0,31.5,86.0,2,True,False
Combined,Set1,Draw1,2,33,2,1,0.0,6,1.0,True,False,False,False,False,True,True,2,6,2,6,2,0,2,0,334:1;3348:1,334:2;8334:1,4,6,0,0.0,0,1,2,0,0,1,0.5,1,7,0,1,0.0,23.5,70.5,1,True,False
Combined,Set1,Draw1,2,32,3,2,0.0,6,1.0,True,False,False,False,False,False,True,1,6,1,6,1,0,1,0,338:1,833:2,6,6,1,0.0,0,1,2,0,0,0,0.5,1,5,0,0,0.0,22.5,66.5,1,False,False
Combined,Set1,Draw1,2,18,1,1,0.0,7,1.0,False,False,False,False,False,True,False,1,1,1,1,0,0,2,0,168:1;1368:1,681:1;6813:1,2,7,0,0.0,0,1,0,0,0,1,0.0,0,0,0,0,0.0,11.0,60.5,1,False,False
Combined,Set1,Draw1,3,23,4,3,0.0,7,1.0,True,False,False,False,False,True,True,2,7,2,7,7,0,7,0,133:1;1338:1;3368:1,133:2;1338:1;3386:1,8,7,2,0.0,0,1,2,0,0,1,0.5,1,8,0,1,0.0,31.5,67.5,1,True,False
