section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Midday,Set1,Draw3,1,036,boxed,27.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,5,036,2,8,False,8,5,2,0.0,3,0,0,4,0,3.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw4,1,03368,boxed,26.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4,0,4,03386,1,8,False,8,4,3,0.0,1,0,0,4,1,3.0,2,0.0,0,0,0,1,1,0,False,boxed|cov4|hp_repeat4|mirror|hot2|dom_last|perm4,03368,135,765,153,False,False,True
Midday,Set1,Draw1,1,036,boxed,24.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,3,036,2,8,False,8,3,1,0.0,3,0,0,4,0,3.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat3|vstr2|hot2|dom_last|perm2|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw2,1,036,boxed,24.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,3,036,2,8,False,8,3,1,0.0,3,0,0,4,0,3.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat3|vstr2|hot2|dom_last|perm2|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw3,2,036,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,5,036,2,8,False,8,5,2,0.0,3,0,0,2,0,0.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|perm3|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw4,2,03368,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4,0,4,03386,1,8,False,8,4,3,0.0,1,0,0,2,1,0.0,2,0.0,0,0,0,1,1,0,False,boxed|cov4|hp_repeat4|mirror|hot2|perm4,03368,135,765,153,False,False,True
Midday,Set1,Draw5,1,0668,straight,21.0,R4,False,False,False,False,False,False,False,False,False,2,1,0,3,0668,1,8,False,2,3,0,0.0,3,0,0,4,0,0.0,1,0.0,2,4,2,3,3,0,False,straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain3,0668,135,765,153,False,False,True
Midday,Set1,Draw5,1,03668,straight,21.0,R4,True,False,False,False,False,False,False,False,False,2,1,0,3,06683,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,4,0,3,1,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|set_chain3,03668,135,765,153,False,False,True
Combined,Set1,Draw3,1,135,straight,20.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,153,1,8,False,2,4,0,0.0,3,0,0,4,0,0.0,0,0.0,2,4,1,3,2,0,False,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain3|draw_chain2,135,135,765,153,True,True,True
Combined,Set1,Draw4,1,135,straight,20.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,153,1,8,False,2,4,0,0.0,3,0,0,4,0,0.0,0,0.0,2,4,1,3,2,0,False,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain3|draw_chain2,135,135,765,153,True,True,True
Midday,Set1,Draw1,3,036,boxed,20.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,3,036,2,8,False,8,3,2,0.0,3,0,0,2,0,0.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat3|vstr2|hot2|perm3|draw_chain3,036,135,765,153,False,False,True
Combined,Set1,Draw3,1,35688,straight,19.0,R4,True,False,False,False,False,False,False,False,False,2,1,0,3,56883,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,35688,135,765,153,False,False,True
Combined,Set1,Draw3,1,15688,straight,19.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,68815,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,15688,135,765,153,False,False,True
Combined,Set1,Draw3,1,135688,straight,19.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,688153,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,3,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain2,135688,135,765,153,False,False,True
Combined,Set1,Draw4,1,35688,straight,19.0,R4,True,False,False,False,False,False,False,False,False,2,1,0,3,56883,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,35688,135,765,153,False,False,True
Combined,Set1,Draw4,1,15688,straight,19.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,68815,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,15688,135,765,153,False,False,True
Combined,Set1,Draw4,1,135688,straight,19.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,688153,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,3,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain2,135688,135,765,153,False,False,True
Combined,Set1,Draw5,1,15688,straight,19.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,68815,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,15688,135,765,153,False,False,True
Midday,Set1,Draw1,5,036,boxed,19.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,036,2,8,False,8,3,2,0.0,3,0,0,1,0,0.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw1,4,036,boxed,19.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,036,2,8,False,8,3,2,0.0,3,0,0,1,0,0.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw1,3,026,straight,19.0,R4,False,False,False,False,False,False,False,False,False,2,1,0,5,206,1,7,False,2,5,0,0.0,3,0,0,2,0,0.0,0,0.0,2,2,3,2,4,0,False,straight|cov1|hp_repeat5|hot2|vtrac_straight|set_chain2|draw_chain4,026,567,765,153,False,False,True
Midday,Set1,Draw2,3,036,boxed,19.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,3,036,2,8,False,8,3,2,0.0,3,0,0,1,0,0.0,0,0.0,0,0,2,1,3,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|perm3|draw_chain3,036,135,765,153,False,False,True
Midday,Set1,Draw5,1,0133668,straight,19.0,R2,True,False,False,False,False,False,False,False,False,2,1,0,3,0133866,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,4,0.0,2,0,0,1,1,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight,0133668,135,765,153,False,False,True
Midday,Set1,Draw5,2,0668,straight,19.0,R4,False,False,False,False,False,False,False,False,False,2,1,0,3,0668,1,8,False,2,3,0,0.0,3,0,0,2,0,0.0,1,0.0,2,4,2,3,3,0,False,straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain3,0668,135,765,153,False,False,True
Midday,Set1,Draw5,2,03668,straight,19.0,R4,True,False,False,False,False,False,False,False,False,2,1,0,3,06683,1,8,False,2,3,0,0.0,3,0,0,2,1,0.0,2,0.0,2,4,0,3,1,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|set_chain3,03668,135,765,153,False,False,True
Combined,Set1,Draw2,5,01133688,boxed,18.0,"R2,R6,R8",True,False,False,False,False,False,False,False,False,0,3,0,2,01133886,1,8,False,6,2,2,0.0,1,0,0,0,1,0.0,5,0.0,0,0,1,1,2,0,False,boxed|cov3|hp_repeat2|mirror|perm3|draw_chain2,01133688,135,765,153,False,False,True
Combined,Set1,Draw3,2,135,straight,18.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,153,1,8,False,2,4,0,0.0,3,0,0,2,0,0.0,0,0.0,2,4,1,3,2,0,False,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain3|draw_chain2,135,135,765,153,True,True,True
Combined,Set1,Draw3,1,13588,straight,18.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,88153,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain2,13588,135,765,153,False,False,True
Combined,Set1,Draw4,2,135,straight,18.0,R6,False,False,False,False,False,False,False,False,False,2,1,0,4,153,1,8,False,2,4,0,0.0,3,0,0,2,0,0.0,0,0.0,2,4,1,3,2,0,False,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain3|draw_chain2,135,135,765,153,True,True,True
Combined,Set1,Draw4,1,13588,straight,18.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,88153,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain2,13588,135,765,153,False,False,True
Combined,Set1,Draw5,1,155688,straight,18.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,688155,1,8,False,2,3,0,0.0,3,0,0,4,1,0.0,3,0.0,2,0,0,1,1,0,False,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight,155688,135,765,153,False,False,True
Midday,Set2,Draw1,4,026,boxed,18.0,"R4,R6,R8",False,False,False,False,False,False,False,False,False,1,3,0,6,206,1,7,False,6,6,2,0.0,1,0,0,1,0,0.0,0,0.0,0,2,0,2,1,0,False,boxed|cov3|hp_repeat6|hot1|perm3|set_chain2,026,567,765,153,False,False,True
