section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw1,1,455,boxed,34.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,7,554,3,5,True,8,7,1,0.0,7,0,0,4,0,0.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set1,Draw1,2,455,boxed,32.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,7,554,3,5,True,8,7,1,0.0,7,0,0,2,0,0.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set3,Draw1,3,499,straight,31.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,1,0,5,994,4,35,False,8,5,0,0.0,9,0,4,1,1,0.0,0,0.0,2,0,0,1,1,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|mirror|cons_full|hot1|cons_3v|double_mirror|vtrac_straight
Evening,Set3,Draw1,1,114,boxed,30.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2,0,7,411,2,19,False,8,7,1,0.0,3,0,0,2,0,4.0,0,0.0,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|double_mirror|set_chain3
Combined,Set3,Draw1,1,346,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,3,0,7,634,2,24,True,8,7,2,0.0,3,0,0,2,0,3.0,0,0.5,0,4,0,3,1,0,False,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm3|hidden3v|set_chain3
Combined,Set1,Draw2,1,134688,boxed,29.5,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4,0,1,413886,1,24,True,8,1,3,0.0,1,0,0,4,1,3.0,3,0.5,0,0,5,1,6,0,False,boxed|cov4|mirror|hot2|dom_last|perm4|hidden3v|draw_chain6
Midday,Set1,Draw3,2,244,straight,29.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,244,3,31,False,6,4,0,0.0,9,0,0,2,0,0.0,0,0.0,2,2,3,2,4,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4
Evening,Set3,Draw1,4,499,straight,29.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,1,0,5,994,4,35,False,8,5,0,0.0,9,0,4,1,1,0.0,0,0.0,0,0,0,1,1,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|mirror|cons_full|hot1|cons_3v|double_mirror
Combined,Set2,Draw1,1,3346,boxed,28.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,3,0,7,6334,2,24,True,8,7,2,0.0,3,0,0,2,0,3.0,1,0.5,0,2,0,2,1,0,False,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm3|hidden3v|set_chain2
Midday,Set1,Draw3,3,244,straight,28.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,4,244,3,31,False,6,4,0,0.0,9,0,0,1,0,0.0,0,0.0,2,2,3,2,4,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain2|draw_chain4
