state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
Ohio4,2025-06-22,899,45,62,62,12,3,48,2,27,21,0,0,14,3,3,7,20.17,34.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_straight"
Ohio4,2025-06-22,069,125,53,53,17,4,38,7,15,24,6,1,13,3,3,7,19.19,34.75,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,688,24,47,47,16,4,35,11,12,22,3,0,11,3,3,7,20.705,34.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,027,133,17,17,10,3,14,3,9,16,3,0,13,3,3,4,23.012,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vt_only_lane,vt_straight"
Ohio4,2025-06-22,112,23,27,27,3,4,17,1,10,16,5,0,11,3,3,7,18.867,31.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,058,114,31,31,7,4,22,2,12,11,6,0,0,3,3,7,18.39,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,124,235,19,19,3,2,12,1,7,12,0,0,12,3,3,6,20.392,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_straight"
Ohio4,2025-06-22,003,14,25,25,6,4,24,2,7,7,3,0,0,3,2,7,19.238,30.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,005,11,37,37,7,4,21,5,5,15,3,0,0,3,3,7,19.064,30.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,039,145,39,39,7,4,33,1,6,9,8,0,0,3,2,7,18.74,30.2,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,008,14,37,37,9,4,28,1,7,12,10,0,0,3,2,7,17.247,30.2,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,238,344,26,26,10,3,24,2,5,13,9,0,4,3,3,6,15.698,30.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Ohio4,2025-06-22,035,114,31,31,7,4,22,2,7,11,9,0,0,3,3,7,17.568,30.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,068,124,51,51,11,4,37,1,19,18,7,0,0,3,3,7,17.767,29.5,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,457,135,27,27,0,3,13,0,4,14,5,0,9,3,3,6,20.18,29.4,"funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Ohio4,2025-06-22,456,125,48,48,4,4,29,0,8,18,7,0,8,3,3,6,18.674,29.4,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,334,45,56,56,10,4,38,5,10,19,7,0,6,3,3,7,18.206,28.9,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,255,13,47,47,6,4,30,3,5,20,13,0,5,3,3,7,18.834,28.9,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,013,124,33,33,9,4,29,1,7,15,8,0,4,3,3,7,17.395,28.9,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,467,235,15,15,0,4,5,0,0,7,4,0,3,3,3,4,19.213,28.9,"hot12,hot16,hot20,hot8,literal_draw,set1_bonus,straight_lane,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Ohio4,2025-06-22,145,125,43,43,8,4,29,1,5,12,11,1,0,3,3,7,16.127,25.1,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
