state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
OntarioCanada4,2025-06-22,678,234,33,33,13,5,25,7,9,20,1,1,13,3,3,7,20.194,36.35,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,157,123,25,25,12,5,18,12,1,15,1,1,12,3,3,6,20.718,35.25,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,112,23,27,27,8,5,22,1,10,16,3,0,13,3,3,6,19.967,34.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,334,45,50,50,12,5,34,5,18,21,1,0,14,3,3,7,20.701,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,049,155,53,53,23,4,45,6,15,29,12,0,0,3,3,7,18.054,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,122,23,35,35,5,4,20,1,7,20,9,0,11,3,3,7,20.016,32.0,"col1,funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,459,155,53,53,23,4,45,7,15,29,22,0,0,3,3,7,18.08,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,367,234,28,28,4,4,19,1,11,18,5,0,12,3,3,7,20.066,31.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,469,255,33,33,9,4,27,1,9,18,13,0,0,3,3,7,19.785,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,059,115,42,42,17,4,39,5,21,23,8,0,0,3,3,7,19.132,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,009,15,44,44,18,4,41,11,16,23,0,0,0,3,3,7,20.186,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
OntarioCanada4,2025-06-22,058,114,30,30,7,5,26,1,8,19,14,0,5,3,3,7,17.82,31.0,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,467,235,30,30,9,4,25,0,7,11,6,0,0,3,3,7,18.355,30.95,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,123,234,22,22,3,4,15,0,5,9,9,1,0,3,3,6,16.157,30.75,"funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,013,124,28,28,0,4,18,0,4,13,2,0,3,3,3,5,18.92,30.7,"funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,089,145,45,45,15,5,36,2,10,23,19,0,4,3,3,7,17.631,30.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
OntarioCanada4,2025-06-22,229,35,55,55,12,4,38,7,13,6,0,0,0,3,3,7,19.953,30.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
OntarioCanada4,2025-06-22,679,235,35,35,8,4,27,0,7,12,7,0,0,3,3,7,17.979,30.35,"funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
