state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
Pennsylvania4,2025-06-22,667,23,23,23,16,4,22,7,13,14,0,1,13,2,2,5,21.157,36.25,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Pennsylvania4,2025-06-22,226,23,50,50,11,4,35,2,21,20,3,0,14,3,3,7,20.552,35.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,036,124,23,23,13,3,17,12,0,12,0,1,12,3,3,7,19.839,34.95,"col1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_straight"
Pennsylvania4,2025-06-22,345,145,58,58,22,4,50,3,17,24,9,0,13,3,3,7,17.848,34.35,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,014,125,47,47,8,3,32,4,11,18,1,0,11,3,3,7,19.077,32.3,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,038,144,60,60,18,4,51,3,23,19,5,0,0,3,3,7,18.695,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,789,345,48,48,9,4,40,1,7,11,7,0,0,3,3,7,17.592,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,468,245,39,39,12,3,33,2,14,20,8,0,12,3,3,7,17.704,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,112,23,11,11,5,3,11,0,2,2,2,1,0,2,1,4,14.036,31.35,"funnel_precol1,guard_set1,hot12,hot20,hot4,hot8,ls_col_42,set1_bonus,superhot_set1,vertical3,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,289,345,41,41,13,4,34,4,4,9,7,0,0,3,3,7,18.398,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,008,14,15,15,6,4,12,2,6,2,0,0,0,3,3,7,18.493,30.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_straight"
Pennsylvania4,2025-06-22,229,35,44,44,12,4,39,6,13,6,0,0,0,3,3,7,19.376,30.65,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Pennsylvania4,2025-06-22,358,144,60,60,18,4,51,1,17,19,18,0,0,3,3,7,17.438,30.65,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,228,34,44,44,11,4,33,5,7,7,1,0,0,3,3,7,18.599,30.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,279,335,21,21,7,3,19,0,5,6,2,0,0,2,3,7,18.31,30.05,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,278,334,11,11,2,2,8,0,4,5,3,0,0,2,3,5,21.714,29.75,"funnel_precol1,hot16,hot20,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,335,14,29,29,5,4,22,0,1,8,3,0,3,3,3,7,17.916,29.5,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,237,334,11,11,2,2,8,0,4,5,5,0,0,2,3,5,21.659,29.45,"funnel_precol1,hot16,hot20,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,347,345,41,41,13,4,34,1,6,9,5,0,0,3,3,7,18.39,29.45,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,234,345,48,48,9,4,40,0,7,11,7,0,0,3,3,7,17.667,29.45,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Pennsylvania4,2025-06-22,158,124,14,14,4,1,8,1,0,1,1,1,0,3,3,7,14.432,24.8,"col1,guard_set1,hot16,hot20,hot8,ls2_lane,set1_bonus,superhot_set1,vertical1,vt_only_lane,vt_straight"
