Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,917,954,567,041,846,354,226
Set3,Draw1,R2,92244013386,224013386,22401338,22338*,2233*,223*,003*
Set3,Draw1,R4,22906833441,220683341,22083341,22833*,2233*,223*,003*
Set3,Draw1,R6,68109332244,681033224,81033224,83322*,3322*,322*,003*
Set3,Draw1,R8,01983362244,018336224,01833224,83322*,3322*,322*,003*
Set2,Draw1,draw_data,954,567,041,846,354,226,667
Set2,Draw1,R2,22400133866,2240013386,2203386,22033*,2203*,003*,003*
Set2,Draw1,R4,22006683341,2200683341,2206833,22033*,2203*,003*,003*
Set2,Draw1,R6,66810033224,6810033224,6803322,03322*,0322*,003*,003*
Set2,Draw1,R8,00183366224,0018336224,0833622,03322*,0322*,003*,003*
Set1,Draw1,draw_data,567,041,846,354,226,667,360
Set1,Draw1,R2,22400133886,22033886,220338*,22038*,038**,038**,008**
Set1,Draw1,R4,22006883341,22068833,220833*,22083*,083**,083**,008**
Set1,Draw1,R6,68810033224,68803322,803322*,80322*,803**,803**,008**
Set1,Draw1,R8,00188336224,08833622,083322*,08322*,083**,083**,008**
Set1,Draw2,draw_data,N/A,041,846,354,226,667,360
Set1,Draw2,R2,N/A,92201338867,922013387,92201387*,901387*,90138**,918**
Set1,Draw2,R4,N/A,22906883371,229083371,22908371*,908371*,90831**,981**
Set1,Draw2,R6,N/A,68817093322,817093322,81709322*,817093*,81093**,819**
Set1,Draw2,R8,N/A,70198833622,701983322,70198322*,701983*,01983**,198**
Set1,Draw3,draw_data,N/A,N/A,846,354,226,667,360
Set1,Draw3,R2,N/A,N/A,59922013387,992201387,9901387*,990138**,9918**
Set1,Draw3,R4,N/A,N/A,22599083371,229908371,9908371*,990831**,9981**
Set1,Draw3,R6,N/A,N/A,81705993322,817099322,8170993*,810993**,8199**
Set1,Draw3,R8,N/A,N/A,70199833225,701998322,7019983*,019983**,1998**
Set1,Draw4,draw_data,N/A,N/A,N/A,354,226,667,360
Set1,Draw4,R2,N/A,N/A,N/A,599220138677,599013877,59901387**,599187**
Set1,Draw4,R4,N/A,N/A,N/A,225990683771,599083771,59908371**,599871**
Set1,Draw4,R6,N/A,N/A,N/A,681770599322,817705993,81705993**,817599**
Set1,Draw4,R8,N/A,N/A,N/A,770199836225,770199835,70199835**,719985**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,226,667,360
Set1,Draw5,R2,N/A,N/A,N/A,N/A,59900113877,5990011387**,59901187**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,59900837711,5990083711**,59908711**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,81177005993,8117005993**,81170599**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,77001199835,7001199835**,70119985**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,667,360
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,599400113887,5994011887*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,599008834711,5990884711*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,881170059934,8811705994*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,700119988345,7011998845*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,360
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5599440113887
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,5599088344711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,8811705599344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7011998834455
