Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,116,237,002,968,351,442,402
Set3,Draw1,R2,5592440388677,5594408867,559448867,554487*,54487*,587*,587*
Set3,Draw1,R4,2559068834477,5590688447,559688447,558447*,58447*,587*,587*
Set3,Draw1,R6,6887705593244,6887055944,688755944,875544*,87544*,875*,875*
Set3,Draw1,R8,7709883624455,7098864455,798864455,784455*,78445*,785*,785*
Set2,Draw1,draw_data,237,002,968,351,442,402,069
Set2,Draw1,R2,55944038867,5594438867,5544387,54487*,587*,587*,587*
Set2,Draw1,R4,55906883447,5596883447,5583447,58447*,587*,587*,587*
Set2,Draw1,R6,68870559344,6887559344,8755344,87544*,875*,875*,875*
Set2,Draw1,R8,70988364455,7988364455,7834455,78445*,785*,785*,785*
Set1,Draw1,draw_data,002,968,351,442,402,069,847
Set1,Draw1,R2,55994438867,55944387,594487*,5987*,5987**,587**,005**
Set1,Draw1,R4,55996883447,55983447,598447*,5987*,5987**,587**,005**
Set1,Draw1,R6,68875599344,87559344,875944*,8759*,8759**,875**,005**
Set1,Draw1,R8,79988364455,79834455,798445*,7985*,7985**,785**,005**
Set1,Draw2,draw_data,N/A,968,351,442,402,069,847
Set1,Draw2,R2,N/A,55944113867,59441867,591867*,591867*,5187**,051**
Set1,Draw2,R4,N/A,55968344711,59684471,596871*,596871*,5871**,051**
Set1,Draw2,R6,N/A,68117559344,68175944,681759*,681759*,8175**,015**
Set1,Draw2,R8,N/A,71198364455,71986445,719865*,719865*,7185**,015**
Set1,Draw3,draw_data,N/A,N/A,351,442,402,069,847
Set1,Draw3,R2,N/A,N/A,59244138677,59138677,59138677*,513877**,5137**
Set1,Draw3,R4,N/A,N/A,25968344771,59683771,59683771*,583771**,5371**
Set1,Draw3,R6,N/A,N/A,68177593244,68177593,68177593*,817753**,1753**
Set1,Draw3,R8,N/A,N/A,77198362445,77198365,77198365*,771835**,7135**
Set1,Draw4,draw_data,N/A,N/A,N/A,442,402,069,847
Set1,Draw4,R2,N/A,N/A,N/A,59200138677,590138677,513877**,5137**
Set1,Draw4,R4,N/A,N/A,N/A,25900683771,590683771,583771**,5371**
Set1,Draw4,R6,N/A,N/A,N/A,68177005932,681770593,817753**,1753**
Set1,Draw4,R8,N/A,N/A,N/A,77001983625,770198365,771835**,7135**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,402,069,847
Set1,Draw5,R2,N/A,N/A,N/A,N/A,599013886677,591388677**,5913867**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,599066883771,596883771**,5968371**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668817705993,688177593**,6817593**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770199883665,771988365**,7198365**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,069,847
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,559113388677,5591133867*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,559688337711,5596833711*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,688117755933,6811755933*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,771198833655,7119833655*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,847
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55921133867
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,25596833711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68117559332
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,71198336255
