best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
559,126,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5324543063873187,1,1.0,own,1,15.877143,0.9965472376685257,15.877143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,126,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5043748883497735,1,1.0,combined,2,15.877143,0.9965472376685257,15.877143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
552,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.48084271593577066,0,1.0,combined,3,15.627143,0.9904064199688634,15.627143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,90,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5448788923735801,1,1.0,combined,4,15.377143,0.9953420716969065,15.377143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5199893401555817,0,1.0,own,5,14.577143,0.9891359883114997,14.577143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,78,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5938731029341427,1,1.0,own,6,14.127143,0.9904064199688634,14.127143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,78,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.569546223939229,1,1.0,combined,7,14.127143,0.9904064199688634,14.127143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,90,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5817593768418363,1,1.0,own,8,13.977143,0.9896630939394229,13.977143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,66,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.569546223939229,0,1.0,combined,9,12.777143,0.9846182482369833,12.777143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.4933337283669705,1,1.0,combined,10,12.677143,0.9812446222746463,12.677143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
552,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.505833068687248,0,1.0,own,11,12.427143,0.9787738762076721,12.427143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,66,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5938731029341427,0,1.0,own,12,11.977143,0.9812446222746463,11.977143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5199893401555817,0,1.0,own,13,10.860476,0.9622798069245375,10.860476,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
