state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
Virginia4,2025-06-22,347,345,61,61,15,5,44,7,13,23,7,1,14,3,3,7,19.177,35.45,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
Virginia4,2025-06-22,016,122,25,25,15,3,21,12,2,14,1,1,12,2,3,7,20.552,34.95,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-22,177,23,31,31,9,4,25,2,14,16,0,0,14,3,3,7,21.61,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-22,389,445,34,34,10,5,26,2,9,15,1,0,13,3,3,7,19.428,33.45,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vertical5,vt_only_lane,vt_straight"
Virginia4,2025-06-22,055,11,56,56,17,4,37,11,20,14,0,0,0,3,3,7,19.504,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-22,057,113,53,53,16,4,36,8,16,14,9,0,0,3,3,7,18.538,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,028,134,30,30,1,3,21,1,7,14,2,0,12,3,3,7,19.907,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-22,168,224,22,22,2,3,15,1,9,13,2,0,11,3,3,7,20.673,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-22,455,15,101,101,31,4,71,18,39,24,0,0,0,3,3,7,20.069,30.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-22,557,13,67,67,10,3,44,4,7,9,6,0,0,3,3,7,17.841,30.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-22,005,11,56,56,17,4,37,5,6,14,7,0,0,3,3,7,17.164,30.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,002,13,67,67,10,3,44,4,1,9,9,0,0,3,3,7,16.902,30.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-22,025,113,53,53,16,4,36,5,4,14,14,0,0,3,3,7,16.67,30.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,155,12,30,30,8,4,22,0,10,2,2,0,0,3,3,6,17.99,29.9,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,344,45,50,50,8,4,32,3,17,16,0,0,0,3,3,7,18.71,29.5,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-22,445,15,50,50,9,4,33,4,19,17,0,0,0,3,3,7,18.607,29.5,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-22,077,13,44,44,8,4,26,2,15,5,0,0,0,3,3,7,19.04,29.3,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-22,045,115,52,52,14,4,34,5,10,12,12,0,0,3,3,7,17.242,29.3,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,047,135,48,48,17,4,32,5,14,10,7,0,0,3,3,7,17.041,29.3,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,069,125,36,36,8,4,29,1,7,18,1,0,15,2,3,7,19.24,29.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,289,345,49,49,4,4,33,0,3,9,9,1,0,3,3,7,16.302,24.8,"funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-22,156,122,14,14,4,3,10,0,1,2,2,1,0,2,3,7,15.836,24.5,"funnel_precol1,guard_set1,hot16,hot20,hot4,hot8,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vt_only_lane,vt_straight"
