state,area,section,set,draw,col,method,mode,earliest_exact_step,earliest_vtrac_step,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_family_exact_step,earliest_family_vtrac_step,final_value,final_vt_boxed,final_vt_straight,final_exact_match,final_vtrac_match,final_drop_exact_match,final_drop_vtrac_match,final_family_exact_match,final_family_vtrac_match,final_drop_digit,final_vtrac_local_index,match_types
Connecticut4,LS1,Evening,Set2,Draw1,4,A,own,-1,0,-1,0,-1,-1,44*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,A,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,B,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,B,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,C,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,C,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,D,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,D,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,E,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,E,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,T,own,-1,0,-1,0,-1,-1,44*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,4,T,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,A,own,-1,0,-1,0,-1,-1,44*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,A,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,B,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,B,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,C,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,C,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,D,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,D,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,E,own,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,E,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,T,own,-1,0,-1,0,-1,-1,44*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set2,Draw1,3,T,combined,-1,0,-1,0,-1,-1,*,0,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Evening,Set1,Draw3,2,A,own,-1,0,-1,-1,-1,-1,44**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,A,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,B,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,B,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,C,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,C,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,D,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,D,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,E,own,-1,0,-1,-1,-1,-1,4**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,E,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,T,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw3,2,T,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,4,E,own,-1,2,-1,-1,-1,-1,4,1,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,A,own,-1,0,-1,-1,-1,-1,44**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,A,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,B,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,B,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,C,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,C,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,D,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,D,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,E,own,-1,0,-1,-1,-1,-1,4**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,E,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,T,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw4,2,T,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,A,own,-1,0,-1,-1,-1,-1,44**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,A,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,B,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,B,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,C,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,C,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,D,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,D,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,E,own,-1,0,-1,-1,-1,-1,44**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,E,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,T,own,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Evening,Set1,Draw5,2,T,combined,-1,0,-1,-1,-1,-1,**,0,0,0,0,0,0,0,0,,-1,vtrac
