section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw1,1,446,boxed,38.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,7,644,3,25.0,True,8,7,1,0.0,7,0,0,4,0,4.0,0,0.5,0,4,2,3,3,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|set_chain3|draw_chain3
Combined,Set1,Draw1,1,044,straight,38.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,1,044,4,15.0,True,8,1,0,0.0,9,0,4,4,0,4.5,0,0.5,2,0,4,1,5,1,True,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|draw_chain5
Combined,Set1,Draw2,1,447,boxed,37.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,6,447,2,31.0,True,8,6,1,0.0,3,0,0,4,0,4.0,0,0.5,0,4,6,3,7,1,True,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw2,1,446,boxed,37.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,6,644,3,25.0,True,8,6,1,0.0,7,0,0,4,0,4.0,0,0.5,0,4,2,3,3,1,True,boxed|cov4|hp_repeat6|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|set_chain3|draw_chain3
Evening,Set1,Draw4,1,244,straight,37.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,4,244,3,31.0,True,6,4,0,0.0,9,0,0,4,0,4.5,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Combined,Set1,Draw4,1,244,straight,35.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,4,244,3,31.0,True,6,4,0,0.0,9,0,0,4,0,4.5,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|draw_chain5
Combined,Set1,Draw5,1,244,straight,34.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,3,244,3,31.0,True,6,3,0,0.0,9,0,0,4,0,4.5,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw3,1,244,straight,33.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,4,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Evening,Set1,Draw6,1,244,straight,33.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,1,1,0,2,244,3,31.0,True,6,2,0,0.0,9,0,0,2,0,4.5,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Combined,Set2,Draw1,1,448,boxed,31.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,4,844,3,34.0,True,8,4,1,0.0,7,0,0,2,0,4.0,0,0.5,0,4,0,3,1,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3
Evening,Set1,Draw3,2,244,straight,31.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Evening,Set1,Draw5,1,244,straight,31.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,244,3,31.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Combined,Set1,Draw6,1,244,straight,31.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,1,1,0,2,244,3,31.0,True,6,2,0,0.0,9,0,0,2,0,4.5,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last|hidden3v|double_mirror|vtrac_straight|draw_chain5
Midday,Set1,Draw5,3,559,straight,31.0,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1,0,1,559,3,5.0,False,6,1,0,0.0,9,4,0,0,0,0.0,0,0.0,2,4,4,3,5,1,True,straight|cov3|vstr2|vstr3|single_left|double_mirror|vtrac_straight|set_chain3|draw_chain5
Combined,Set1,Draw1,3,448,boxed,30.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,4,844,3,34.0,True,8,4,1,0.0,7,0,0,2,0,0.0,0,0.5,0,4,3,3,4,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4
Combined,Set1,Draw1,2,448,boxed,30.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,4,844,3,34.0,True,8,4,1,0.0,7,0,0,2,0,0.0,0,0.5,0,4,3,3,4,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain4
Evening,Set1,Draw3,3,244,straight,30.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Evening,Set1,Draw4,2,244,straight,30.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,244,3,31.0,True,6,4,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Midday,Set1,Draw1,5,559,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,4,559,3,5.0,False,8,4,1,0.0,7,0,0,1,0,0.0,0,0.0,0,4,4,3,5,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3|draw_chain5
Midday,Set1,Draw1,4,559,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,4,559,3,5.0,False,8,4,1,0.0,7,0,0,1,0,0.0,0,0.0,0,4,4,3,5,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3|draw_chain5
Midday,Set1,Draw3,1,677,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,5,677,3,20.0,False,8,5,1,0.0,7,0,0,4,0,0.0,0,0.0,0,0,4,1,5,1,True,boxed|cov4|hp_repeat5|vstr2|vstr3|hot2|perm2|double_mirror|draw_chain5
Combined,Set3,Draw1,1,4488,boxed,29.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2,0,3,8844,3,34.0,True,8,3,1,0.0,7,0,0,2,0,3.0,1,0.5,0,4,0,3,1,0,False,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|dom_last|perm2|hidden3v|set_chain3
Combined,Set1,Draw1,3,4488,boxed,29.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,3,8844,3,34.0,True,8,3,1,0.0,7,0,0,2,0,0.0,1,0.5,0,4,3,3,4,0,False,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2|hidden3v|set_chain3|draw_chain4
Evening,Set1,Draw1,3,344,straight,29.5,"R4,R6",False,True,False,False,False,False,False,False,False,2,1,0,6,344,2,34.0,True,4,6,0,0.0,5,0,0,2,0,0.0,0,0.5,2,4,5,3,6,1,True,straight|cov2|hp_repeat6|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain6
Evening,Set1,Draw5,2,244,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,244,3,31.0,True,6,3,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Evening,Set1,Draw7,1,244,straight,29.5,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1,0,1,244,3,31.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Combined,Set1,Draw1,3,488,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,3,884,3,33.0,False,8,3,1,0.0,7,0,0,2,0,0.0,0,0.0,0,4,3,3,4,1,True,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2|double_mirror|set_chain3|draw_chain4
