section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Combined,Set3,Draw1,3,488,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,3,884,3,33,False,8,3,1,0.0,7,0,0,1,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3,488,389,130,938,False,False,True
Evening,Set3,Draw1,4,3344,boxed,21.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,1,2,0,5,3344,2,33,False,6,5,1,0.0,3,0,0,1,0,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov3|hp_repeat5|vstr2|hot1|perm2|set_chain3,3344,389,130,938,False,False,True
Evening,Set3,Draw1,4,334,boxed,21.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,1,2,0,5,334,2,33,False,6,5,1,0.0,3,0,0,1,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov3|hp_repeat5|vstr2|hot1|perm2|double_mirror|set_chain3,334,389,130,938,False,False,True
Evening,Set3,Draw1,3,3344,boxed,21.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,1,2,0,5,3344,2,33,False,6,5,1,0.0,3,0,0,1,0,0.0,1,0.0,0,4,0,3,1,0,False,boxed|cov3|hp_repeat5|vstr2|hot1|perm2|set_chain3,3344,389,130,938,False,False,True
Evening,Set3,Draw1,3,334,boxed,21.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,1,2,0,5,334,2,33,False,6,5,1,0.0,3,0,0,1,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov3|hp_repeat5|vstr2|hot1|perm2|double_mirror|set_chain3,334,389,130,938,False,False,True
Evening,Set1,Draw1,3,3448,boxed,20.0,"R2,R4,R6",True,True,False,False,False,False,False,False,False,2,2,0,2,8344,2,33,False,6,2,1,0.0,3,0,0,2,1,0.0,1,0.0,0,0,4,1,5,0,False,boxed|cov3|hp_repeat2|vstr2|mirror|hot2|perm2|draw_chain5,3448,389,130,938,False,False,True
Evening,Set1,Draw1,5,334,straight,20.0,"R4,R6",False,True,False,False,False,False,False,False,False,1,1,0,3,334,2,33,False,4,3,0,0.0,5,0,0,1,0,0.0,0,0.0,0,4,2,3,3,1,True,straight|cov2|hp_repeat3|vstr2|hot1|double_mirror|set_chain3|draw_chain3,334,389,130,938,False,False,True
Evening,Set1,Draw1,5,3344,straight,20.0,"R4,R6",False,True,False,False,False,False,False,False,False,1,1,0,3,3344,2,33,False,4,3,0,0.0,5,0,0,1,0,0.0,1,0.0,0,4,2,3,3,0,False,straight|cov2|hp_repeat3|vstr2|hot1|set_chain3|draw_chain3,3344,389,130,938,False,False,True
Combined,Set3,Draw1,4,488,boxed,19.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,1,2,0,3,884,2,33,False,6,3,1,0.0,3,0,0,1,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov3|hp_repeat3|vstr2|hot1|perm2|double_mirror|set_chain3,488,389,130,938,False,False,True
Combined,Set2,Draw1,4,488,boxed,19.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,1,2,0,3,884,2,33,False,6,3,1,0.0,3,0,0,1,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov3|hp_repeat3|vstr2|hot1|perm2|double_mirror|set_chain3,488,389,130,938,False,False,True
