best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
440,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",044,0.5407427963089437,1,1.0,combined,1,18.277143,0.9932299282744542,18.277143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
400,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",004,0.47751517520819986,0,1.0,combined,2,17.927143,0.9932299282744542,17.927143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
550,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",055,0.48333950343058857,0,1.0,combined,3,13.49381,0.9813988200718731,13.49381,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
440,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",044,0.5654555217038132,1,1.0,own,4,13.477143,0.9776977252028628,13.477143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
400,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",004,0.502499979166875,0,1.0,own,5,13.127143,0.9776977252028628,13.127143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
550,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",055,0.5083325618141193,0,1.0,own,6,11.09381,0.966363630411727,11.09381,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
013,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",013,0.6885466133829796,0,1.0,combined,7,11.027143,0.9390559334707117,11.027143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
994,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5788599770676062,0,1.0,own,8,10.758571,0.9657759690784732,10.758571,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
522,66,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",225,0.5258103709690081,0,1.0,own,9,10.727143,0.9728270272003616,10.727143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
554,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5377849677326424,0,1.0,combined,10,10.591905,0.9537019277600677,10.591905,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
540,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",045,0.5523079095743253,0,1.0,combined,11,10.577143,0.9533669369540613,10.577143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
993,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",399,0.6524894621927444,0,1.0,own,12,10.477143,0.9533669369540613,10.477143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5482583975040908,0,1.0,combined,13,10.446234,0.9410643436869321,10.446234,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
522,66,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",225,0.5494214355207865,0,1.0,combined,14,10.337143,0.9788786239267537,10.337143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
599,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5479769376367963,0,1.0,combined,15,10.087143,0.9298796587312389,10.087143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
013,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",013,0.7095775762760542,0,1.0,own,16,9.827143,0.9390559334707117,9.827143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
524,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",245,0.6259778577666038,1,1.0,combined,17,9.577143,0.9692645888694489,9.577143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
524,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",245,0.6490805242445733,1,1.0,own,18,9.527143,0.9652433350320649,9.527143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
599,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.4862534650976451,0,1.0,combined,19,9.507143,0.9593352933146825,9.507143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
994,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5543087114202767,0,1.0,combined,20,9.358571,0.9657759690784732,9.358571,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
590,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",059,0.5448788923735801,0,1.0,combined,21,9.327143,0.9419419283273185,9.327143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
544,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",445,0.5490088057588589,0,1.0,combined,22,9.320476,0.945848443776836,9.320476,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
338,6,"exact,vtrac,family_exact,family_vtrac",338,0.548183344550421,0,1.0,combined,23,9.264643,0.9200534487108087,9.264643,Delaware4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
994,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5291336290720469,0,1.0,combined,24,9.147143,0.957085420564793,9.147143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.513746534902355,0,1.0,own,25,9.087143,0.9694155381723456,9.087143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
993,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",399,0.6294831119673949,0,1.0,combined,26,9.077143,0.9533669369540613,9.077143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
