section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw1,1,338,boxed,39.5,"R2,R4,R6,R8",True,True,True,False,False,False,False,True,False,2,2,0,7,833,3,32.0,True,8,7,1,0.0,7,0,0,4,1,4.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|mirror|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7
Midday,Set1,Draw1,1,246,boxed,34.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,4,624,2,22.0,True,8,4,2,0.0,3,0,0,4,0,3.0,0,0.5,0,4,6,3,7,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain7
Evening,Set1,Draw1,2,338,boxed,33.5,"R2,R4,R6,R8",True,True,True,False,False,False,False,False,False,2,2,0,7,833,3,32.0,True,8,7,1,0.0,7,0,0,2,1,0.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|mirror|hot2|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set3,Draw1,1,38899,boxed,32.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,3,0,7,99883,2,33.0,False,8,7,2,0.0,3,0,0,2,1,3.0,2,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat7|vstr2|mirror|hot1|dom_last|perm3|set_chain3
Midday,Set1,Draw3,1,245,boxed,31.5,"R2,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,524,2,12.0,True,6,4,1,0.0,3,0,0,4,0,3.0,0,0.5,0,4,6,3,7,0,False,boxed|cov3|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|set_chain3|draw_chain7
Combined,Set1,Draw3,1,003368,boxed,30.5,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4,0,3,003386,1,8.0,True,8,3,3,0.0,1,0,0,4,1,3.0,3,0.5,0,0,4,1,5,0,False,boxed|cov4|hp_repeat3|mirror|hot2|dom_last|perm4|hidden3v|draw_chain5
Evening,Set1,Draw2,1,0338,boxed,30.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,4,0833,2,13.0,True,8,4,2,0.0,3,0,0,4,1,3.0,1,0.5,0,0,4,1,5,0,False,boxed|cov4|hp_repeat4|vstr2|mirror|hot2|dom_last|perm3|hidden3v|draw_chain5
Combined,Set1,Draw1,1,033,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,033,3,13.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Combined,Set1,Draw2,1,033,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,033,3,13.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Midday,Set1,Draw1,2,246,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,4,624,2,22.0,True,8,4,2,0.0,3,0,0,2,0,0.0,0,0.5,0,4,6,3,7,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|perm3|hidden3v|set_chain3|draw_chain7
