Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,702,489,471,772,527,756,989
Set3,Draw1,R2,5594401138866,5540113866,55013866,55013866*,5013866*,01386*,0136*
Set3,Draw1,R4,5590668834411,5506683411,55066831,55066831*,5066831*,06831*,0631*
Set3,Draw1,R6,6688110559344,6681105534,66810553,66810553*,6681053*,68103*,6103*
Set3,Draw1,R8,0119883664455,0118366455,01836655,01836655*,0183665*,01836*,0136*
Set2,Draw1,draw_data,489,471,772,527,756,989,979
Set2,Draw1,R2,55240113866,552013866,55013866,5013866*,01386*,0136*,0136*
Set2,Draw1,R4,25506683411,255066831,55066831,5066831*,06831*,0631*,0631*
Set2,Draw1,R6,66811055324,668105532,66810553,6681053*,68103*,6103*,6103*
Set2,Draw1,R8,01183662455,018366255,01836655,0183665*,01836*,0136*,0136*
Set1,Draw1,draw_data,471,772,527,756,989,979,127
Set1,Draw1,R2,55920133866,5590133866,590133866*,9013386*,01336**,01336**,0336**
Set1,Draw1,R4,25590668331,5590668331,590668331*,9068331*,06331**,06331**,0633**
Set1,Draw1,R6,66810559332,6681055933,668105933*,6810933*,61033**,61033**,6033**
Set1,Draw1,R8,01983366255,0198336655,019833665*,0198336*,01336**,01336**,0336**
Set1,Draw2,draw_data,N/A,772,527,756,989,979,127
Set1,Draw2,R2,N/A,559200133866,5900133866,90013386*,001336*,001336**,00336**
Set1,Draw2,R4,N/A,255900668331,5900668331,90068331*,006331*,006331**,00633**
Set1,Draw2,R6,N/A,668100559332,6681005933,68100933*,610033*,610033**,60033**
Set1,Draw2,R8,N/A,001983366255,0019833665,00198336*,001336*,001336**,00336**
Set1,Draw3,draw_data,N/A,N/A,527,756,989,979,127
Set1,Draw3,R2,N/A,N/A,5994001338866,99400133886,40013386*,40013386**,4003386**
Set1,Draw3,R4,N/A,N/A,5990066883341,99006883341,00683341*,00683341**,0068334**
Set1,Draw3,R6,N/A,N/A,6688100599334,68810099334,68100334*,68100334**,6800334**
Set1,Draw3,R8,N/A,N/A,0019988336645,00199883364,00183364*,00183364**,0083364**
Set1,Draw4,draw_data,N/A,N/A,N/A,756,989,979,127
Set1,Draw4,R2,N/A,N/A,N/A,9944001133886,4400113386,4400113386**,440013386**
Set1,Draw4,R4,N/A,N/A,N/A,9900688334411,0068334411,0068334411**,006833441**
Set1,Draw4,R6,N/A,N/A,N/A,6881100993344,6811003344,6811003344**,681003344**
Set1,Draw4,R8,N/A,N/A,N/A,0011998833644,0011833644,0011833644**,001833644**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,989,979,127
Set1,Draw5,R2,N/A,N/A,N/A,N/A,24400113386,24400113386**,440013386**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,20068334411,20068334411**,006833441**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,68110033244,68110033244**,681003344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,00118336244,00118336244**,001833644**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,979,127
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,5224400113386,52440013386*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,2250068334411,25006833441*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,6811005332244,68100533244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,0011833622445,00183362445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,127
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5524400133866
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2550066833441
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6681005533244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,0018336624455
