Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,078,951,993,010,937,489,772
Set3,Draw1,R2,59924011667,92401667,2401667,24667*,2466*,266*,066*
Set3,Draw1,R4,25990664711,29066471,2066471,26647*,2664*,266*,066*
Set3,Draw1,R6,66117059924,66170924,6617024,66724*,6624*,662*,066*
Set3,Draw1,R8,70119966245,70196624,7016624,76624*,6624*,662*,066*
Set2,Draw1,draw_data,951,993,010,937,489,772,756
Set2,Draw1,R2,59224401667,5224401667,52244667,5224466*,522466*,52466*,246*
Set2,Draw1,R4,22590664471,2250664471,22566447,2256644*,225664*,25664*,264*
Set2,Draw1,R6,66170592244,6617052244,66752244,6652244*,665224*,66524*,624*
Set2,Draw1,R8,70196622445,7016622445,76622445,6622445*,662245*,66245*,624*
Set1,Draw1,draw_data,993,010,937,489,772,756,979
Set1,Draw1,R2,522440138667,5224438667,52244866*,522466*,52466**,246**,246**
Set1,Draw1,R4,225066834471,2256683447,22566844*,225664*,25664**,264**,264**
Set1,Draw1,R6,668170532244,6687532244,66852244*,665224*,66524**,624**,624**
Set1,Draw1,R8,701836622445,7836622445,86622445*,662245*,66245**,624**,624**
Set1,Draw2,draw_data,N/A,010,937,489,772,756,979
Set1,Draw2,R2,N/A,522443886677,5224488667,52248667*,524866*,2486**,2486**
Set1,Draw2,R4,N/A,225668834477,2256688447,22566847*,256684*,2684**,2684**
Set1,Draw2,R6,N/A,668877532244,6688752244,66875224*,668524*,6824**,6824**
Set1,Draw2,R8,N/A,778836622445,7886622445,78662245*,866245*,8624**,8624**
Set1,Draw3,draw_data,N/A,N/A,937,489,772,756,979
Set1,Draw3,R2,N/A,N/A,552244188667,5522418667,55241866*,524186**,524186**
Set1,Draw3,R4,N/A,N/A,225566884471,2255668471,25566841*,256841**,256841**
Set1,Draw3,R6,N/A,N/A,668817552244,6681755224,66815524*,681524**,681524**
Set1,Draw3,R8,N/A,N/A,718866224455,7186622455,18662455*,186245**,186245**
Set1,Draw4,draw_data,N/A,N/A,N/A,489,772,756,979
Set1,Draw4,R2,N/A,N/A,N/A,55224138667,552413866,5241386**,5241386**
Set1,Draw4,R4,N/A,N/A,N/A,22556683471,255668341,2568341**,2568341**
Set1,Draw4,R6,N/A,N/A,N/A,66817553224,668155324,6815324**,6815324**
Set1,Draw4,R8,N/A,N/A,N/A,71836622455,183662455,1836245**,1836245**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,772,756,979
Set1,Draw5,R2,N/A,N/A,N/A,N/A,552400113866,5240011386**,5240011386**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,255006683411,2500683411**,2500683411**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668110055324,6811005324**,6811005324**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,001183662455,0011836245**,0011836245**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,756,979
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,592400113386,52400113386*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,259006833411,25006833411*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,681100593324,68110053324*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,001198336245,00118336245*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,979
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5244001133886
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2500688334411
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6881100533244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,0011883362445
