area,section,set,draw,col,method,mode,dr_win_exact,dr_win_vtrac,dr_win_drop_exact,dr_win_drop_vtrac,dr_win_family_exact,dr_win_family_vtrac,dr_win_step_exact,dr_win_step_vtrac,dr_win_step_drop_exact,dr_win_step_drop_vtrac,dr_win_step_family_exact,dr_win_step_family_vtrac,dr_win_final_value,dr_win_drop_digit,dr_win_vtrac_local_index,dr_win_vt_boxed,dr_win_vt_straight
LS1,Evening,Set1,Draw2,4,A,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,887*,,68,0,0
LS1,Evening,Set1,Draw2,4,A,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw2,4,B,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,88*,,-1,0,0
LS1,Evening,Set1,Draw2,4,B,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw2,4,C,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw2,4,C,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw2,4,D,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,8*,,-1,0,0
LS1,Evening,Set1,Draw2,4,D,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw2,4,E,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,88*,,-1,0,0
LS1,Evening,Set1,Draw2,4,E,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw2,4,T,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,88*,,-1,0,0
LS1,Evening,Set1,Draw2,4,T,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Evening,Set1,Draw4,4,E,own,0,1,0,1,0,0,-1,2,-1,2,-1,-1,388,,93,1,0
LS1,Evening,Set1,Draw4,4,E,combined,0,1,0,1,0,1,-1,2,-1,2,-1,3,,,-1,1,0
