section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,23,4,2,0.0,7,1.0,True,False,False,False,False,False,True,2,7,2,7,1,0,1,0,688:1,886:2,8,7,1,0.0,0,1,2,0,0,0,0.5,1,8,0,1,0.0,29.5,86.0,1,True,False
Combined,Set1,Draw1,1,21,4,3,0.0,7,1.0,True,False,False,True,False,True,False,2,5,2,5,0,0,2,0,6788:1;678:1,6887:2;867:1,8,7,2,0.0,0,1,2,0,0,1,0.0,0,6,0,1,0.0,28.0,75.5,1,True,False
Combined,Set1,Draw1,1,29,3,2,0.0,5,1.0,True,False,False,False,False,False,False,3,5,3,5,0,0,1,0,788:1,887:2,6,5,1,0.0,0,1,2,0,0,0,0.0,1,8,0,1,0.0,25.0,96.5,1,True,False
Combined,Set1,Draw1,2,23,4,2,0.0,7,1.0,True,False,False,False,False,False,True,2,7,2,7,1,0,1,0,688:1,886:2,8,7,1,0.0,0,1,2,0,0,0,0.5,1,8,0,1,0.0,29.5,86.0,1,True,False
Combined,Set1,Draw1,2,21,4,3,0.0,7,1.0,True,False,False,False,False,True,False,2,5,2,5,0,0,2,0,6788:1;678:1,6887:2;867:1,8,7,2,0.0,0,1,2,0,0,1,0.0,0,6,0,1,0.0,28.0,75.5,1,True,False
Combined,Set1,Draw1,2,29,3,2,0.0,5,1.0,True,False,False,False,False,False,False,3,5,3,5,0,0,1,0,788:1,887:2,6,5,1,0.0,0,1,2,0,0,0,0.0,1,8,0,1,0.0,25.0,96.5,1,True,False
Combined,Set1,Draw1,3,23,4,2,0.0,7,1.0,True,False,False,False,False,False,True,2,7,2,7,1,0,1,0,688:1,886:2,8,7,1,0.0,0,1,2,0,0,0,0.5,1,8,0,1,0.0,29.5,86.0,1,True,False
Combined,Set1,Draw1,3,21,3,2,0.0,7,1.0,True,False,False,False,False,True,False,2,5,2,5,0,0,2,0,6788:1;678:1,6887:2;867:1,6,7,1,0.0,0,1,2,0,0,1,0.0,0,6,0,1,0.0,25.0,75.5,1,True,False
Combined,Set1,Draw1,3,29,2,1,0.0,5,1.0,True,False,False,False,False,True,False,3,5,3,5,0,0,1,0,788:1,887:2,4,5,0,0.0,0,1,2,0,0,1,0.0,1,8,0,1,0.0,23.0,96.5,1,True,False
Combined,Set1,Draw1,3,8,3,2,0.0,5,1.0,True,False,False,False,False,True,False,2,4,2,4,0,0,2,0,0688:1;068:1,0886:2;068:1,6,5,1,0.0,0,1,2,0,0,1,0.0,0,5,0,1,0.0,22.0,40.5,1,True,False
