state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
Indiana4,2025-06-23,027,133,25,25,16,5,22,12,3,15,1,1,14,3,3,7,21.038,36.65,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"
Indiana4,2025-06-23,135,124,44,44,14,5,41,3,16,24,10,0,14,3,3,7,19.542,36.15,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"
Indiana4,2025-06-23,147,235,44,44,22,4,43,10,11,21,7,1,13,3,2,7,18.759,34.75,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,556,12,39,39,8,4,26,2,11,22,7,0,13,2,3,7,19.987,34.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,059,115,31,31,0,4,18,1,9,19,6,0,12,3,3,7,20.979,32.3,"col1,funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,024,135,67,67,15,4,47,5,22,19,2,0,0,3,3,7,18.568,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,579,135,67,67,15,4,47,3,9,19,19,0,0,3,3,7,16.728,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,239,345,43,43,7,4,34,3,12,14,2,0,11,3,3,7,18.19,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,227,33,8,8,3,4,6,1,5,5,3,0,0,2,2,3,21.988,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,224,35,39,39,8,4,26,1,16,6,0,0,0,3,3,7,19.979,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical3,vertical4,vt_straight"
Indiana4,2025-06-23,148,245,50,50,10,4,49,3,9,10,3,0,0,3,2,7,17.275,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,247,335,19,19,8,4,17,1,5,6,4,0,0,2,2,4,17.013,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,277,33,8,8,3,4,6,1,4,5,5,0,0,2,2,3,21.375,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,279,335,19,19,8,4,17,1,5,6,5,0,0,2,2,4,16.997,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,779,35,39,39,8,4,26,1,5,6,6,0,0,3,3,7,16.613,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,008,14,30,30,7,4,16,4,2,7,7,0,0,3,3,7,17.66,30.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,028,134,29,29,11,4,25,1,6,6,3,0,0,3,3,7,16.397,29.9,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-23,378,344,27,27,4,4,15,0,3,13,3,0,9,3,3,7,18.252,29.4,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
